001_00	Hā Mīm.
002_00	Tako Mi Knjige jasne,
003_00	Mi smo počeli da je u Blagoslovljenoj noći objavljujemo – i Mi, doista, opominjemo –
004_00	u kojoj se svaki mudri posao riješi
005_00	po zapovijedi Našoj! Mi smo, zaista, slali poslanike
006_00	kao milost Gospodara tvoga – On, uistinu, sve čuje i sve zna –
007_00	Gospodara nebesa i Zemlje i onoga što je između njih – ako čvrsto vjerujete,
008_00	drugog boga osim Njega nema; On život i smrt daje – Gospodara vašeg i Gospodara vaših predaka davnih!
009_00	Ali ovi sumnjaju i zabavljaju se,
010_00	zato sačekaj dan kad će im se činiti da prema nebu vide vidljiv dim
011_00	koji će ljude prekriti. "Ovo je neizdržljiva patnja!
012_00	Gospodaru naš, otkloni patnju od nas, mi ćemo, sigurno, vjerovati!"
013_00	A kako će oni pouku primiti, a već im je došao istiniti Poslanik
014_00	od koga oni glave okreću i govore: "Poučeni – umno poremećeni!"
015_00	Mi ćemo patnju malo-pomalo otklanjati i vi ćete se, sigurno, u mnogobožačku vjeru vratiti;
016_00	ali onog Dana kada ih svom silom zgrabimo, zbilja ćemo ih kazniti.
017_00	Još davno prije njih Mi smo faraonov narod u iskušenje stavili, kada im je bio došao plemeniti poslanik:
018_00	"Ispunite prema meni ono što ste dužni, o Allahovi robovi, jer ja sam vam poslanik pouzdani,
019_00	i ne uzdižite se iznad Allaha, ja vam donosim dokaz očevidni,
020_00	i ja se utječem i svome i vašem Gospodaru da me na kamenujete,
021_00	a ako mi ne vjerujete, onda me na miru ostavite!"
022_00	I on pozva u pomoć Gospodara svoga: "Ovo je, doista, narod nevjernički!" –
023_00	"Izvedi noću robove Moje, za vama će potjera poći
024_00	i ostavi more nek miruje, oni su vojska koja će, zaista, potopljena biti."
025_00	I koliko ostaviše bašča i izvora,
026_00	i njiva zasijanih i dvorova divnih,
027_00	i zadovoljstava koja su u radosti provodili! –
028_00	tako to bî, i Mi smo to u nasljedstvo drugima ostavili –
029_00	ni nebo ih ni Zemlja nisu oplakivali, i nisu pošteđeni bili,
030_00	a sinove Israilove smo ponižavajuće patnje spasili
031_00	od faraona – on je bio gord, jedan od onih koji su u zlu svaku mjeru prevršili –
032_00	i znajući kakvi su, između savremenika smo ih odabrali,
033_00	i neka znamenja puna očite blagosti smo im dali.
034_00	A ovi, doista, govore:
035_00	"Postoji samo naša prva smrt, mi nećemo biti oživljeni;
036_00	pretke naše nam dovedite, ako je istina to što govorite!"
037_00	Da li su silniji oni ili narod Tubba' i oni prije njega? – njih smo uništili jer su nevjernici bili.
038_00	Mi nismo stvorili nebesa i Zemlju i ono što je između njih da bismo se igrali.
039_00	Mi smo ih stvorili sa ciljem, ali većina ovih ne zna.
040_00	Dan sudnji će svima njima rok određeni biti,
041_00	Dan kada bližnji neće nimalo od koristi bližnjem biti i kada sami sebi neće moći pomoći,
042_00	moći će samo oni kojima se Allah smiluje, jer – On je, uistinu, silan i milostiv.
043_00	Drvo Zekkum
044_00	biće hrana grješniku,
045_00	u trbuhu će kao rastopljena kovina vreti,
046_00	kao što voda kada ključa vri.
047_00	"Ščepajte ga i usred ognja odvucite,
048_00	a zatim mu, za kaznu, na glavu ključalu vodu izljevajte!"
049_00	"Okušaj, ta ti si, uistinu, 'moćni' i 'poštovani',
050_00	ovo je, zaista, ono u što ste sumnjali!"
051_00	A oni koji su se Allaha bojali, oni će na sigurnu mjestu biti,
052_00	usred bašča i izvora,
053_00	u dibu i kadifu obučeni i jedni prema drugima.
054_00	Eto, tako će biti i Mi ćemo ih hurijama, krupnih očiju, ženiti.
055_00	U njima će moći sigurno koju hoće vrstu voća tražiti;
056_00	u njima, poslije one prve smrti, smrt više neće okusiti i On će ih patnje u ognju sačuvati,
057_00	blagodat će to od Gospodara tvoga biti; to će, zaista, biti uspjeh veliki!
058_00	A Kur'an smo učinili lahkim, na jeziku tvome, da bi oni pouku primili,
059_00	zato čekaj, i oni će čekati!
