001_00	Mi smo poslali Nuha narodu njegovu: "Opominji narod svoj prije nego što ga stigne patnja nesnosna!"
002_00	"O narode moj" – govorio je on – "ja vas otvoreno opominjem:
003_00	Allahu se klanjajte i Njega se bojte i meni poslušni budite,
004_00	On će vam grijehe vaše oprostiti i u životu vas do određenog časa ostaviti, a kada Allahov određeni čas dođe zaista se neće, neka znate, odgoditi."
005_00	On reče: "Gospodaru moj, ja sam narod svoj i noću i danju, doista, pozivao,
006_00	ali ga je pozivanje moje još više udaljilo.
007_00	I kad god sam ih pozivao da im oprostiš, prste su svoje u uši stavljali i haljinama svojim se pokrivali – bili su uporni i pretjerano oholi.
008_00	Zatim, ja sam ih otvoreno pozivao,
009_00	a onda sam im javno objavljivao i u povjerenju im šaputao,
010_00	i govorio: 'Tražite od Gospodara svoga oprost jer On, doista, mnogo prašta;
011_00	On će vam kišu obilnu slati
012_00	i pomoći će vas imanjima i sinovima, i daće vam bašče, i rijeke će vam dati.
013_00	Šta vam je, zašto se Allahove sile ne bojite,
014_00	a On vas postepeno stvara?!
015_00	Zar ne vidite kako je Allah sedam nebesa, jedno iznad drugog, stvorio,
016_00	i na njima Mjesec svijetlim dao, a Sunce svjetiljkom učinio?
017_00	Allah vas od zemlje poput bilja stvara,
018_00	zatim vas u nju vraća i iz nje će vas, sigurno, izvesti.
019_00	Allah vam je Zemlju učinio ravnom,
020_00	da biste po njoj hodili putevima prostranim.'"
021_00	Nuh reče: "Gospodaru moj, oni mene ne slušaju i povode se za onima čija bogatstva i djeca samo njihovu propast uvećavaju
022_00	i spletke velike snuju
023_00	i govore: 'Nikako božanstva svoja ne ostavljajte, i nikako ni Vedda, ni Suvaa, a ni Jegusa, ni Jeuka, ni Jesra ne napuštajte!',
024_00	a već su mnoge u zabludu doveli, pa Ti njima, inadžijama, samo propast povećaj!"
025_00	I oni su zbog grijehova svojih potopljeni i u vatru će biti uvedeni i nikoga sebi, osim Allaha, kao pomagača neće naći.
026_00	I Nuh reče: "Gospodaru moj, ne ostavi na Zemlji nijednog nevjernika,
027_00	jer, ako ih ostaviš, oni će robove Tvoje u zabludu zavoditi i samo će grješnika i nevjernika rađati!
028_00	Gospodaru moj, oprosti meni, i roditeljima mojim, i onome koji kao vjernik u dom moj uđe, i vjernicima i vjernicama, a nevjernicima samo propast povećaj!"
