001_00	Sād. Tako Mi Kur'ana slavnog,
002_00	doista su bahati i inadžije oni koji neće da vjeruju!
003_00	Koliko smo Mi naroda prije njih uništili. I oni su za pomoć vapili, ali je bilo kasno!
004_00	Oni se čude što im je jedan od njih došao da ih opominje, i govore nevjernici: "Ovo je čarobnjak, lažov!
005_00	Zar on da bogove svede na Boga jednog? To je, zaista, nešto veoma čudno!"
006_00	I onī ugledni između njih krenuše: "Idite i ostanite pri klanjanju bogovima svojim, ovim se, uistinu, nešto veliko hoće!
007_00	Za ovo nismo čuli u vjeri predaka naših, ovo nije ništa drugo već namještena laž;
008_00	zašto baš njemu, između nas, da bude poslana Opomena?!" Ali, oni u Opomenu Moju sumnjaju zato što kaznu Moju nisu iskusili.
009_00	Zar su u njih riznice milosti Gospodara tvoga, Silnoga i Darežljivog?
010_00	Zar oni imaju vlast na nebesima i na Zemlji i nad onim što je između njih? – neka se, onda, uz ljestve popnu.
011_00	Oni predstavljaju neznatnu urotničku vojsku koja će tamo biti poražena.
012_00	I prije njih su narod Nuhov, i Ad, i faraon, vlasnik građevina ogromnih, poricali,
013_00	i Semud i Lutov narod i stanovnici Ejke; oni su se protiv poslanika urotili;
014_00	svi su oni poslanike u laž utjerivali i kaznu Moju zaslužili.
015_00	A i ovi ne čekaju do jedan zvuk Roga koji neće biti potrebno ponoviti,
016_00	i govore: "Gospodaru naš, požuri, kazni nas, prije Dana u kojem će se račun polagati!"
017_00	Ti otrpi ono što oni govore i sjeti se roba Našeg Davuda, čvrstog u vjeri, koji se uvijek Allahu obraćao.
018_00	Mi smo brda potčinili da zajedno s njim hvale Allaha prije nego što Sunce zađe i poslije pošto grane,
019_00	a i ptice okupljene – svi su oni zbog njegova hvaljenja hvalu ponavljali.
020_00	I učvrstili smo carstvo njegovo i dali mu vjerovjesništvo i sposobnost da rasuđuje.
021_00	A da li je do tebe doprla vijest o parničarima kada su preko zida hrama prešli,
022_00	kad su Davudu upali, pa se on njih uplašio. "Ne boj se" – rekli su – "mi smo dvojica parničara, jedan drugom smo nažao učinili,
022_01	pa nam po pravdi presudi; ne budi pristrasan, i na Pravi put nas uputi.
