001_00	Tako mi zore,
002_00	i deset noći,
003_00	i parnih i neparnih,
004_00	i noći kada nestaje –
005_00	zar to pametnom zakletva nije…?
006_00	Zar ne znaš šta je Gospodar tvoj sa Adom uradio,
007_00	sa stanovnicima Irema, punog palata na stupovima,
008_00	kojima ravna ni u jednoj zemlji nije bilo;
009_00	i Semudom, koji je stijene u dolini klesao,
010_00	i faraonom, koji je šatore imao –
011_00	koji su na Zemlji zulum provodili
012_00	i poroke na njoj umnožili,
013_00	pa je Gospodar tvoj – bič patnje na njih spustio,
014_00	jer, Gospodar tvoj je, zaista, u zasjedi.
015_00	Čovjek, kada Gospodar njegov hoće da ga iskuša pa mu počast ukaže i blagodatima ga obaspe, rekne: "Gospodar moj je prema meni plemenito postupio!"
016_00	A kad mu, da bi ga iskušao, opskrbu njegovu oskudnom učini, onda rekne: "Gospodar moj me je napustio!"
017_00	A nije tako! Vi pažnju siročetu ne ukazujete,
018_00	i da se puki siromah nahrani – jedan drugog ne nagovarate,
019_00	a nasljedstvo pohlepno jedete
020_00	i bogatstvo pretjerano volite.
021_00	A ne valja to! Kada se Zemlja u komadiće zdrobi
022_00	i kad dođe naređenje Gospodara tvoga, a meleki budu sve red do reda,
023_00	i kad se tog Dana primakne Džehennem; tada će se čovjek sjetiti – a na što mu je sjećanje?! –
024_00	i reći: "Kamo sreće da sam se za ovaj život pripremio!"
025_00	Tog Dana niko neće kao On mučiti,
026_00	i niko neće kao On u okove okivati!
027_00	A ti, o dušo smirena,
028_00	vrati se Gospodaru svome zadovoljna, a i On tobom zadovoljan,
029_00	pa uđi među robove Moje,
030_00	i uđi u Džennet Moj!
