001_00	Kada sunce sjaj izgubi,
002_00	i kada zvijezde popadaju,
003_00	i kada se planine pokrenu,
004_00	i kada steone kamile bez pastira ostanu,
005_00	i kada se divlje životinje saberu,
006_00	i kada se mora vatrom napune,
007_00	i kada se duše sa tijelima spare,
008_00	i kada živa sahranjenā djevojčica bude upitana
009_00	zbog kakve krivice je umorena,
010_00	i kada se listovi razdijele,
011_00	i kada se nebo ukloni,
012_00	i kada se Džehennem raspali,
013_00	i kada se Džennet približi –
014_00	svako će saznati ono što je pripremio.
015_00	I kunem se zvijezdama – koje se skrivaju,
016_00	koje se kreću i iz vida gube,
017_00	i noći kad ona veo diže,
018_00	i zorom kada diše –
019_00	Kur'an je, zaista, kazivanje Izaslanika plemenitog,
020_00	moćnog, od Gospodara svemira cijenjenog,
021_00	kome se drugi potčinjavaju, tamo pouzdanog!
022_00	A drug vaš nije lud:
023_00	on ga je na obzorju jasnom vidio
024_00	i, kada je u pitanju Objava, on nije škrt
025_00	i Kur'an nije prokletog šejtana govor,
026_00	pa kuda onda idete?!
027_00	Kur'an je samo pouka svjetovima,
028_00	onome od vas koji hoće da je na Pravome putu,
029_00	a vi ne možete ništa htjeti ako to Allah, Gospodar svjetova, neće!
