001_00	Алиф. Лоом. Ро. Ушбулар китобнинг ва равшан Қуръоннинг оятларидир.
002_00	Ҳали, куфр келтирганлар мусулмон бўлишни ҳам истаб қолурлар. (Ушбу ҳолат жон таслим қилиш чоғида, қиёмат куни Аллоҳ таоло мусулмонларни жаннатга киритаётган пайтда, баъзи гуноҳлари туфайли дўзахга тушган аҳли қиблалар ундан озод бўлиб жаннатга ўтаётганларида бўлади.)
003_00	Уларни тек қўй, еб-ичиб, ҳузурланиб, умидлар ила машғул бўлиб юраверсинлар. Бас, тезда билурлар.
004_00	Биз маълум битиксиз ҳеч бир шаҳарни ҳалок этганимиз йўқ.
005_00	Ҳеч бир уммат ўз ажалидан ўзиб кета олмас ва ортда ҳам қола олмас.
006_00	Улар: «Эй зикр нозил қилинган киши, албатта, сен мажнунсан.
007_00	«Агар ростгўйлардан бўлсанг, бизга фаришталарни келтирсанг-чи», дерлар. (Бу гап ҳам, аввал айтиб ўтилгандек, ўзларига ўхшаган одамни Пайғамбар бўлишини ақлига сиғдира олмасликдан келиб чиқади.)
008_00	Биз фаришталарни фақат ҳақ ила тушурурмиз, холос. У ҳолда уларга қараб турилмас. (Фаришталарни туширган чоғимизда кофирларга қараб турилмай улар ҳалок қилинади.)
009_00	Албатта, зикрни Биз нозил қилдик ва, албатта, уни Биз муҳофаза қилурмиз. (Ушбу зикр–Қуръон.)
010_00	Батаҳқиқ, сендан олдин ҳам аввалгилар гуруҳларига (Пайғамбар) юборганмиз.
011_00	Уларга қайси бир Пайғамбар келса, уни масхара қилмасдан қўймас эдилар.
012_00	Шунга ўхшаш Биз уни жиноятчилар қалбига солармиз.
013_00	Унга (Қуръонга) иймон келтирмаслар. Батаҳқиқ, аввалгиларнинг суннати-одати шундоқ ўтгандир.
014_00	Агар уларга осмондан бир эшик очсагу ундан чиқиб турсалар ҳам.
015_00	Улар: «Албатта, кўзларимиз боғланди, балки биз сеҳрланган қавмдирмиз», дерлар. (Аллоҳнинг ҳақлиги ҳақидаги мўъжиза кўрсатилиб, қўлига ушлатиб қўйилса ҳам, эҳтимол удир, эҳтимол будир, балки табиат қонунини мен тушунмаётгандирман, деб тураверадилар.)
