001_00	Вақтики, осмон ёрилса.
002_00	Ва, вақтики, юлдузлар сочилиб кетса.
003_00	Ва, вақтики, денгизлар портлатилса.
004_00	Ва, вақтики, қабрлар остин-устин бўлса.
005_00	Ҳар бир жон нимани тақдим қилдию, нимани таъхир қилди- билади.
006_00	Эй Инсон! Сени карамли Роббинг ҳақида нима ғурурга кетказди?!
007_00	У сени тўла-тўкис ва мўътадил қилиб яратган зотдир.
008_00	Ўзи хоҳлаган суратда сени таркиб қилди.
009_00	Йўқ! Балки, сиз жазони ёлғонга чиқармоқдасиз!
010_00	Ҳолбуки, устингиздан кузатиб турувчилар бордир.
011_00	Улар ҳурматли, ёзиб тургувчилардир.
012_00	Улар нима қилаётганингизни биладир.
013_00	Албатта, яхшилар жаннатдадир.
014_00	Ва албатта, фожирлар жаҳаннамдадир.
015_00	Улар у ерга қиёмат куни кирадир.
016_00	Ва улар ундан ғойиб бўла олмайдир.
017_00	Ва жазо куни нима эканини сенга нима билдирди?
018_00	Сўнг жазо куни нима эканини сенга нима билдирди?
019_00	Ўша кунда ҳеч бир жон бошқа бир жон учун бирор нарса қилиш имконига молик эмасдир. У кунда барча иш Аллоҳнинг Ўзига хосдир.
