001_00	То. Син. Мим.
002_00	Булар очиқ китобнинг оятларидир.
003_00	Эҳтимол, (улар) мўмин бўлмаганлари учун сен ўзингни ҳалок қилмоқчидирсан?!
004_00	Агар хоҳласак, уларга осмондан оят-мўъжиза нозил қилурмиз. Бас, уларнинг бўйинлари унга эгилиб қоладир.
005_00	Уларга Роҳмандан янги эслатма келибдики, албатта, ундан юз ўгиргувчи бўлганлар.
006_00	Бас, батаҳқиқ, ёлғонга чиқардилар. Яқинда уларга ўзлари истеҳзо қилган нарсанинг хабари келажакдир.
007_00	Улар ерга қарамайдиларми?! Биз унда гўзал навлардан қанчаларини ундириб қўйибмиз.
008_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмаслар.
009_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
010_00	Роббинг Мусога: «У золим қавмга боргин.
011_00	Фиръавн қавмига. (Биздан) қўрқмайдиларми?! « деб нидо қилганини эсла.
012_00	У: «Эй Роббим, улар мени ёлғончи қилишларидан қўрқаман.
013_00	Ва дилим сиқилишидан ҳамда тилим бурро бўлмай қолишидан. Бас, Ҳорунни элчи қил.
014_00	Менинг зиммамда улар наздида гуноҳ бор. Бас, мени ўлдиришларидан хавфдаман», деди.
015_00	У зот: «Йўқ! Бас, иккингиз Бизнинг оят-мўъжизаларимиз ила боринглар. Албатта, Биз иккингиз билан эшитгувчилармиз.
016_00	Бас, Фиръавнга боринглар ва унга: «Биз Роббул Оламийннинг Пайғамбарларимиз.
017_00	Бани Исроилни биз билан қўйиб юбор», деб айтинглар, деди.
018_00	У (Фиръавн): «Биз сени гўдаклигингдан ўз ичимизда тарбия қилмадикми?! Умрингнинг бир неча йилини бизнинг ичимизда ўтказмадингми?!
019_00	Ва нонкўрлардан бўлиб, қиладиган ишингни қилиб қўймадингми?!» деди. (Фиръавннинг миннатларидан асосий мақсади–Мусо алайҳиссалом олиб келган динни инкор қилиш эди. Қўлимизда катта бўла туриб, энди, бизга, динимизга ва мулкимизга қарши чиқасанми? Янги дин келтирдим, деб даъво қиласанми? Бизнинг қавмимиздан бир кишини ўлдириб қўймадингми?!)
020_00	(Мусо): «Ўша ишни қилган бўлсам, билмасдан қилганман.
021_00	Бас, сизлардан хавфсираб қочиб кетдим. Кейин Аллоҳ менга ҳикмат берди ва мени Пайғамбарлардан қилди. (Ўша қитбтий менинг бир Бани Исроиллик қабиладошим билан уришаётган экан. Қабиладошим мендан ёрдам сўради, мен уега ёрдам бераман деб қибтийни бир урсам ўлиб қолди. Сўнгра хатони тушундим.)
022_00	Ўша менга қилаётган миннатинг Бани Исроилни қул қилиб олганингдандир», деди.
023_00	Фиръавн: «Роббул Оламийн нима?» деди.
024_00	У (Мусо): «Агар англамоқчи бўлсангиз, У осмонлару ер ва уларнинг орасидаги нарсаларнинг Роббидир», деди.
025_00	У атрофидаги кишиларга: «Эшитмаяпсизларми?!» деди.
026_00	У(Мусо): « У зот сизнинг Роббингиз ва аввалги ота-боболарингизнинг Роббидир», деди.
027_00	У: «Албатта, сизга юборилган Пайғамбарингиз жиннидир», деди.
028_00	У(Мусо): «У, агар ақл юритсангиз, машриқу мағрибнинг ва улар ўртасидаги нарсаларнинг Роббидир», деди.
029_00	У: «Агар мендан бошқани илоҳ қилиб олсанг, албатта, мен сени зиндонбандлардан қилурман», деди.
030_00	У(Мусо): «Агар мен сенга очиқ-ойдин нарса келтирсам ҳам-а?!» деди.
031_00	У: «Агар ростгўйлардан бўлсанг, келтир уни!» деди.
032_00	Бас, у (Мусо) асосини ташлади. Баногоҳ у аниқ аждарга айланди.
033_00	Ва қўлини чиқарди. Банагоҳ у назар қилгувчиларга оппоқ кўринди.
034_00	У(Фиръавн) атрофидаги аъёнларига: «Албатта, бу ўта билимдон сеҳргардир.
035_00	У ўз сеҳри билан сизларни ерингиздан чиқармоқчи, нима дейсизлар?», деди. (Худонинг динига қарши чиққан, Аллоҳнинг йўлидаги даъватчиларни ўзига душман билган туғёнкорларнинг доимий гапларидан бири. Атрофидаги гумашталарига ва содда халққа даъватчини хавфли қилиб кўрсатади ва уларни қўрқитади.)
036_00	Улар: «Уни ва акасини қўйиб тургин-да, шаҳарларга тўпловчиларни юбор.
037_00	Сенга барча ўта билимдон сеҳргарларни олиб келсинлар», дедилар. (Бу таклиф Фиръавнга маъқул тушди. Зотан, у атрофидагилардан айнан шу жавобни кутган эди. Бошқа сура ва оятлардан биламизки, Мусо алайҳиссалом билан сеҳргарларнинг мусобақалашадиган жойи, вақти ва бошқа шартлари келишиб олинади. Фиъравн шаҳарларга одамларини юбориб, сеҳргарларни тўплатиб келади.)
038_00	Бас, сеҳргарлар маълум куни келишилган вақтда жамландилар.
039_00	Ва одамларга: «Сизлар тўпланиб бўлдингизми?
040_00	Ажаб эрмас, устин келсалар, сеҳргарларга эргашсак», дейилди. (Турли муносабатлар ила одамларни тўплаш, билан уларни чалғитиш ва ўзига маҳлиё этиш ҳам туғёнкор ҳокимларнинг одати. Сеҳргарлар билан Мусо алайҳиссалом тортишувини ғанимат билиб роса одам йиғдилар.)
041_00	Сеҳргарлар келган чоғларида Фиръавнга: «Агар биз ғолиб келгувчи бўлсак, бизга, албатта, ҳақ бериладими?» дедилар.
042_00	У: «Ҳа! У ҳолда сиз, албатта, энг яқинларимдан бўласиз», деди.
043_00	Мусо уларга: «Сиз ташлайдиган нарсангизни ташланг», деди.
044_00	Бас, улар арқонлари ва асоларини ташладилар ва «Фиръавннинг иззати билан қасамки, албатта, биз ғолиблармиз», дедилар.
045_00	Сўнгра Мусо асосини ташлаган эди, бирдан у уларнинг уйдирмаларини юта бошлади. (Сеҳргарлар арқонларини ташлаганида, илонга айланмаган, уларнинг найранги туфайлигина кишилар кўзига шундай кўринган эди, холос. Кейин Мусо алайҳиссалом асоларини ташладилар ва у аждарга айланиб, Фиръавн сеҳргарларининг асо ва арқонларини юта бошлади.)
046_00	Бас, сеҳргарлар сажда қилган ҳолларида йиқилдилар.
047_00	Улар: «Роббул Оламийнга иймон келтирдик.
048_00	Мусо ва Ҳоруннинг Роббига», дедилар.
049_00	У: «Мен сизга изн бермасимдан олдин унга иймон келтирдингиз!
049_01	Албатта, у сизга сеҳр ўргатган каттангиздир! Энди тезда биласиз, мен, албатта, қўл-оёғингизни қарама-қарши томонидан кесажакман ва барчангизни осажакман», деди.
050_00	Улар: «Зарари йўқ. Албатта, биз Роббимизга қайтгувчимиз.
051_00	Мўминларнинг аввалгиси бўлганимиз учун Роббимиз хатоларимизни кечиришидан умид қиламиз», дедилар.
052_00	Ва Мусога: «Бандаларим билан кечаси йўлга чиқ. Албатта, таъқиб этилурсиз», деб ваҳий юбордик.
053_00	Бас, Фиръавн шаҳарларга тўпловчилар юборди:
054_00	«Шубҳасиз, анавилар озгина тоифадирлар.
055_00	Албатта, улар бизни ғазаблантиргувчилардир.
056_00	Албатта, биз ҳаммамиз ҳушёрмиз», деб.
057_00	Бас, Биз уларни боғ-роғлар ва булоқлардан.
058_00	Хазиналар ва муҳтарам маскандан чиқардик. (Яъни, Фиръавн ва унинг қавмини боғ-роғларидан ва булоқларидан, хазиналаридан ва ҳашаматли масканларидан чиқардик.
059_00	Ана шундай. Ўша(нарса)ларни Бани Исроилга мерос қилиб бердик.
060_00	Бас, уларни қуёш чиқиш пайтида қувиб етдилар.
061_00	Икки жамоат бир-бирларини кўрган чоғида, Мусонинг одамлари: «Энди қўлга тушдик», дедилар.
062_00	У (Мусо): »Йўқ! Албатта, Роббим мен билан, У менга тўғри йўлни кўрсатур«, деди.
063_00	Бас, Биз Мусога: «Асонг билан денгизни ур», деб ваҳий қилдик. Бас, у (денгиз) бўлиниб, ҳар бўлаги улкан тоғдек бўлди.
064_00	Ва кейин бошқаларни ҳам яқинлаштирдик. (Яъни, Фиръавн ва унинг аскарларини ҳам денгизга яқинлаштирдик.)
065_00	Мусо ва унга эргашганларга, ҳаммаларига нажот бердик.
066_00	Сўнгра бошқаларни ғарқ қилдик. (Фиръавн ва унинг аскарлари денгиз бағрига тўлиқ тушиб бўлганларидан кейин, улкан тоғдек ҳайбат-ла тўхтаб турган денгиз яна ҳаракатга келиб, ҳаммаларини ҳалок қилди.)
067_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
068_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
069_00	Ва уларга Иброҳимнинг хабарини тиловат қилиб бер.
070_00	Ўшанда у отаси ва қавмига: «Нимага ибодат қилмоқдасизлар?» деган эди.
071_00	Улар: «Санамларга ибодат қилмоқдамиз. Ва уларга ихлос ила ибодат қилишда бардавом бўлурмиз», дедилар. (Тош ёки бошқа нарсадан юзи инсон юзига ўхшатиб ишланган бутга «санам» дейилади.)
072_00	У: «Илтижо қилганингизда улар сизни эшитадиларми?
073_00	Ёхуд наф ёки зарар етказа оладиларми?» деди.
074_00	Улар: «Йўқ, биз ота-боболаримизни шундай қилаётганларини кўрдик», дедилар.
075_00	У: «Нимага ибодат қилаётганингизни билдингизми?!
076_00	Сиз ва қадимги оталарингиз?!
077_00	Албатта, Роббул Оламийндан бошқа уларнинг барчаси менга душмандир», деди.
078_00	У мени яратган зотдир. Бас, мени ҳидоят қилади ҳам Унинг Ўзи.
079_00	Ва мени таомлантирадиган ва суғорадиган ҳам Унинг Ўзи.
080_00	Бемор бўлганимда менга шифо берадиган ҳам Унинг Ўзи.
081_00	Мени ўлдирадиган, сўнгра тирилтирадиган ҳам Унинг Ўзи.
082_00	Ва менинг хатоимни қиёмат куни мағфират қилишидан умидвор бўлганим ҳам Унинг Ўзи.
083_00	Эй Роббим, менга ҳикмат ҳадя эт ва мени солиҳларга қўшгин.
084_00	Ва менга кейин келгувчилар ичида содиқ мақтовлар бўладиган қилгин. (Яъни, ўтиб кетганимдан кейин ҳам одамлар мени қиёматгача яхшилик билан эслаб юрадиган қилгин.)
085_00	Ва мени наъийм жаннати ворисларидан қилгин.
086_00	Ва отамни мағфират қил. Албатта, у адашганлардан бўлди.
087_00	Ва қайта тирилтириладиган кунда мени шарманда қилмагин.
088_00	У кунда на мол манфаат берар ва на болалар.
089_00	Магар ким Аллоҳ ҳузурига тоза қалб ила келар, (ўша манфаат топар).
090_00	Ва жаннат тақводорларга яқинлаштирилди.
091_00	Жаҳийм иғвога учганларга зоҳир қилинди.
092_00	Ва уларга: »Аллоҳдан ўзга ибодат қилиб юрган нарсаларингиз қани?!
093_00	Улар сизга ёрдам бера олурларми ёки ўзларини қутқара олурларми?! « дейилди.
094_00	Бас, унга улар, иғвога учганлар.
095_00	Ва Иблиснинг аскарлари биргаликда юзтубан тахлаб ташландилар.
096_00	Улар унинг ичида бир-бирлари ила хусумат қилар эканлар, дедилар:
097_00	«Аллоҳга қасамки, албатта, биз очиқ-ойдин адашувда эканмиз.
098_00	Чунки сизларни Роббул Оламийнга тенглаштирардик.
099_00	Бизни фақат жиноятчилар йўлдан оздирдилар.
100_00	Мана энди биз учун шафоатчилар ҳам йўқ.
101_00	Бирон қадрдон дўст ҳам йўқ.
102_00	Қани энди ортга қайтсагу мўминлардан бўлсак».
103_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
104_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
105_00	Нуҳ қавми Пайғамбарларни ёлғончи қилди.
106_00	Ўшанда уларга биродарлари Нуҳ деди: «У зотдан қўрқмайсизми?!
107_00	Албатта, мен сизларга ишончли Пайғамбарман.
108_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
109_00	Мен сизлардан бунинг учун ҳақ-ажр сўрамасман. Менинг ажрим фақатгина Роббул Оламийннинг зиммасидадир.
110_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар».
111_00	Улар: «Сенга пасткашлар эргашиб турган ҳолда, биз сенга иймон келтирармидик?!» дедилар.
112_00	У деди: «Менинг улар нима қилаётганлари ҳақида илмим йўқ.
113_00	Агар сезсангиз, уларнинг ҳисоби фақат Аллоҳнинг зиммасидадир.
114_00	Ва мен мўминларни ҳайдаб юборгувчи эмасман.
115_00	Мен фақат очиқ-ойдин огоҳлантиргувчиман, холос».
116_00	Улар: «Эй Нуҳ, агар тўхтамасанг, албатта, тошбўрон қилинганлардан бўлурсан», дедилар.
117_00	У: «Эй Роббим, шубҳасиз, қавмим мени ёлғончи қилдилар.
118_00	Бас, Ўзинг мен билан уларнинг орамизни яхшилаб очгин ва менга ҳамда мен билан бирга бўлган мўминларга нажот бергин», деди.
119_00	Бас, Биз унга ва у билан бирга бўлганларга тўлган кемада нажот бердик.
120_00	Сўнгра қолганларни ғарқ қилдик.
121_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
122_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
123_00	Од қавми Пайғамбарларни ёлғончи қилди.
124_00	Ўшанда уларга биродарлари Ҳуд деди: «Қўрқмайсизларми?!
125_00	Албатта, мен сизларга ишончли Пайғамбарман.
126_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
127_00	Мен сизлардан бунинг учун ҳақ-ажр сўрамасман. Менинг ажрим фақатгина Роббул Оламийн зиммасидадир.
128_00	Ҳар тепаликка бир белги бўладиган бино қуриб, беҳуда ўйин қилаверасизми?
129_00	Ва худди мангу туражакдек «маснаълар» тутаверасизми?. (Оятдаги «маснаълар» сўзи ҳозирги араб тилида завод-фабрикалар маъносида ишлатилмоқда. Од қавми улкан қасрлар қуриш, тоғларни ўйиб ишлаш ва бошқа фахр учун кўтарадиган биноларида фойдаланадиган асбоб-ускуналарни ишлаб чиқарадиган ишхоналарга эга эди, «масонеълар»дан мурод ўшалар, оятда қурилишларга доир очиқ-ойдин маъно бор.)
130_00	Тутганингизда ўта жабрчи бўлиб тутдингиз.
131_00	Бас, Аллоҳдан қўрқинг ва менга итоат қилинг.
132_00	Сизга ўзингиз билган нарса ила мадад берган зотдан қўрқинг.
133_00	У сизларга чорва ҳайвонлари ва фарзандлар ила мадад берди.
134_00	Боғ-роғлар ва булоқлар ила.
135_00	Мен, албатта, сизга улуғ куннинг азоби келишидан қўрураман».
136_00	Улар: «Биз учун ваъз қилсанг ҳам ёки ваъз қилгувчилардан бўлмасанг ҳам, барибир.
137_00	Бу эскиларнинг одати, холос.
138_00	Биз азоблангувчи эмасмиз», дедилар. (Яъни, бизга қанча гапирсанг ҳам, барибир сен айтган йўлдан юрмаймиз. Бу қилмишимиз учун, сен айтаётганингдек, азобланмаймиз ҳам, дедилар.)
139_00	Улар у(Ҳуд)ни ёлғончи қилдилар. Бас, Биз уларни ҳалок қилдик. Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
140_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
141_00	Самуд қавми Пайғамбарларни ёлғончи қилди.
142_00	Ўшанда уларга биродарлари Солиҳ деди: «Қўрқмайсизларми?!
143_00	Албатта, мен сизларга ишончли Пайғамбарман.
144_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
145_00	Мен сизлардан бунинг учун ҳақ-ажр сўрамасман. Менинг ажрим фақатгина Роббул оламийн зиммасидадир.
146_00	Сиз бу жойдаги нарсаларда омон ҳолда тарк қилинасизми?!
147_00	Боғ-роғларда, булоқларда?!
148_00	Экинзорлару майин хурмозор ичларида-я?!
149_00	Ва тоғлардан манманлик-ла уйлар йўнаверасизми?!
150_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
151_00	Ва ер юзида исрофчилик қиладиганларнинг ишига итоат қилманглар.
152_00	Бузғунчилик қиладиган, ислоҳчилик этмайдиганларнинг».
153_00	Улар: «Сен, албатта, сеҳрланганлардандирсан.
154_00	Сен бизга ўхшаган башардан бошқа ҳеч нарса эмассан. Агар ростгўйлардан бўлсанг, оят-мўъжиза келтир», дедилар. (Самуд қавми уларга Аллоҳнинг гапини етказган Пайғамбарлари Солиҳга алайҳиссалом, алғов-далғов гапирмоқдасан, аниқ сеҳрлангансан, деб туҳмат қилдилар. Кофирлар наздида, Аллоҳнинг йўлига чақирувчилар доимо мажнун ёки сеҳрланган бўлиб кўринади.)
155_00	У: «Мана бу туя. Унга (бир кун) сув ичиш ва сизга маълум бир кун сув ичиш.
156_00	Ва унга ёмонлик етказманглар, унда сизни улуғ куннинг азоби тутадир», деди. (Бошқа оятларда баён этилганидек, туянинг тошдан чиқарилишининг ўзи мўъжиза бўлган эди. Энди ўша мўъжиза туянинг Самуд қавми ичида туриш шарти қўйилди.
157_00	Бас, у(туя)ни сўйдилару надомат чекувчига айландилар.
158_00	Бас, уларни азоб тутди. Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
159_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
160_00	Лут қавми Пайғамбарларни ёлғончи қилди.
161_00	Ўшанда уларга биродарлари Лут деди: «Қўрқмайсизларми?!
162_00	Албатта, мен сизларга ишончли Пайғамбарман.
163_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
164_00	Мен сизлардан бунинг учун ҳақ-ажр сўрамасман. Менинг ажрим фақатгина Роббул Оламийн зиммасидадир.
165_00	Оламлар ичидан эркакларга борасизми?!
166_00	Ва Роббингиз сиз учун яратган жуфти ҳалолларингизни тарк қиласизми?! Йўқ!!! Сиз ҳаддан ошган қавмсиз».
167_00	Улар: «Эй Лут, агар тўхтамасанг, албатта, ҳайдаб чиқарилганлардан бўлурсан!» дедилар.
168_00	У: «Албатта, мен бу ишингизни ўта ёмон кўргувчиларданман.
