001_00	Тур билан қасам.
002_00	Сатрланган китоб билан қасам.
003_00	Ёйилган терига. (сатрланган)
004_00	Ва обод уй билан қасам.
005_00	Ва кўтарилган билан шифт қасам.
006_00	Ва тўлган денгиз билан қасам.
007_00	Албатта, Роббинг азоби рўй беражак.
008_00	Уни ҳеч бир қайтарувчи йўқдир.
009_00	У кунда осмон ларзага келиб чайқалур.
010_00	Ва тоғлар сайр этиб юрур.
011_00	Бас, ўша кунда ёлғонга чиқарувчиларга вайл бўлсин!
012_00	(Ботилга) шўнғиб ўйнайдиганларга! («вайл» сўзи гоҳида «ҳалокат», гоҳида «дўзах» маъносида ишлатилади ва иккаласи ҳам бу оятга мосдир.)
013_00	У кунда жаҳаннам ўтига (куч билан) итарилурлар.
014_00	Мана бу, сизлар ёлғонга чиқарган ўт бўладир!
015_00	Бу сеҳрми?! Ёки сизлар кўрмаяпсизларми?!
016_00	Киринглар унга! Чидайсизларми, чидамайсизларми - барибир. Қилиб юрган амалларингизнинг жазосини олурсизлар, холос.
017_00	Албатта, тақводорлар жаннатлар ва нозу неъматлар ичидадирлар.
018_00	Роббилари уларга берган нарсалардан лаззатдадирлар. Роббилари уларни жаҳаннам азобидан сақлар.
019_00	Енглар, ичинглар, ош бўлсин. (Булар)қилган амалларингиз учундир.
020_00	Улар қатор тизилган сўриларга ёнбошлаган ҳолдалар. Ва уларни гўзал кўзли ҳурларга уйлаб қўйганмиз.
021_00	Ўзлари иймон келтириб, зурриётлари уларга иймон билан эргашганларнинг зурриётини уларга қўшдик ва уларнинг амалларидан ҳеч нарсани камайтирмадик. Ҳар бир киши ўз касби гаровидир. (Бу дунёда иймону ислом билан ўтган кишиларнинг агар зурриётлари ҳам иймон билан ўтган бўлса, даражалари унча юқори бўлмаса ҳам, Аллоҳ уларни оталарига қўшиб қўяр экан.
021_01	Лекин, шу билан бирга оталарнинг амалидан ҳеч бир нарса камайтирилмас экан. Яъни, болаларига олиб берилиб, уларнинг даражаси тенглатилмас экан. Чунки ҳар ким ўзи қилган касб-амалнинг гаровидир, амали яхши бўлса, оқибати ҳам яхши бўлади. Аллоҳ кўрсатмасин, амали ёмон бўлса, оқибати ҳам...)
022_00	Ва Биз уларга хоҳлаган мевалари ва гўштларини муҳайё қилиб қўйдик.
023_00	Улар унда қадаҳларни бир-бирларига узатурлар. У ерда беҳуда сергаплик ва гуноҳ йўқ. (Охират шаробида нохуш ишларнинг биронтаси рўй бермас экан.)
024_00	Ва атрофларида худди садафдаги дурдек ғуломлари айланиб, хизматда юришадир.
025_00	Баъзилари бошқаларидан ўгрилиб сўраша бошладилар.
026_00	Албатта, биз илгари ўз аҳлимиз даврасида У зотдан қўрқувчилардан эдик.
027_00	Бас, Аллоҳ бизга марҳамат қилди ва бизни дўзах азобидан сақлади.
028_00	Албатта, биз илгари Унга дуо қилардик. Албатта, Унинг Ўзи яхшилик қилувчи ва раҳмлидур.
029_00	Бас, эслатгин: сен Роббинг неъмати ила фолбин ҳам эмассан, мажнун ҳам эмассан. (Оятдаги «коҳин» сўзини биз фолбин деб таржима қилдик. Аслида, Арабистон ярим оролида коҳин алоҳида тушунчадир. У жинлар билан алоқаси борлигини ва ғойибдан хабар беришни даъво қилувчи шахсдир. Шунингдек, коҳинлар руҳлар, худолар билан ҳам алоқамиз бор дейишади ва баъзан табиблик даъвосини ҳам қилишади.)
030_00	Балки улар: «У шоир, биз унга ўлим етишини кутамиз», дерлар?
031_00	Сен: «Кутинглар, албатта, мен ҳам сизлар билан бирга кутувчидирман», деб айт.
032_00	Ё ақллари шунга буюрарми ёки улар туғёнга кетган қавмларми?
033_00	Балки, у(Қуръон)ни ўзи тўқиди, дерлар? Йўқ, улар иймон келтирмаслар.
034_00	Агар уларнинг гапи рост бўлса, у(Қуръон)га ўхшаш сўзни келтирсинлар.
035_00	Балки, улар ҳеч нарсадан ҳеч нарса йўқ ўзлари яралгандирлар?! Ёки улар яратувчиларми?
036_00	Балки, улар осмонлару ерни яратгандирлар?! Йўқ, улар ишонмаслар.
037_00	Балки уларнинг ҳузурида Роббингнинг хазиналари бордир?! Ёки улар бошқарувчиларми?
038_00	Балки уларнинг (хабар) эшитадиган нарвонлари бордир?! Ундоқ бўлса, эшитувчилари равшан ҳужжат келтирсинлар. (Мушриклар Муҳаммад алайҳиссаломни ёлғончига чиқарганлар. Хўш, нимага асосланиб бундай қилишган? Ёки уларнинг осмонга қўйган нарвонлари бор-у унга чиқиб, Муҳаммад Пайғамбар эмас, унга ваҳий юборилаётгани йўқ, деган хабарни эшитишдими? Агар ҳақиқатда эшитган бўлсалар, очиқ-ойдин далил кўрсатсинлар.)
039_00	Ёки У зотга қизлару сизларга ўғилларми?!
040_00	Ёки сен улардан ҳақ сўраяпсан-у, улар тўловдан қийналаяптиларми?!
041_00	Балки уларнинг ихтиёрида ғайб (илми) бўлиб, улар ёзиб олаётгандирлар?!
042_00	Балки ҳийла кўрсатишни хоҳларлар?! Бас, кофирлар ҳийлаларининг жазосини тортурлар.
043_00	Балки, уларнинг Аллоҳдан бошқа худолари бордир?! Аллоҳ улар келтираётган ширкдан пок бўлди.
044_00	Агар улар бошларига тушаётган парчани кўрсалар ҳам, тўпланган булут, дерлар.
045_00	Уларни ҳалокатга учрайдиган кунларига йўлиққунларигача тек қўй. (Мушрик ва динсизларни қиёмат кунигача қўйиб бер, нима қилишса қилишаверсин.)
046_00	У кунда ҳийлалари уларга ҳеч қандай фойда бермас ва уларга ёрдам ҳам берилмас.
047_00	Ва, албатта, зулм қилганларга ундан ўзга азоб ҳам бор, лекин кўплари билмаслар. (Яъни, кофир, золимларга охират азобидан ўзга бу дунёнинг азоби ҳам бор ёки қабр азоби бўлиши ҳам мумкин.)
048_00	Бас, Роббинг ҳукмига сабр қил. Албатта, сен кўз ўнгимиздасан, ўрингдан турганингда Роббингга тасбиҳ айт!
