001_00	Алиф. Лом. Ро. Ушбулар очиқ-ойдин китобнинг оятларидир.
002_00	Биз уни арабий Қуръон этиб нозил қилдик, шоядки ақл ишлатсангиз.
003_00	Биз сенга ушбу Қуръонда ваҳий қилган нарсамиз ила энг гўзал қиссани ҳикоя қилурмиз. Агарчи ундан олдин сен бундан бехабарлардан бўлсанг ҳам.
004_00	Юсуф отасига: «Эй отажоним, мен ўн битта юлдузни ҳам қуёш ва ойни кўрдим, уларнинг менга сажда қилаётганларини кўрдим», деганини эсла. (Бу тушни кўрганда Юсуф (а. с.) ёш бола эди. Одатда ёш болалар бунчалар аниқ ва башоратли туш кўрмайдилар. Яъқуб (а. с.) кичик ўғли Юсуфдан кўрган тушини эшитиб, шу гаплар хаёлидан ўтди. Бу туш улуғ келажакдан башорат эканини англади.)
005_00	У: «Эй ўғилчам, тушингни акаларингга айтмагин. Яна улар сенга бирор ҳийла қилмасинлар. Албатта, шайтон инсонга очиқ-ойдин душмандир», деди.
006_00	Шундай қилиб, Роббинг сени танлаб оладир, сенга тушларнинг таъбирини ўргатадир ва сенга ва Яъқуб аҳлига, худди оталаринг Иброҳим ва Исҳоққа батамом қилганидек, ўз неъматини батамом қилиб берадир. Албатта, Роббинг билгувчи ва ҳикматли зотдир».
006_01	(Аллоҳнинг Пайғамбари бўлмиш Яъқуб (а. с.) ўғли Юсуф кўрган тушни ана шундай таъбир қилган эди. Бу туш Юсуфнинг келажакда боболари Иброҳим ва Исҳоқ алайҳимуссаломлар каби Пайғамбар бўлишидан дарак берар эди.)
007_00	Батаҳқиқ, Юсуф ва унинг оға-иниларида сўровчилар учун оят-ибратлар бор эди. (Яъни, Юсуф ва унинг ака-укалари қиссасида ажойиб ибратли аломат-белгилар жуда ҳам кўпдир. Ким сўраса, эътибор берса, диққат билан ўрганса, кераклигича ваъз-насиҳат, ибрат ва ўрнак олади.)
008_00	Ўшанда улар: «Албатта, Юсуф ва унинг укаси отамизга биздан кўра маҳбуброқлар, ҳолбуки, биз кўпчиликмиз. Албатта, отамиз очиқ-ойдин адашувдадир», дедилар. (Яъни, Юсуфнинг акалари (улар ўн киши бўлиб, оналари бошқа эди), отамиз биздан кўра укамиз Юсуф ва унинг ота-она бир укаси икковини яхши кўради, аслида улардан кўра бизга кўпроқ эътибор бериши керак эди, отамиз бу ишда адашмоқда, дедилар.)
009_00	«Юсуфни ўлдиринглар ёки узоқ ерга олиб бориб ташланглар, шунда отангизнинг юзи сизга холи қолади. Бундан кейин солиҳ қавмдан бўлиб оласизлар», дедилар. (Бу уларнинг ўзаро маслаҳатлари эди. Улар нима қилиб бўлса ҳам, Юсуфни йўқотиб, оталари фақат ўзларига эътибор бериши учун ҳаракатга тушиб қолдилар. Шайтон васвасага солганда шундай бўлади.)
010_00	Улардан бир сўзловчи: «Юсуфни ўлдирманглар. Агар бирон иш қилмоқчи бўлсангиз, уни қудуқнинг қаърига ташланглар, баъзи йўловчилар олиб кетади», деди. (Акалар гапни бир жойга қўйиб, режани амалга ошириш учун ҳаракатга тушдилар. Бориб, оталарини аврай бошладилар.)
