001_00	Алиф. Лом. Ро. Булар ҳикматли китобнинг оятларидир.
002_00	Одамларга ўзларидан бўлган бир кишига ваҳий юбориб: «Одамларни огоҳлантир ва иймон келтирганларга Роббилари ҳузурида улар учун собитқадамлик борлигининг башоратини бер», деганимиз ажабланарли бўлдими?
002_01	Кофирлар: «Албатта, бу очиқ-ойдин сеҳргардир», дедилар.
003_00	Албатта, Роббингиз осмонлару ерни олти кунда яратган, сўнг аршни эгаллаган Аллоҳдир. У ишнинг тадбирини қиладир. Унинг изнисиз ҳеч бир шафоатчи бўлмас. Ана ўша Аллоҳ Роббингиздир. Бас, Унга ибодат қилинглар. Эсламайсизларми?! (Аллоҳ таоло Ўзининг Робблик–тарбиякунандалик сифати ила осмонлару ерни олти кунда яратган.
003_01	(Бу олти куннинг ҳақиқатини–кайфиятини Аллоҳнинг Ўзи билади. Аммо бизнинг тушунчамиздаги «кун» маъносида эмаслиги маълум. Чунки бизнинг тушунчамиздаги «кун» осмонлару ер яратилгандан сўнг ерга муносиб бўлган вақт билан чегараланади. Бу оятдаги «кун» эса, осмонлару ер яратилишидан олдинги замонга тегишли вақтни англатмоқда.)
004_00	Барчангизнинг қайтишингиз Унгадир. Аллоҳнинг ваъдаси ҳақдир.
004_01	Албатта, У аввал бошда (барчани) Ўзи яратади. Сўнгра иймон келтирган ва яхши амал қилганларни адолат-ла мукофотлаш учун уларни қайтарур. Кофир бўлганлар эса, куфр келтирганлари учун уларга қайноқ сувдан шароб ва аламли азоб бордир.
005_00	У қуёшни зиё ва ойни нур қилган ҳамда сизлар йилларнинг ададини ва ҳисобини билишингиз учун унинг манзилларини ўлчовли қилган зотдир. Аллоҳ ўшани фақат ҳақ ила яратди.
005_01	У биладиган қавмлар учун оятларини батафсил баён қилади. (Инсон ҳаёти давомида доимий ҳис этиб турадиган мавжудотлардан бири қуёш, яна биттаси ойдир. Лекин инсон уларнинг мавжудиятига ўрганиб қолганидан кўп ҳам эътибор бермайди.)
006_00	Албатта, кеча ва кундузнинг алмашиб туришида ва Аллоҳ осмонлару ерда яратган нарсаларда тақво қиладиган қавмлар учун оят-белгилар бордир. (Кеча кириши муқаррар лаҳзада кеча киради. Кундуз бўлиши муқаррар лаҳзада кундуз бўлади. Ҳеч ким, ҳеч қандай куч бу жараёнга аралаша олмайди. Ҳаммаси Аллоҳнинг иродаси ва тадбири ила рўй беради. Аммо бу ишлар тинимсиз такрорланаверганидан инсон бу жараёнга эътибор бермай қўйган.)
007_00	Албатта, Биз ила мулоқот бўлишини умид қилмаганлар ва бу дунё ҳаётидан рози бўлиб, у билан хотиржам қолганлар ҳамда оятларимиздан ғофил бўлганлар.
008_00	Ана ўшаларнинг жойлари, қилган касблари туфайли, жаҳаннамдир.
009_00	Албатта, иймон келтирганлар ва яхши амаллар қилганларни Роббилари иймонлари сабабли ҳидоятга бошлайдир. Наим жаннатларида остларидан анҳорлар оқиб турадир.
010_00	У ердаги дуолари: «Эй бор Худоё, сени поклаб ёд этамиз»дир. У ерда саломлашишлари «ас-Салом»дир. Охирги дуолари эса: «Оламларнинг Робби Аллоҳга ҳамд бўлсин»дир.
011_00	Агар Аллоҳ одамларга яхшиликни тез келтиргани каби ёмонликни ҳам тезлатса эди, ажаллари битган бўлур эди. Бас, Биз ила мулоқотда бўлишдан умиди йўқларни туғёнларида ташлаб қўямиз, адашиб-улоқиб юраверадилар. (Аллоҳ таоло бандаларига яхшиликни доим, тез, сўраса-сўрамаса бериб келади. Бу ҳаётда кўрилаётган ҳақиқат. Аммо ёмонликни сўраган заҳоти бермайди.
011_01	Чунки ёмонликни ҳам тезда берса, ҳаммалари ҳалок бўлиб кетадилар. Аллоҳ бандаларини бунинг учун яратмаган. Шу боис ҳам Пайғамбаримиз (с. а. в.) бир ҳадисларида насиҳат қилиб, кишиларни ўзларига қарши, моллари ва болаларига қарши дуо этишдан қайтарганлар.)
012_00	Қачонки инсонга зарар етса, Бизга ёнбошлаган, ўтирган ёки турган ҳолида дуо қиладир. Ундан зарарини кетказсак, худди ўзига етган зарар ҳақида Бизга дуо қилмагандек кетаверади. Ана шундай қилиб, исрофчиларга қилаётган амаллари зийнатланиб кўрсатилди. (Инсон иши юришиб турганида, ўзи соғ-саломат, тинч-омон ва роҳат-фароғатда бўлганида ҳеч нарса билан иши йўқ, бу дунё ҳаётига мағрур бўлиб юраверади. Албатта, Аллоҳ ҳидоятга бошлаган мўмин-мусулмонлардан бошқалари. Аммо мағрурланиб юрган ўша инсоннинг соғлиғигами, тинчлигигами ёки роҳатигами футур етса, бошига мусибат келса, дарҳол Аллоҳ ёдига тушади.
012_01	Ёнбошлаган, ўтирган ёки тик турган ҳолида, яъни, ҳар қандай ҳолатда Аллоҳга ёлборишни бошлайди. Ҳатто, энг катта кофир, фосиқлар ҳаётида ҳам бундай воқеалар рўй берганига тарихда мисоллар кўп. Яна аввалгидек, бу дунё ҳаётига ўзини уради. Аллоҳни унутади. Ўзининг бандалигини унутади. Бир куни келиб, бошига яна қайта мусибат тушиши мумкинлигини ҳам унутади. Ҳеч нарсадан тап тортмай, ибрат олмай, олдинги ҳолига тушиб қолади.)
013_00	Батаҳқиқ, сиздан олдинги асрларни зулм қилган чоғларида ва Пайғамбарлари очиқ-ойдин ҳужжатлар билан келганларида иймон келтирмайдиган бўлганларида ҳалок қилганмиз.
013_01	Жиноятчи қавмларни ана шундай жазолаймиз.
014_00	Сўнгра қандай амал қилишингизга назар солишимиз учун уларнинг ортидан сизларни ер юзида ўринбосарлар қилдик.
015_00	Қачонки, уларга очиқ-ойдин оятларимиз тиловат қилинганида, Бизга мулоқот бўлишдан умиди йўқлар: «Бундан бошқа Қуръон келтир ёки уни алмаштир», дедилар. Сен: «Мен ўзимча уни алмаштира олмайман. Мен фақат ўзимга ваҳий қилинган нарсага эргашаман, холос. Албатта, мен Роббимга осийлик қилсам, улуғ куннинг азобидан қўрқаман», деб айт. (Бу гапни ўта кетган жоҳилларгина айтиши мумкин.
015_01	Улар ваҳий нима эканини билишни ҳам хоҳламайдилар. Унинг кимдан чиққанини ҳам, унинг инсоният учун аҳамиятини ҳам билмайдилар. Яъни, Қуръоннинг ўрнига бошқа нарса келтириб ёки уни алмаштириб, Роббимга осийлик қилсам, улуғ қиёмат кунининг азобига дучор бўлишдан қўрқаман. Пайғамбар бўлатуриб у зот (с. а. в.) шунчалик қўрқсалар, Қуръон ўрнига бошқа дастур келтираётган ва унинг оятлари ёки ҳукмларини алмаштираётган оддий одамларни нима деса бўлар экан?!)
016_00	Сен: «Агар Аллоҳ хоҳлаганида, уни сизларга тиловат қилмас эдим ва У зот ҳам уни сизларга ўргатмас эди. Батаҳқиқ, мен орангизда ундан олдин ҳам умр кечирдим. Ақл ишлатиб кўрмайсизларми?» деб айт.
017_00	Аллоҳга ёлғон тўқиган ёки Унинг оятларини ёлғонга чиқарган кимсадан ҳам золимроқ одам борми?! Албатта, жиноятчилар нажот топмаслар.
018_00	Улар Аллоҳни қўйиб, ўзларига зарар ҳам, манфаат ҳам етказа олмайдиган нарсаларга ибодат қиларлар ва: «Ана ўшалар бизнинг Аллоҳ ҳузуридаги шафоатчиларимиздир!» дерлар.
018_01	Сен: «Аллоҳга у осмонлару ерда билмайдиган нарсаларнинг хабарини бермоқчимисизлар?!» деб айт. Аллоҳ улар келтираётган ширкдан пок ва юксак зотдир.
019_00	Одамлар фақат бир уммат бўлган эдилар. Сўнгра ихтилофга тушдилар. Агар Роббинг томонидан айтилган сўз бўлмаганида, улар ихтилоф қилаётган нарса ҳақида ораларида ҳукм қилинган бўлар эди. (Дарҳақиқат, Одам атодан кейин ҳамма бир хил ақидада–тавҳид ақидасида эди. Аммо вақт ўтиши билан турли омиллар таъсирида баъзи ихтилофлар келиб чиқди. Айрим одамлар тавҳидни маҳкам тутдилар. Бошқалари ширкка кетдилар.)
020_00	Ва улар: «Унга Роббидан оят-мўъжиза тушса эди», дерлар. Бас, сен: «Ғайб Аллоҳникидир. Интизор бўлиб туринг, мен ҳам сиз ила интизор бўлувчиларданман», деб айт. (Мушрикларнинг одатлари шу: атрофларидаги сон-саноқсиз мўъжизалардан кўз юмиб, Пайғамбарнинг (с. а. в.) ва у кишига келаётган ваҳийнинг ҳақ эканлигини тасдиқловчи алоҳида катта моддий мўъжиза келтиришни талаб қилишарди. Ҳазрати Муҳаммаднинг (с. а. в.) шариатлари охирги шариат бўлганидан Аллоҳ таоло мушрикларнинг матлубини ортга суришга аҳд қилган эди. Шу боис Пайғамбари Муҳаммадга (с. а. в.) мушрикларнинг бу бемаъни талабига: «Ғайб Аллоҳникидир. Интизор бўлиб туринг, мен ҳам сиз ила интизор бўлувчиларданман», деб айт», демоқда.)
021_00	Қачонки одамларга уларга етган зарардан сўнг раҳматни тотдирсак, баногоҳ, уларда оятларимиз ҳақида макр бўлур. Сен: «Аллоҳ макрда тезкордир. Албатта, элчиларимиз қилаётган макрларингизни ёзиб борурлар», деб айт. (Одам боласининг иши қизиқ: бошига мусибат тушса, Аллоҳни эслайди, Унга ёлборади, халос қилишини сўрайди. Мусибат кўтарилганида эса, ҳаммаси ёдидан чиқади, туғёнга кетади ва яна гуноҳ ишларга ботади.
021_01	Ушбу ҳолат ояти каримада: «Қачонки одамларга уларга етган зарардан сўнг раҳматни тотдирсак, баногоҳ, уларда оятларимиз ҳақида макр бўлур», деб васф қилинмоқда. Ожиз бандалар ўзларича макр қилишга уринадилар. Аммо ҳамма нарсани билгувчи ва ҳар нарсага қодир Аллоҳ уларнинг макрини дарҳол йўққа чиқаради. Бунинг устига, Аллоҳнинг элчилари–фаришталар ҳар бир макрни ёзиб туради. Вақти келганда ўша ёзув маккорлар зиддига ҳужжат бўлади. Маккорлар икки дунёда ҳам макрларининг азобини тортади.)
022_00	У сизларни қуруқликда ва денгизда юргизадиган зотдир.
022_01	Токи сизлар кемада бўлганингизда ва у(кемалар) яхши еллар ила уларни олиб кетганида ҳамда улар бундан хурсанд бўлганларида, қаттиқ шамол келур ва уларга ҳар томондан тўлқин келур.
022_02	Ўзларининг қуршовда қолганларини англаганларида Аллоҳга чин ихлос билан: «Агар бизни мана шундан қутқазсанг, албатта, шукр келтирувчилардан бўламиз», деб дуо қилурлар.
023_00	Бас, қачонки У зот уларга нажот берса, кўрибсизки, улар ер юзида ноҳақдан зулм қилурлар. Эй одамлар! Бу зулмингиз фақат ўз зиёнингизгадир.
023_01	Бу ҳаёти дунё матоҳи, холос. Сўнгра Бизга қайтишингиз бор. Бас, Биз нима амал қилганингизнинг хабарини берурмиз.
024_00	Албатта, дунё ҳаётининг мисоли худди Биз осмондан туширган сувга ўхшайдир.
024_01	Бас, одамлар ва чорвалар ейдиган ер набототи у билан аралашиб, ер безагини олганда ва зийнатлаганда ҳамда унинг аҳли, энди бунга эришдик, деб ўйлаганда, кечаси ёки кундузи унга Бизнинг амримиз келадир.
024_02	Биз уни худди куни кеча яшнаб турмагандек қуритиб қўямиз. Тафаккур қиладиган қавмлар учун оятларимизни ана шундай батафсил баён қилурмиз.
025_00	Аллоҳ тинчлик диёрига даъват қиладир ва Ўзи хоҳлаганларни сироти мустақимга ҳидоят қиладир. (Аллоҳ бандаларини икки дунёда ҳам саодатли бўлишларини хоҳлайди. Уларни тинчлик диёрида, омонликда, бахт-саодат ва фароғатда бўлишга чақиради. Кимки Аллоҳнинг чақириғига лаббай деб жавоб берса, унинг айтганларини қилса, барча яхшиликларга етишади. Тўғри йўлда–сироти мустақимда барқарор туради. Доимо яхшиликларга соҳиб бўлади.)
026_00	Гўзал амал қилганлар учун гўзал савоб ва зиёдалик бордир. Уларнинг юзларини қаролик ҳам, хорлик ҳам қопламас. Ана ўшалар жаннат эгаларидир. Улар унда абадий қолурлар. (Аллоҳга иймон келтириб, Унинг чақириғига лаббай деб жавоб бериб, яхши амалларни қилиб яшаган бандалар бу дунёда гўзал ҳаёт кечирадилар. Охиратда эса, бу дунёда қилган гўзал амаллари учун савоб оладилар, жаннатга дохил бўладилар.
027_00	Ёмонликларни касб қилганларга эса ёмонликларига яраша ёмон жазо бўлур. Уларни хорлик қоплайдир. Улар учун Аллоҳдан бирор сақловчи ҳам бўлмас. Юзлари худди тун зулматидан бир парча ила қопланган каби бўлур. Ана ўшалар дўзах эгаларидир.
027_01	Улар унда абадий қолурлар. Олдинги манзаранинг тамоман акси. Оятда бу дунёда гўзал амаллар эмас, ёмон амаллар қилганлар васф қилинаётир. Ёмонликлари туфайли улар бу дунёнинг ўзида ёмон ҳаёт кечирадилар. Охиратда эса, уларга: «»ёмонликларига яраша ёмон жазо бўлур».)
028_00	У кунда барчаларини тўплаймиз.
028_01	Сўнгра ширк келтирганларга: «Сизлар ҳам, шерик қилганларингиз ҳам жойингиздан қимирламангиз», деймиз. Бас, ораларини ажратамиз ва шерик қилинмишлар: «Бизга ибодат этмаган эдингиз.
029_00	Биз билан сизнинг орангизда шоҳидликка Аллоҳ кифоядир. Биз, албатта, сизнинг ибодатингиздан ғофил эдик», дерлар.
030_00	Ўша ерда ҳар бир жон ўзи қилиб ўтган ишдан сўралур-хабардор бўлур ва ҳақиқий хожалари Аллоҳга қайтарилурлар. Ҳамда ўзларича тўқиб чиқарган нарсалари улардан ғойиб бўладир.
031_00	Сен: «Сизларни осмонлару ерда ким ризқлантирур? Ёки қулоқ ва кўзларингизнинг эгаси ким, тирикни ўликдан, ўликни тирикдан ким чиқарур? Ишнинг тадбирини ким қиладир?» деб айт. Улар, албатта: «Аллоҳ», дерлар. Бас, сен: «Тақво қилмайсизларми?»
031_01	деб айт. (Ушбу ояти карималар нозил бўлаётган даврдаги одамлар тушунчаси бўйича, ўсиб-ҳаракатланиб турган нарсалар тирик, ҳаракатсиз, ўсмай турган нарсалар ўлик ҳисобланар эди. Ана шу тасаввурга биноан қадимги тафсирчиларимиз «ўликдан тирикни чиқариш»га тухумдан қушни, уруғдан ўсимликни, данакдан дарахтни чиқаришни ва шунга ўхшаш ҳолатларни мисол қилиб келтирганлар. Ёки, аксинча, ҳамма ҳайвонлар тирик бола туғади, қушлар эса, жонсиз тухумни. Ўсиб етилган ўсимликдан жонсиз уруғ чиқади. Буларнинг ҳаммасини ким қилмоқда? Албатта, Аллоҳ!)
