001_00	Осмонлардаги ва ердаги нарсалар Аллоҳга тасбиҳ айтди. Ва У азиз ва ҳакимдир.
002_00	Осмонлару ернинг мулки Уникидир. У тирилтирур ва ўлдирур ва У ҳар бир нарсага қодирдир.
003_00	У аввал ва охир, ошкор ва пинҳондир. Ва У ҳар бир нарсани билувчидир. («Аввал»-У барча мавжудотлар йўқлигида бор эди. «Охир»-У ҳамма нарса йўқ бўлиб кетганда ҳам Ўзи қолади. «Ошкор»-Унинг мавжудлиги ошкор, очиқ-ойдиндир. «Зоҳир»-У ҳамма нарсадан-устундир. «Пинҳон»-У кўзга кўринмайди. Ҳаммадан пинҳон - махфий нарсаларни билиб турувчидир.
004_00	У осмонлару ерни олти кунда яратиб, сўнгра аршни эгаллаган зотдир. Ерга нима кирганини ҳам, ундан нима чиққанини ҳам, осмондан нима тушганини ҳам унга нима чиққанини ҳам биладир.
004_01	У қаерда бўлсангиз ҳам сиз билан биргадир. Аллоҳ қилаётган амалларингизни кўриб турувчидир.
004_02	(«Истиво» луғатда кўтарилиш, ўрнашиш ва эгаллаш маъноларини билдиради. Лекин Аллоҳга нисбатан бу маъноларни биз тушунгандай ҳолатда ишлатиб бўлмайди. Шунинг учун, ҳамма нарсани яратгандан сўнг Аллоҳ уларни Ўзининг тасарруфига олди, деб шарҳланади.)
005_00	Осмонлару ернинг мулки Уникидир ва барча ишлар Аллоҳнинг Ўзигагина қайтадир.
006_00	У кечасини кундузга киритадир, кундузни кечасига киритадир ва У кўксингиздаги нарсани ҳам яхши билувчидир.
007_00	Аллоҳга ва Унинг Расулига иймон келтиринглар ҳамда сизларни халифа қилиб қўйган нарсалардан эҳсон қилинглар. Бас, сизлардан иймон келтирган ва эҳсон қилганларга улкан ажр бордир.
008_00	Сизларга нима бўлдики, Аллоҳга иймон келтирмайсизлар?! Ҳолбуки, Пайғамбар сизларни Роббиингизга иймон келтиришга чақириб турибдир. У сизлардан аҳд олган эди. Агар иймон келтирувчи бўлсаларингиз. (Яъни, Агар сизлар ўзи бирор нарсага ишонувчи бўлсаларингиз, нима учун Аллоҳга ишонмаяпсизлар. Ҳолбуки, орангизда Пайғамбар юриб, сизни парвардигорингизга иймон келтиришга чақириб турибди.)
009_00	У зот Ўз бандасига сизларни зулматлардан нурга чиқариш учун равшан оятларни туширадир. Ва, албатта, Аллоҳ сизларга шафқатли ва раҳмлидир.
010_00	Сизларга нима бўлдики, Аллоҳнинг йўлида эҳсон қилмайсизлар?! Ҳолбуки, осмонлару ернинг мероси Аллоҳникидир. Сизлардан ҳеч ким фатҳдан илгари эҳсон қилганларга ва урушда қатнашганларга баробар бўла олмайдир. Уларнинг даражалари фатҳдан сўнг эҳсон қилганлардан ва урушда қатнашганлардан кўра улуғдир.
010_01	Аллоҳ барчага яхшиликни ваъда қилгандир. Ва Аллоҳ нима қилаётганларингиздан хабардордир. (Оятдаги «Фатҳ» сўзи Маккаи мукаррамани Пайғмбар алайҳиссалом бошлиқ мусулмонлар Мадинаи мунавварадан келиб мушриклардан озод қилиш маъносида айтилган.)
011_00	Аллоҳга яхши қарз берадиган киши борми?! Бас, У зот унга бир неча марта кўпайтириб қайтарадир ва унга карамли ажр бордир. (Аллоҳ таоло Ўз дини йўлида сарфланадиган молу мулкни унга берилган «яхши қарз»га, яъни, орага судхўрлик ва бошқа ғаразлар қўшилмаган қарзга ўхшатмоқда. Бунда эҳсон, инфоқ қилишга катта тарғиб бордир. Чунки қарзни муҳтожлар олади, Аллоҳ эса ҳеч нарсага муҳтожлиги йўқ, балки барчанинг Унга муҳтожлиги бор зотдир. )
012_00	Мўмин ва мўминаларни уларнинг олдиларида ва ўнг тарафларида нурлари ҳаракат қилаётган ҳолда кўрган кунингда, Сизларга бугунги куннинг хушхабари дарахтлари остидан сувлари оқиб турган жаннатлардир.
012_01	У жойда абадий қолажаксиз. Бу эса, айнан улкан ютуқдир, (дейиладир).
013_00	Мунофиқ ва мунофиқалар иймонлиларга: «Тўхтаб туринглар, биз ҳам нурингиздан бир оз олайлик», деган ва уларга: «Ортингизга қайтинг ҳамда нур қидиринг», дейилган кунда. Бас, уларнинг орасига эшиги бор қўрғон уриладир. Унинг ичида раҳмат, ташқарисида - олдида азобдир. (Қиёмат куни зулмат бўлиб, албатта, бу ўша кунда рўй берадиган ҳодисаларнинг бир босқичи, холос. Ҳеч ким ҳеч нарсани кўрмай қолганда, мўминларга нур ато қилиниб, улар шодон ва шаҳдам юриб боришади.
013_01	Шунда мунофиқлар: «Бизни ташлаб кетманглар, кутиб туринглар, бизга ҳам нурингиздан озгина беринглар», деб ялинишар экан. Уларга: «Ортингизга қайтиб, ўзингиз нур ахтаринг», дейиларкан. Улар қандай қилиб нур топишарди. Бу дунёда жоҳилият зулматларидан Ислом нурига чиқишни хоҳламаган эдилар. Энди охират зулматларида хору зор бўлишлари турган гап.)
014_00	Уларга (мунофиқлар): «Биз сиз билан бирга эмасмидик?!» деб нидо қилурлар.
014_01	Улар: «Худди шундай. Лекин сизлар Аллоҳнинг амри келгунча ўзингизни ўзингиз фитнага дучор қилдингиз, кўз тикиб кутдингиз, шубҳа қилдингиз ва сизларни хом-хаёллар ғурурга кетказди. Сизларни Аллоҳ ҳақида алдамчи алдаб қўйди.
015_00	Бугун сизлардан ҳам, куфр келтирганлардан ҳам тўлов олинмас. Жойларингиз жаҳаннамда, у сизнинг эгангиздир. Қандай ҳам ёмон борар жой!» - дерлар. (Мунофиқлар: «Ажаб эмас, Ислом мағлубиятга учраб, мусулмонлар енгилса», деган хом хаёлларга берилиб, ғурурга кетадилар. Мунофиқларни шайтон «Сизлар тўғри иш қиляпсизлар, мабода нотўғри бўлса ҳам, Аллоҳнинг ўзи кечиради», деб уларни алдаб қўяди. Қиёмат кунида уларга ҳеч қандай нажот йўқ.)
016_00	Иймон келтирганлар учун Аллоҳнинг зикрига ва нозил бўлган ҳаққа қалблари юмшаш, айни чоқда, олдин китоб берилган, сўнг муддат ўтиши билан қалблари қотиб қолган, кўплари фосиқ бўлганларга ўхшамаслик вақти келмадими?! (Агар Аллоҳ тез-тез эслаб турилмаса, Қуръон ва шариатдан, дин таълимотларидан узоқлашилса, инсон қалбини моғор босади, бағри тошга айланади.
016_01	Унга Аллоҳнинг зикри ҳам, диний таълимотлар ҳам таъсир қилмайдиган бўлиб қолади. Аввал Таврот ва Инжил каби илоҳий китоблар берилган яҳудий ва насронийларнинг вақт ўтиши билан оятда тасвирланганидек қалбларини моғор босиб, қаттиқ бўлиб қолган.)
017_00	Билингларки, албатта Аллоҳ ўлик ерни тирилтирур. Дарҳақиқат, сизларга оятларни баён қилдик, шоядки ақл юритсангизлар.
018_00	Албатта, садақа қилувчи эркагу аёл ҳамда Аллоҳга қарзи ҳасана берувчиларга (савоб) кўпайтириб берилур. Уларга карамли ажр ҳам бор.
019_00	Аллоҳга ва Унинг Пайғамбарларига иймон келтирганлар, ана ўшалар, сиддиқлардир. Ва Роббилари ҳузуридаги шоҳидлардир. Уларнинг ажрлари ва нурлари бор. Куфр келтирганлар ва оятларимизни ёлғонга чиқарганлар, ана ўшалар, дўзах эгаларидир. (Ушбу оятда Аллоҳга ва Унинг Пайғамбарларига иймон келтирганлар, сиддиқлар, деб аталмоқда.
019_01	«Сиддиқ» аслида сўзига, эътиқодига ва амалига содиқ кишиларнинг сифатидир. Улар фазл ва мартабада Пайғамбарлардан кейин турадилар. Уларнин ҳаммаларига улуғ ажр ва қиёмат зулматида йўлларини ёритиб борадиган нур бордир. Кофирларга эса дўзах рўпара қилинади.)
020_00	Билингки, албатта, бу дунё ҳаёти ўйин, кўнгил эрмаги ва зеб-зийнатдан, ўзаро фахрланишдан, мол-мулкни ва бола-чақани кўпайтиришдан иборатдир. Худди ўсимлиги деҳқонларни ажаблантирган ёмғирга ўхшайдир. Кейинроқ бу ўсимликлар қурийдир ва сарғайганини кўрасан. У сўнгра хас-чўпга айланиб кетадир. Охиратда эса қаттиқ азоб бор, Аллоҳдан мағфират ва розилик бор.
020_01	Бу дунё ҳаёти ғурурга кетгазувчи матодан ўзга ҳеч нарса эмас. (Яъни, бу дунё ҳаёти шундай бир ёмғирга ўхшайдики, у ёққандан сўнг чиққан наботот деҳқонларни ҳайратга солади, завқлантиради. Аслида эса бу ҳол ўткинчидир. Яъни, ўсимликлар тезда қурийди. ранги сарғаяди ва қуриб, қовжираб, уқаланиб кетади.
