001_00	Ҳа-а. Мийм.
002_00	Очиқ-ойдин Китобга қасам.
003_00	Албатта, Биз уни муборак кечада нозил қилдик. Албатта, Биз огоҳлантиргувчи бўлдик. (Ушбу оятда зикр этилаётган, Қуръон нозил қилинган кеча муборак Рамазон ойининг кечаларидан бири бўлмиш «Лайлатул қадр»дир. Бу кеча, дунё тарихидаги энг муборак кечадир. Чунки, бу кечада Аллоҳ таолонинг охирги, баркамол ва бутун инсониятга қиёмат кунигача саодат йўлини кўрсатиб берувчи китоби туша бошлаган.)
004_00	Ўша(кеча)да ҳар бир ҳикматли иш ажратилиб, ҳал қилинур.
005_00	Биз томонимиздан бўлган амрга биноан. Албатта, Биз Пайғамбар юборгувчи бўлдик.
006_00	Роббинг томонидан (кўрсатилган) раҳматдир. Албатта, Унинг Ўзи ўта эшитгувчи, ўта билгувчи зотдир.
007_00	Осмонлару ернинг ва уларнинг орасидаги нарсаларнинг Роббидир. Гар ишонгувчи бўлсангиз.
008_00	Ундан ўзга ибодатга сазовор зот йўқ. У тирилтирур ва ўлдирур. У сизнинг Роббингиз ва ота- боболарингизнинг Роббидир.
009_00	Йўқ! Улар шак-шубҳада, ўйнамоқдалар.
010_00	Бас, осмон аниқ тутунни келтирадиган кунни кут.
011_00	У одамларни ўраб олур. Бу аламли азобдир.
012_00	Эй Роббимиз! Биздан азобни кушойиш қил! Албатта, Биз иймон келтиргувчидирмиз.
013_00	Уларга қаёқдан ҳам эслатма бўлсин. Ҳолбуки, уларга очиқ-ойдин Пайғамбар келган эди.
014_00	Сўнгра ундан юз ўгирдилар ва: «Бу ўргатилган мажнун», дедилар.
015_00	Албатта, Биз азобни озгина кушойиш қилгувчимиз. Албатта, сизлар қайтгувчисизлар. (Биз сиздан азобни озгина кушойиш қиламиз. Аммо сиз бундан ибрат олмайсиз, яна куфрга қайтасиз.)
016_00	Катта ушлаш ила ушлаганимиз куни, албатта, Биз интиқом олгувчимиз. (Бу ушлаш ва интиқом олиш қиёмат кунидадир.)
017_00	Батаҳқиқ, улардан олдин Фиръавн қавмини синадик. Уларга карамли Пайғамбар келди.
018_00	«Сизлар менга Аллоҳнинг бандаларини беринглар. Албатта, мен сизларга ишончли Пайғамбарман.
019_00	Ва Аллоҳга мутакаббирлик қилманг. Албатта, мен сизга очиқ-ойдин ҳужжат келтирурман.
020_00	Ва, албатта, мен ўзимнинг Роббим ва сизнинг Роббингиздан мени тошбўрон қилишингиздан паноҳ сўрадим.
021_00	Ва агар менга иймон келтирмасангиз, мендан четланинг», деб.
022_00	Бас, у(Мусо) Роббига: «Албатта, анавилар жиноятчи қавмдир», деб дуо қилди.
023_00	Бас, бандаларим ила кечаси юриб кет. Албатта, сиз изингиздан қувилурсиз. (Бани Исроилни олиб, кечаси Мисрдан чиқиб кет. Душман, албатта, сизларнинг изингиздан тушади.)
024_00	Ва денгизни сокин ҳолида қўй, албатта, улар ғарқ қилинадиган қўшиндир. (Дарҳақиқат, Фиръавн ва унинг аскарлари ҳам тўхтаб турган денгиз сари тушдилар. Ҳаммалари денгизда очилган йўлга тушиб бўлганларидан кейин шу дамгача иккига бўлиниб сокин турган сув ҳаракатга келди ва уларни ғарқ қилди.)
025_00	Улар ортларидан қанчадан-қанча боғу роғларни ва булоқларни.
026_00	Экинзорларни ва яхши жойларни.
027_00	Ва ўзлари ичида маза қилаётган нозу неъматларни қолдирдилар.
028_00	Мана шундай! Биз у(нарса)ларни бошқа қавмларга мерос қилиб бердик.
029_00	Бас, уларга осмон ҳам, ер ҳам йиғламади ва улар муҳлат берилганлардан ҳам бўлмадилар.
030_00	Батаҳқиқ, Бани Исроилга хорловчи азобдан.
031_00	Фиръавндан нажот бердик. Албатта, у мутакаббир ва ҳаддидан ошганлардан эди. (Фиръавн ва қавмини ҳалок қилиш билан биз Бани Исроилни азобдан озод этдик. Улар унинг қавми қўл остида азоб чекар эдилар.)
032_00	Батаҳқиқ, Биз уларни билиб туриб, оламлар ичидан танлаб олдик.
033_00	Ва уларга оят-мўъзижалардан ичида очиқ-ойдин синов бор нарсаларни бердик. (Аллоҳ таоло Бани Исроилга турли оят-мўъжизалар юборди. Уларда синов бор эди.)
034_00	Албатта, анавилар дерлар:
035_00	«Биринчи ўлимимиздан бошқа ҳеч қандай ўлим йўқ ва биз қайта тирилтирилувчи эмасмиз.
036_00	Агар ростгўй бўлсангиз, ота-боболаримизни келтиринглар».
037_00	Улар яхшироқми ёки Туббаъ қавмию улардан олдин ўтганларми?! Биз уларни ҳалок қилдик. Албатта, улар жиноятчи бўлган эдилар. (« Туббаъ» Яман подшоҳларининг лақабидир. Араблар ичида уларнинг довруғи кенг тарқалган эди.)
038_00	Осмонлару ерни ва уларнинг орасидаги нарсаларни ўйнаб яратганимиз йўқ!
039_00	Биз уларни фақат ҳақ ила яратдик, лекин кўплари билмаслар.
040_00	Албатта, ажратиш куни барчалари учун белгиланган вақтдир. («Ажратиш куни» қиёматнинг номларидан бири. У кунда ҳақ ботилдан, мўминни кофирдан, яхши ёмондан ажратилади. Шунинг учун ҳам « ажратиш куни « деб номланган. Ана ўша кун ҳамманинг қайта тирилиши ва тўпланиши учун белгиланган вақтдир.)
041_00	У кунда дўст дўстга бирон нарсада асқотмас ва уларга ёрдам ҳам берилмас.
042_00	Магар кимга Аллоҳ раҳм қилсагина (ёрдам берилур). Албатта, У азиз ва ўта раҳмли зотдир. (Азиз ва раҳимли сифати ила мўмин-мусулмон, тақводор бандаларига раҳм қилади, ёрдам беради.)
043_00	Албатта, Заққум дарахти.
044_00	Гуноҳкорлар таомидир.
045_00	У худди эритилган маъдандек қоринларда қайнайдир.
046_00	Қайноқ сувнинг қайнашига ўхшайдир. (Дўзахилар қоринлари очса, нима ейишади? Уларга қоринлари очганида таом учун Заққум дарахтининг меваси берилади. Заққум аччиқлиги ва заҳарлилиги билан оғизларда зарбулмасал бўлиб кетган. Ана ўша заҳар гуноҳкорларга таом бўлади, қоринларида эритилган маъдан, темир ёки мисдек ёхуд доғ қилинаётган ёғдек қайнаб туради. У худди сувдек қайнайди.)
047_00	Уни тутиб, жаҳиймнинг ўртасига судраб олиб боринглар!
048_00	Сўнгра боши устидан қайноқ сув азобини қуйинглар!
049_00	Тотиб кўр! Албатта, сен ўзинг «азизу мукаррамсан»!
050_00	Албатта, бу сиз (бўлишида) шубҳа қилиб юрган нарсадир!
051_00	Албатта, тақводорлар омонлик жойида.
052_00	Боғу роғлар ва булоқларда бўлурлар.
053_00	Улар шойи ипак киюрлар, бир-бирларига юзма-юз ҳолда (ўлтирурлар).
054_00	Ана шундай! Ва Биз уларни ҳури ийнларга уйлантирдик.
055_00	Улар у ерда омонлик ҳолларида турли меваларни чақирурлар.
056_00	Улар у ерда биринчи ўлимдан бошқа ўлимни тотмаслар. У зот уларни жаҳийм азобидан сақлар. (Яъни, тақводорлар бу дунёдан у дунёга ўтишда тотган ўлимдан бошқа ўлимни тотмайдилар, жаннатда абадий тирик қоладилар. Ҳамда Аллоҳ таоло уларни дўзах азобидан сақлайди.)
057_00	Бу Роббингдан бўлган фазлдир. Ана шу улкан ютуқдир.
058_00	Бас, албатта, Биз у(Қуръон)ни сенинг тилинг ила осонлаштирдик. Шоядки эсласалар.
059_00	Бас, кутиб тур. Улар ҳам кутгувчидирлар.
