001_00	Осмонлару ердаги барча нарсалар Аллоҳга тасбиҳ айтадир. У зот ғолиб ва ҳикмат эгасидир.
002_00	Эй иймон келтирганлар! Нима учун қилмаган нарсангизни гапирасиз.
003_00	Қилмаган нарсангизни гапиришингиз Аллоҳнинг наздида қаттиқ ёмон кўрилгандир. (Жиҳод фарз қилинишидан аввал бир гуруҳ мўминлар, агар Аллоҳ таоло бизни Ўзи энг суядиган амалга буюрганда эди, уни бажариб улкан савобларга эришардик, деб орзу қилиб юришарди. Шунда Аллоҳ Пайғамбар алайҳиссаломга ваҳий юбориб, жиҳодни фарз қилди, аммо аввал гапириб юрганларга бу амр машаққатли туюлди, оғир ботди. Шундан сўнг Аллоҳ таоло юқоридаги оятларни тушириб, уларни огоҳлантирди. Бундан камида иккита ибрат чиқади: биринчиси - жиҳод Аллоҳ нақадар суйган амаллардан эканини ҳамда иккинчиси - айтганига амал қилиш энг олий даражадаги мартаба эканини биламиз. Бу гаплар ҳар бир ислом умматига тегишлидир. Қайси уммат - миллат шунга амал қилса, Аллоҳ олдида улкан савобга, ҳаётда эса улкан тараққиётга эришади.)
004_00	Албатта, Аллоҳ Ўз йўлида худди жипс бинодек бўлиб, сафда туриб уруш қиладиганларни яхши кўрадир. (Аллоҳ таоло мўминлар жамиятини доимо бирдам, ҳамфикр ва жипслашган бўлишини хоҳлайди. Бу оятда эса урушда ҳам бирдам бўлишга, жипслашиб, душманни бир жабҳа бўлиб қарши олишга буюрмоқда.)
005_00	Мусо ўз қавмига: «Эй қавмим, Аллоҳнинг Расули эканимни билиб туриб, яна нима учун менга озор берасиз», деганини эсла.
005_01	Улар (ҳақдан) бурилган эдилар Аллоҳ уларнинг қалбини буриб қўйди. Аллоҳ фосиқ қавмларни ҳидоят қилмас.
006_00	Ийсо ибн Мариям: «Эй Бани Исроил, албатта, мен ўзимдан олдин келган Тавротни тасдиқловчи ва мендан кейин келувчи Аҳмад исмли Расулнинг башоратини берувчи, Аллоҳ сизларга юборган Пайғамбарман», деганини эсла.
006_01	(Аҳмад) уларга ҳақ билан келган вақтда эса, бу очиқ-ойдин сеҳрдир, дедилар.
007_00	Исломга даъват қилиниб турганда Аллоҳга нисбатан ёлғон тўқиган кимсадан ҳам золимроқ киши борми? Ҳолбуки. Аллоҳ золимларни ҳидоятга солмас. (Яъни, инсон Исломга даъват қилинса, икки дунёнинг саодатига эриштирувчи динга чақирилса, уни хурсандлик билан қабул қилишнинг ўрнига, Аллоҳга нисбатан ёлғон тўқиса, ҳақиқатдан у дунёдаги энг ашаддий золим ҳисобланади. Ундайларнинг Аллоҳ таолога нисбатан тўқиган ёлғонлари турлича бўлади.)
008_00	Оғизлари билан Аллоҳнинг нурини ўчирмоқчи бўлурлар. Ҳолбуки, Аллоҳ, кофирлар ёқтирмаса ҳам, Ўз нурини тугал этгувчидир. ( Ислом динини йўқ қилиш учун уринувчиларнинг ҳаракати қуёшнинг шуъласини оғиз билан пуфлаб ўчиришга ҳаракат қилишга ўхшайди.)
009_00	У зот, Ўз Расулини ҳидоят ва ҳақ дин билан барча динлардан устун қилиш учун юборган зотдир. Гарчи мушриклар ёқтирмасалар ҳам.
010_00	Эй иймон келтирганлар! Сизларни аламли азобдан нажот топтирувчи тижоратга далолат қилайми?
011_00	Аллоҳга ва Унинг Расулига иймон келтирасизлар ҳамда Унинг йўлида молингиз ва жонингиз билан жиҳод қиласизлар. Шундоқ қилмоқларингиз, агар билсангизлар, ўзларингиз учун яхшидир.
012_00	Ана шунда, У зот гуноҳларингизни кечирур ва сизларни адн жаннатидаги остидан анҳорлар оқиб турган боғларга ва яхши масканларга киритур. Бу улуғ ютуқдир.
013_00	Ва сизлар яхши кўрадиган бошқаси ҳам бор. Аллоҳдан ёрдам ва яқин зафар. Ва мўминларга башорат бер. (Ушбу оят Қуръони каримнинг ғойибдан берган хабарларидан бўлиб, улкан мўъжиза ҳамдир. Чунки у Маккаи Мукаррама фатҳ этилишидан аввал тушган. Бундан бир оз вақтдан кейин Аллоҳ таоло ушбу оятда берган ваъдаси устидан чиқди. Аллоҳнинг ёрдами бўлиб, Макка мусулмонлар қўлига ўтди. Сўнг тезда бутун Арабистон ярим ролига Ислом дини тарқалди.)
014_00	Эй иймон келтирганлар! Аллоҳнинг ёрдамчилари бўлинг! Худди Ийсо ибн Марям ҳаворийларга: «Ким Аллоҳ учун менинг ёрдамчим»
014_01	деганида, ҳаворийлар: «Биз Аллоҳнинг ёрдамчиларимиз», деганларидек. Бас, Бани Исроилдан бир тоифа иймон келтирди ва бир тоифа кофир бўлди. Бас, Биз иймон келтирганларни душманлари устидан қўллаб-қувватладик.
014_02	Ва улар ғолиб бўлдилар. (Ҳаворийлар Ийсо алайҳиссаломнинг шогирдлари, у кишига яқин одамлардир. Аллоҳ таоло бу ояти каримада мусулмонларни Ислом динига хизмат қилишга чақирмоқда ва бу хизматни Аллоҳга ёрдамчи бўлиш, деб атамоқда.)
