001_00	Ha, Mim.
002_00	Bu Kitap, merhametli olan Allah katından indirilmedir; bilen bir millet için müjdeci ve uyarıcı olmak üzere Arapça okunarak, ayetleri uzun uzun açıklanmıştır. Ama insanların çoğu yüz çevirmiştir, onlar işitmezler de: "Bizi çağırdığın şeye karşı kalblerimiz kapalıdır, kulaklarımızda ağırlık, bizimle senin aranda anlaşmamıza engel vardır; istediğini yap, biz de yapacağız" derler.
003_00	Bu Kitap, merhametli olan Allah katından indirilmedir; bilen bir millet için müjdeci ve uyarıcı olmak üzere Arapça okunarak, ayetleri uzun uzun açıklanmıştır. Ama insanların çoğu yüz çevirmiştir, onlar işitmezler de: "Bizi çağırdığın şeye karşı kalblerimiz kapalıdır, kulaklarımızda ağırlık, bizimle senin aranda anlaşmamıza engel vardır; istediğini yap, biz de yapacağız" derler.
004_00	Bu Kitap, merhametli olan Allah katından indirilmedir; bilen bir millet için müjdeci ve uyarıcı olmak üzere Arapça okunarak, ayetleri uzun uzun açıklanmıştır. Ama insanların çoğu yüz çevirmiştir, onlar işitmezler de: "Bizi çağırdığın şeye karşı kalblerimiz kapalıdır, kulaklarımızda ağırlık, bizimle senin aranda anlaşmamıza engel vardır; istediğini yap, biz de yapacağız" derler.
005_00	Bu Kitap, merhametli olan Allah katından indirilmedir; bilen bir millet için müjdeci ve uyarıcı olmak üzere Arapça okunarak, ayetleri uzun uzun açıklanmıştır. Ama insanların çoğu yüz çevirmiştir, onlar işitmezler de: "Bizi çağırdığın şeye karşı kalblerimiz kapalıdır, kulaklarımızda ağırlık, bizimle senin aranda anlaşmamıza engel vardır; istediğini yap, biz de yapacağız" derler.
006_00	Onlara söyle: "Ben de ancak sizin gibi bir insanım. Bana, tanrınızın tek bir Tanrı olduğu vahyolunuyor. Artık O'na yönelin, O'ndan bağışlanma dileyin; vay ortak koşanlara!"
007_00	Onlar zekat vermezler; ahireti inkar edenler de yalnız onlardır.
008_00	Doğrusu inanıp yararlı iş işleyenlere, onlara kesintisiz bir ecir vardır.
009_00	"Siz yeri iki günde yaratanı mı inkar ediyor ve O'na eşler koşuyorsunuz! O, alemlerin Rabbidir" de.
010_00	Yeryüzüne üstünden ağır baskılar (dağlar) yerleştirdi, onu bereketli kıldı; arayıp soranlar için gıdalarını tam (toplam) dört gün içinde yetiştirmesi kanununu koydu (takdir etti).
011_00	Sonra, duman halinde bulunan göğe yöneldi, ona ve yeryüzüne: "İsteyerek veya istemeyerek buyruğuma gelin" dedi. İkisi de: "İsteyerek geldik" dediler.
012_00	Böylece onları, iki gün içinde yedi göğe tamamladı ve her göğün işini kendisine bildirdi.
012_01	Yakın göğü ışıklarla donattık ve bozulmaktan koruduk. İşte bu, bilen, güçlü olan Allah'ın kanunudur.
013_00	Eğer yüz çevirirlerse onlara de ki: "İşte sizi, Ad ve Semud'un başına gelen yıldırıma benzer bir azap ile uyardım."
014_00	Onlara, önlerinden, artlarından, her yönden: "Allah'tan başkasına kulluk etmeyin" diyen peygamberler gelmişti: "Eğer Rabbimiz böyle bir şey dileseydi melekler indirirdi.
014_01	Doğrusu sizinle gönderileni inkar ederiz" demişlerdi.
015_00	Ad milleti, yeryüzünde haksız yere büyüklük taslamış, "Bizden daha kuvvetli kim vardır?" demişti.
015_01	Onlar, kendilerini yaratan Allah'ın onlardan daha kuvvetli olduğunu görmüyorlardı değil mi? Ayetlerimizi bile bile inkar ediyorlardı.
016_00	Rezillik azabını onlara dünya hayatında tattırmak için uğursuz günlerde üzerlerine dondurucu bir kasırga gönderdik.
016_01	Ahiret azabı ise daha çok alçaltıcıdır ve onlar yardım da görmezler.
017_00	Semud milletine, doğru yolu göstermiştik, ama onlar körlüğü, doğru yolda gitmeye tercih ettiler. Kazandıklarının karşılığı olarak onları alçaltıcı azabın yıldırımı çarptı.
018_00	İnananları ve Allah'a karşı gelmekten sakınmış olanları kurtardık.
019_00	Allah'ın düşmanları o gün cehenneme sürülürler. Hepsi bir aradadırlar.
020_00	Sonunda oraya varınca, kulakları, gözleri ve derileri, yaptıkları hakkında onların aleyhinde şahidlik ederler.
021_00	Derilerine: "Aleyhimize niçin şahidlik ettiniz?" derler. "Bizi, her şeyi konuşturan Allah konuşturdu. Sizi önce yaratan O'dur ve O'na döndürülüyorsunuz" cevabını verirler.
022_00	Siz, gözleriniz, kulaklarınız ve derilerinizin aleyhinize şahidlik edeceğinden korkarak kötü iş işlemekten çekinmiyordunuz. Hayır; Allah'ın, yaptıklarınızın çoğunu bilmediğini sanıyordunuz.
023_00	İşte Rabbinizi böyle sanmanız sizi mahvetti de hüsrana uğrayanlardan oldunuz.
024_00	İster sabretsinler ister etmesinler, onların durağı ateştir. Hoş tutulmalarını isteseler de artık hoş tutulmazlar.
025_00	Onların yanına bir takım yardakçılar koyarız da geçmişlerini geleceklerini onlara güzel gösterirler.
025_01	Verilen söz, gerek cinlerden ve gerekse insanlardan, gelip geçmiş ümmetler içinde, onların aleyhine gerçekleşmiştir. Doğrusu onlar hüsranda idiler.
026_00	İnkar edenler: "Bu Kuran'ı dinlemeyin, okunurken gürültü yapın, belki bastırırsınız" dediler.
027_00	İnkar edenlere çetin bir azap tattıracağız. İşledikleri en kötü işlere karşılık onların cezasını vereceğiz.
028_00	İşte böyle; Allah'ın düşmanlarının cezası ateştir. Ayetlerimizi bile bile inkar etmeleri karşılığı orası onların temelli kalacakları yerdir.
029_00	İnkar edenler: "Rabbimiz! Cinlerden ve insanlardan, bizi saptıranları göster, onları ayaklarımızın altına alalım da en altta kalanlardan olsunlar" derler.
030_00	"Rabbimiz Allah'tır" deyip sonra da doğrulukta devam edenler, onları, melekler, ölümleri anında: "Korkmayınız, üzülmeyiniz, size söz verilen cennetle sevinin, biz dünya hayatında da, ahirette de size dostuz. Burada, canlarınızın çektiği, umduğunuz şeyler, bağışlayan ve acıyan Allah katından bir ziyafet olarak size sunulur" diyerek inerler.
031_00	"Rabbimiz Allah'tır" deyip sonra da doğrulukta devam edenler, onları, melekler, ölümleri anında: "Korkmayınız, üzülmeyiniz, size söz verilen cennetle sevinin, biz dünya hayatında da, ahirette de size dostuz. Burada, canlarınızın çektiği, umduğunuz şeyler, bağışlayan ve acıyan Allah katından bir ziyafet olarak size sunulur" diyerek inerler.
