001_00	Allah, inkar edenlerin ve kendi yolundan alıkoyanların işlerini boşa çıkarır.
002_00	İnanıp yararlı iş işleyenlerin ve Muhammed'e, Rablerinden bir gerçek olarak indirilene inananların kötülüklerini Allah örter ve durumlarını düzeltir.
003_00	Bu, inkar edenlerin batıla uymaları ve inananların Rablerinden gelen gerçeğe uymalarından ötürü böyledir. Allah böylece insanlara kendilerinin misallerini anlatır.
004_00	Savaşta inkar edenlerle karşılaştığınızda boyunlarını vurun; sonunda onlara üstün geldiğinizde onları esir alın; savaş sona erince onları ya karşılıksız, ya da fidye ile salıverin; Allah dilemiş olsaydı, onlardan başka türlü öç alabilirdi, bunun böyle olması, kiminizi kiminizle denemek içindir.
004_01	Allah, kendi yolunda öldürülenlerin işlerini boşa çıkarmaz.
005_00	Onları doğru yola eriştirir, durumlarını düzeltir.
006_00	Onları, kendilerine anlattığı cennete koyar.
007_00	Ey inananlar! Siz Allah'ın dinine yardım ederseniz, O da size yardım eder, ayaklarınızı savaşta sabit kılar.
008_00	İnkar edenlere ise, yıkım ve yokluk olsun! Allah onların işlerini boşa çıkarır.
009_00	Bu, Allah'ın indirdiğini beğenmediklerinden ötürüdür. İşlerini Allah bunun için boşa çıkarmıştır.
010_00	Yeryüzünde dolaşıp kendilerinden öncekilerin sonlarının nasıl olduğuna bakmazlar mı? Allah onları yere geçirmiştir; inkarcılara da onların başına gelenin benzerleri vardır.
011_00	Çünkü Allah inananların sahibidir. Kafirlerin ise sahibi yoktur.
012_00	Doğrusu Allah, inanıp yararlı işler işleyenleri içlerinden ırmaklar akan cennetlere koyar.
012_01	Durakları ateş olduğu halde kafirler, zevklenirler ve hayvanlar gibi yerler.
013_00	Seni sürüp çıkaran şehirden daha kuvvetli olan nice şehirler yok ettik. Yardım edenleri bulunmadı.
014_00	Rabbinin katından bir belgesi olan kimse, kötü işi kendisine güzel gösterilen kimseye benzer mi? Bunlar heveslerine uymuşlardır.
015_00	Allah'a karşı gelmekten sakınanlara söz verilen cennet şöyledir: Orada temiz su ırmakları, tadı bozulmayan süt ırmakları, içenlere zevk veren şarap ırmakları, süzme bal ırmakları vardır.
015_01	Onlara orada her türlü ürün ve Rablerinden mağfiret vardır.
015_02	Bunların durumu, ateşte temelli kalan ve bağırsaklarını parça parça edecek kaynar su içirilen kimselerin durumu gibi olur mu?
016_00	Onların içinde seni dinleyenler vardır; sonra senin yanından çıkınca, bilgili kimselere "Az önce ne demişti?" diye sorarlar.
016_01	İşte bunlar, Allah'ın kalblerini mühürlemiş olduğu, kendi heveslerine uyan kimselerdir.
017_00	Doğru yolu bulanların ise Allah doğruluklarını artırır, onların karşı gelmekten sakınmalarını sağlar.
018_00	Onlar kıyamet gününün kendilerine ansızın gelmesini mi bekliyorlar. Şüphesiz onun alametleri belirmiştir. Kendilerine gelip çatınca ibret almaları neye yarar?
019_00	Bil ki, Allah'tan başka tanrı yoktur; kendinin, inanmış erkek ve kadınların günahlarının bağışlanmasını dile. Allah, gezip dolaştığınız ve duracağınız yerleri bilir.
020_00	İnananlar: "Keşke bir süre indirilse de cihada çıksak" derlerdi.
020_01	Fakat hükmü açık bir süre inip, orada savaş zikredilince, kalblerinde hastalık olanların, ölüm korkusuyla bayılmış kimselerin bakışları gibi, sana baktıklarını gördün.
020_02	Oysa onlara itaat etmek ve uygun olanı söylemek yaraşırdı. İş ciddileşince Allah'a verdikleri yeminde doğruluk gösterselerdi, onların iyiliğine olurdu.
021_00	İnananlar: "Keşke bir süre indirilse de cihada çıksak" derlerdi. Fakat hükmü açık bir süre inip, orada savaş zikredilince, kalblerinde hastalık olanların, ölüm korkusuyla bayılmış kimselerin bakışları gibi, sana baktıklarını gördün. Oysa onlara itaat etmek ve uygun olanı söylemek yaraşırdı. İş ciddileşince Allah'a verdikleri yeminde doğruluk gösterselerdi, onların iyiliğine olurdu.
022_00	Geri dönerseniz yeryüzünde bozgunculuk yapmanız ve akrabalık bağlarını kesmeniz beklenmez mi sizden?
023_00	İşte, Allah'ın lanetlediği, sağır kıldığı ve gözlerini kör ettiği bunlardır.
024_00	Bunlar Kuran'ı düşünmezler mi? Yoksa kalbleri kilitli midir?
025_00	Kendileri için doğru yol belli olduktan sonra ardlarına dönenleri, bu işi yapmaya şeytan sürüklemiş, onlara ümit vermiştir.
026_00	Bu, Allah'ın indirdiğini beğenmeyen kimselerin: "Biz bazı işlerde size itaat edeceğiz" demelerindendir. Allah onların gizlediklerini bilir.
027_00	Melekler, onların yüzlerine ve sırtlarına vurarak canlarını alırken durumları nice olur?
028_00	Bu, Allah'ı gazablandıran şeye uymaları ve O'nun rızasından hoşnut olmamalarından ötürüdür. Allah da onların işlerini boşa çıkarmıştır.
