001_00	Ey örtüye bürünen!
002_00	Kalk da uyar.
003_00	Rabbini yücelt.
004_00	Giydiklerini temiz tut.
005_00	Kötü şeyleri terke devam et.
006_00	Yaptığın iyiliği çok görerek başa kakma.
007_00	Rabbin için sabret.
008_00	Sura üflendiği vakit, işte o gün, inkarcılara kolay olmayan zorlu bir gündür.
009_00	Sura üflendiği vakit, işte o gün, inkarcılara kolay olmayan zorlu bir gündür.
010_00	Sura üflendiği vakit, işte o gün, inkarcılara kolay olmayan zorlu bir gündür.
011_00	Tek olarak yaratıp kendisine bol bol mal, çevresinde bulunan oğullar verdiğim ve nimetleri yaydıkça yaydığım o kimseyi Bana bırak.
012_00	Tek olarak yaratıp kendisine bol bol mal, çevresinde bulunan oğullar verdiğim ve nimetleri yaydıkça yaydığım o kimseyi Bana bırak.
013_00	Tek olarak yaratıp kendisine bol bol mal, çevresinde bulunan oğullar verdiğim ve nimetleri yaydıkça yaydığım o kimseyi Bana bırak.
014_00	Tek olarak yaratıp kendisine bol bol mal, çevresinde bulunan oğullar verdiğim ve nimetleri yaydıkça yaydığım o kimseyi Bana bırak.
015_00	Bir de verdiğim nimetten artırmamı umar;
016_00	Hayır; hayır; çünkü o, Bizim ayetlerimize karşı son derece inatçıdır.
017_00	Onu sarp bir yokuşa sardıracağım.
018_00	Çünkü o, düşündü, ölçtü biçti;
019_00	Canı çıkası, ne biçim ölçüp biçti!
020_00	Canı çıkası; sonra yine ne biçim ölçüp biçti!
021_00	Sonra baktı;
022_00	Sonra kaşlarını çattı, suratını aştı;
023_00	Sonra da sırt çevirip büyüklük tasladı.
024_00	"Bu sadece öğretilegelen bir sihirdir. Bu Kuran yalnızca bir insan sözüdür" dedi.
025_00	"Bu sadece öğretilegelen bir sihirdir. Bu Kuran yalnızca bir insan sözüdür" dedi.
026_00	İşte bu adamı yakıcı bir ateşe yaslayacağım.
027_00	Yakıcı ateşin ne olduğunu sen nerden bilirsin?
028_00	O, ne geri bırakır ne de azabdan vazgeçer.
029_00	İnsanın derisini kavurur;
030_00	Orada ondokuz bekçi vardır.
031_00	Cehennemin bekçilerini yalnız meleklerden kılmışızdır.
031_01	Sayılarını bildirmekle de, ancak inkar edenlerin denenmesini ve kendilerine kitap verilenlerin kesin bilgi edinmesini ve inananların da imanlarının artmasını sağladık.
031_02	Kendilerine kitap verilenler ve inananlar şüpheye düşmesinler.
031_03	Kalblerinde hastalık bulunanlar ve inkarcılar: "Allah bu misalle neyi muradetti?" desinler. İşte Allah, böylece, dilediğini saptırır, dilediğini de doğru yola eriştirir. Rabbinin ordularını kendisinden başkası bilmez. Bu, insanoğluna bir öğütten ibarettir.
032_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
033_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
034_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
035_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
036_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
037_00	Hayır, hayır öğüt almazlar. Aya, dönüp gelen geceye, ağarmakta olan sabaha and olsun ki, içinizden öne geçmek veya geri kalmak isteyen kimseye, insanoğlunu uyarıcı olarak anlatılan cehennem büyük olaylardan biridir.
038_00	Herkes kazancına bağlı bir rehindir;
039_00	Ancak, defteri sağdan verilenler böyle değildir; onlar cennettedirler. Suçlulara: "Sizi bu yakıcı ateşe sürükleyen nedir?" diye sorarlar.
040_00	Ancak, defteri sağdan verilenler böyle değildir; onlar cennettedirler. Suçlulara: "Sizi bu yakıcı ateşe sürükleyen nedir?" diye sorarlar.
041_00	Ancak, defteri sağdan verilenler böyle değildir; onlar cennettedirler. Suçlulara: "Sizi bu yakıcı ateşe sürükleyen nedir?" diye sorarlar.
042_00	Ancak, defteri sağdan verilenler böyle değildir; onlar cennettedirler. Suçlulara: "Sizi bu yakıcı ateşe sürükleyen nedir?" diye sorarlar.
043_00	Onlar derler ki: "Namaz kılanlardan değildik."
044_00	"Düşkün kimseyi doyurmuyorduk."
045_00	"Batıla dalanlarla biz de dalardık."
046_00	"Ceza gününü yalanlardık."
047_00	"Ölüm bize o haldeyken geldi."
048_00	Artık onlara, şefaatçilerin şefaati fayda vermez.
049_00	Öyleyken, bunlara ne oluyor ki öğütten yüz çeviriyorlar?
050_00	Aslandan ürkerek kaçan yabani merkeplere benzerler.
051_00	Aslandan ürkerek kaçan yabani merkeplere benzerler.
052_00	Hayır; her biri önüne açılıvermiş sahifeler verilmesini ister.
053_00	Hayır; daha doğrusu ahiretten korkmazlar.
054_00	Hayır; şüphesiz bu Kuran bir öğüttür.
055_00	Dileyen kimse öğüt alır.
056_00	Allah dilemeksizin öğüt alamazlar. O, kendisinden korkulmaya daha layıktır ve bağışlamaya daha ehildir.
