001_00	Yaratan Rabbinin adıyla oku!
002_00	O, insanı pıhtılaşmış kandan (alak'tan) yarattı.
003_00	Oku! Kalemle öğreten, insana bilmediğini bildiren Rabbin, en büyük kerem sahibidir.
004_00	Oku! Kalemle öğreten, insana bilmediğini bildiren Rabbin, en büyük kerem sahibidir.
005_00	Oku! Kalemle öğreten, insana bilmediğini bildiren Rabbin, en büyük kerem sahibidir.
006_00	Ama, insanoğlu kendini müstağni sayarak azgınlık eder.
007_00	Ama, insanoğlu kendini müstağni sayarak azgınlık eder.
008_00	Dönüş şüphesiz Rabbinedir.
009_00	Sen, namaz kılan kulu bundan menedeni gördün mü?
010_00	Sen, namaz kılan kulu bundan menedeni gördün mü?
011_00	Söyle bakalım, o kul doğru yolda giden veya Allah'a karşı gelmekten sakınmayı buyuran bir kimse olsun; veya söyle, yalanlayıp yüz çeviren birisi olsun
012_00	Söyle bakalım, o kul doğru yolda giden veya Allah'a karşı gelmekten sakınmayı buyuran bir kimse olsun; veya söyle, yalanlayıp yüz çeviren birisi olsun
013_00	Söyle bakalım, o kul doğru yolda giden veya Allah'a karşı gelmekten sakınmayı buyuran bir kimse olsun; veya söyle, yalanlayıp yüz çeviren birisi olsun
014_00	Allah'ın her şeyi görmekte olduğunu bilmez mi?
015_00	Ama bundan vazgeçmezse, and olsun ki, onu perçeminden,
016_00	Yalancı ve günahkar perçeminden cehenneme sürükleriz.
017_00	O zaman, kafadarlarını çağırsın,
018_00	Biz de zebanileri çağıracağız.
019_00	Sakın ona uyma; sen secde et, Rabbine yaklaş.
