001_00	Kuşluk vaktine and olsun;
002_00	Sükun erdiği zaman geceye and olsun ki,
003_00	Rabbin seni ne bıraktı ve ne de sana darıldı.
004_00	Doğrusu ahiret senin için dünyadan daha hayırlıdır.
005_00	Rabbin şüphesiz sana verecek ve sen de hoşnut olacaksın.
006_00	Seni öksüz bulup da barındırmadı mı?
007_00	Seni şaşırmış bulup, doğru yola eriştirmedi mi?
008_00	Seni fakir bulup zenginleştirmedi mi?
009_00	Öyleyse sakın öksüze kötü muamele etme;
010_00	Ve sakın bir şey isteyeni azarlama;
011_00	Yalnızca Rabbinin nimetini anlat.
