001_00	Elif, Lam, Ra. Bunlar Kitap'ın ve apaçık olan Kuran'ın ayetleridir.
002_00	İnkar edenler, keşke müslüman olsaydık temennisinde bulunacaklardır.
003_00	Bırak onları yesinler, zevk alsınlar; ümit onları avundursun; ilerde öğrenecekler.
004_00	Yok ettiğimiz herhangi bir kasabanın elbette belli bir yazısı vardır.
005_00	Hiçbir ümmet kendi süresini öne alamaz, geciktiremez de.
006_00	Onlar: "Ey kendisine Kitap indirilen kimse! Sen mutlaka delisin. Doğrulardan isen melekleri bize getirsene" dediler.
007_00	Onlar: "Ey kendisine Kitap indirilen kimse! Sen mutlaka delisin. Doğrulardan isen melekleri bize getirsene" dediler.
008_00	Biz melekleri ancak gerekince indiririz. O takdirde de ceza görecekler asla geri bırakılmazlar.
009_00	Doğrusu Kitap'ı Biz indirdik, onun koruyucusu elbette Biziz.
010_00	And olsun ki, senden önce çeşitli ümmetlere peygamber göndermiştik.
011_00	Onlara gelen her peygamberi alaya alıyorlardı.
012_00	Aynı şekilde biz de Kitap'ı suçluların kalblerine sokarız, ama ona yine de inanmazlar. Oysa kendilerinden öncekilerin uğradıkları meydandadır.
013_00	Aynı şekilde biz de Kitap'ı suçluların kalblerine sokarız, ama ona yine de inanmazlar. Oysa kendilerinden öncekilerin uğradıkları meydandadır.
014_00	Onlara gökten bir kapı açsak da, oradan çıkmağa koyulsalar: "Gözlerimiz döndü, biz herhalde büyülendik" derler.
015_00	Onlara gökten bir kapı açsak da, oradan çıkmağa koyulsalar: "Gözlerimiz döndü, biz herhalde büyülendik" derler.
016_00	And olsun ki, gökte burçlar meydana getirdik, onları bakanlar için donattık.
017_00	Onları, kovulmuş her şeytandan koruduk.
018_00	Fakat kulak hırsızlığı yapan olursa, parlak bir ateş onu kovalar.
019_00	Yeri yaydık, oraya sabit dağlar yerleştirdik, orada her şeyi bir ölçüye göre bitirdik.
020_00	Orada sizin ve rızık veremeyeceğiniz kimseler için geçimlikler meydana getirdik.
021_00	Hazinesi Bizim katımızda olmayan hiçbir şey yoktur. Biz onu ancak belli bir ölçüye göre indiririz.
022_00	Rüzgarları aşılayıcı olarak gönderdik; yukarıdan su indirdik de sizi onunla suladık. Yoksa siz onu toplayamazdınız.
023_00	Doğrusu dirilten ve öldüren Biziz; hepsinin gerisinde de Biz kalırız.
024_00	And olsun ki, sizden önce geçenleri biliriz; and olsun ki, geri kalanları da biliriz.
025_00	Doğrusu Rabbin onları diriltip bir araya getirecektir. Şüphesiz O Hakim'dir, Herşeyi Bilen'dir.
026_00	And olsun ki, insanı kuru balçıktan, işlenebilen kara topraktan yarattık.
027_00	Cinleri de, daha önce, dumansız ateşten yarattık.
028_00	'Rabbin meleklere: "Ben, balçıktan, işlenebilen kara topraktan bir insan yaratacağım. Onu yapıp ruhumdan üflediğimde ona secdeye kapanın" demişti.
029_00	'Rabbin meleklere: "Ben, balçıktan, işlenebilen kara topraktan bir insan yaratacağım. Onu yapıp ruhumdan üflediğimde ona secdeye kapanın" demişti.
030_00	Bunun üzerine, İblis'in dışında bütün melekler hemen secde ettiler. O, secde edenlerle beraber olmaktan çekindi.
031_00	Bunun üzerine, İblis'in dışında bütün melekler hemen secde ettiler. O, secde edenlerle beraber olmaktan çekindi.
032_00	Allah: "Ey İblis! Secde edenlerle beraber olmaktan seni alıkoyan nedir?" dedi.
033_00	O: "Balçıktan, işlenebilen kara topraktan yarattığın insana secde edemem" dedi.
034_00	"Öyleyse defol oradan, sen artık kovulmuş birisin. Doğrusu hesap gününe kadar lanet sanadır" dedi.
035_00	"Öyleyse defol oradan, sen artık kovulmuş birisin. Doğrusu hesap gününe kadar lanet sanadır" dedi.
036_00	"Rabbim! Beni hiç olmazsa, tekrar dirilecekleri güne kadar ertele" dedi.
037_00	Allah: "Sen, bilinen gün gelene kadar bırakılanlardansın" dedi.
038_00	Allah: "Sen, bilinen gün gelene kadar bırakılanlardansın" dedi.
039_00	"Rabbim! Beni saptırdığın için, and olsun ki yeryüzünde fenalıkları onlara güzel göstereceğim; halis kıldığın kulların bir yana, onların hepsini saptıracağım" dedi.
040_00	"Rabbim! Beni saptırdığın için, and olsun ki yeryüzünde fenalıkları onlara güzel göstereceğim; halis kıldığın kulların bir yana, onların hepsini saptıracağım" dedi.
041_00	'Allah şöyle dedi: "Benim gerekli kıldığım dosdoğru yol budur; kullarımın üzerinde senin bir nüfuzun olamaz. Ancak sana uyan sapıklar bunun dışındadır."
042_00	'Allah şöyle dedi: "Benim gerekli kıldığım dosdoğru yol budur; kullarımın üzerinde senin bir nüfuzun olamaz. Ancak sana uyan sapıklar bunun dışındadır."
043_00	"Ve Cehennem onların hepsinin toplanacağı yerdir."
044_00	O cehennemin yedi kapısı olup, her kapıdan onların girecekleri ayrılmış bir kısım vardır.
045_00	Allah'a karşı gelmekten sakınanlar ise, cennetlerde, pınar başlarındadırlar.
046_00	"Oraya güven içinde, esenlikle girin" denilir.
047_00	Biz onların gönüllerinde olan kini çıkardık, artık onlar sedirler üzerinde karşılıklı oturan kardeşlerdir.
048_00	Onlar orada bir yorgunluk hissetmezler. Oradan çıkarılacak da değillerdir.
049_00	Kullarıma Benim bağışlayan, merhamet eden olduğumu, azabımın can yakıcı bir azap olduğunu haber ver.
050_00	Kullarıma Benim bağışlayan, merhamet eden olduğumu, azabımın can yakıcı bir azap olduğunu haber ver.
051_00	Onlara İbrahim'in konuklarını da anlat:
052_00	İbrahim'in yanına girdiklerinde selam vermişlerdi. O: "Doğrusu biz sizden korkuyoruz" demişti de: "Korkma, biz sana, bilgin bir oğlun olacağını müjdelemeye geldik" demişlerdi.
053_00	İbrahim'in yanına girdiklerinde selam vermişlerdi. O: "Doğrusu biz sizden korkuyoruz" demişti de: "Korkma, biz sana, bilgin bir oğlun olacağını müjdelemeye geldik" demişlerdi.
054_00	"Ben kocamışken bana müjde mi veriyorsunuz? Neye dayanarak müjdeliyorsunuz?" deyince:
055_00	"Seni gerçekten müjdeliyoruz, umutsuzlardan olma" demişlerdi.
056_00	"Zaten sapıklardan başka kim Rabbinin rahmetinden umudunu keser!" diyerek sormuştu: "Ey elçiler! İşiniz nedir?"
057_00	"Zaten sapıklardan başka kim Rabbinin rahmetinden umudunu keser!" diyerek sormuştu: "Ey elçiler! İşiniz nedir?"
058_00	Şöyle cevap vermişlerdi: "Biz şüphesiz suçlu bir millete gönderildik. Lut'un ailesi bunun dışındadır. Karısı hariç hepsini kurtaracağız. Karısının geride kalanlardan olmasını gerekli bulduk."
059_00	Şöyle cevap vermişlerdi: "Biz şüphesiz suçlu bir millete gönderildik. Lut'un ailesi bunun dışındadır. Karısı hariç hepsini kurtaracağız. Karısının geride kalanlardan olmasını gerekli bulduk."
060_00	Şöyle cevap vermişlerdi: "Biz şüphesiz suçlu bir millete gönderildik. Lut'un ailesi bunun dışındadır. Karısı hariç hepsini kurtaracağız. Karısının geride kalanlardan olmasını gerekli bulduk."
061_00	Elçiler Lut'un ailesine gelince, Lut: "Doğrusu siz tanınmayan kimselersiniz" dedi.
062_00	Elçiler Lut'un ailesine gelince, Lut: "Doğrusu siz tanınmayan kimselersiniz" dedi.
063_00	"Biz sana sadece şüphe edip durdukları azabı getirdik. Sana gerçekle geldik. Şüphesiz biz doğru söyleyenleriz. Artık, geceleyin bir ara, aileni yola çıkar, sen de arkalarından git; hiçbiriniz arkaya bakmasın; emrolunduğunuz yere doğru yürüyün" dediler.
064_00	"Biz sana sadece şüphe edip durdukları azabı getirdik. Sana gerçekle geldik. Şüphesiz biz doğru söyleyenleriz. Artık, geceleyin bir ara, aileni yola çıkar, sen de arkalarından git; hiçbiriniz arkaya bakmasın; emrolunduğunuz yere doğru yürüyün" dediler.
065_00	"Biz sana sadece şüphe edip durdukları azabı getirdik. Sana gerçekle geldik. Şüphesiz biz doğru söyleyenleriz. Artık, geceleyin bir ara, aileni yola çıkar, sen de arkalarından git; hiçbiriniz arkaya bakmasın; emrolunduğunuz yere doğru yürüyün" dediler.
066_00	Böylece Lut'a bunların sonlarının kesilmiş olarak sabahlıyacaklarını bildirdik.
067_00	Şehir halkı, sevinerek geldiler.
068_00	Lut: "Bunlar benim konuklarımdır, onlara karşı beni rüsvay etmeyin, Allah'tan korkun, beni utandırmayın" dedi.
069_00	Lut: "Bunlar benim konuklarımdır, onlara karşı beni rüsvay etmeyin, Allah'tan korkun, beni utandırmayın" dedi.
070_00	"Biz sana kimseyi misafir kabul etmeyi yasak etmemiş miydik?" dediler.
071_00	Lut: "Alacaksanız, işte benim kızlarım" dedi.
072_00	Senin hayatına and olsun ki, onlar sarhoşlukları içinde bocalayıp duruyorlardı.
073_00	Tanyeri ağarırken, çığlık onları yakalayıverdi.
074_00	Memleketlerini alt üst ettik, üzerlerine sert taş yağdırdık.
075_00	Bunda, görebilen insanlar için ibretler vardır.
076_00	O şehrin kalıntıları işlek yollar üzerinde hala durmaktadır.
077_00	Bunda inananlar için ibret vardır.
078_00	Eykeliler de, şüphesiz zalim kimselerdi.
079_00	Bunun için onlardan da öç aldık. Hala her iki memleket de işlek bir yol üzerindedirler.
080_00	And olsun ki, Hicr halkı peygamberi yalanlamışlardı.
081_00	Onlara ayetlerimizi verdiğimiz halde, yüz çevirmişlerdi.
082_00	Dağlarda, güven içinde olarak evler yontuyorlardı.
083_00	Sabaha karşı çığlık onları yakalayıverdi.
084_00	Yaptıkları kendilerine bir fayda sağlamadı.
085_00	Biz, gökleri, yeri ve her ikisi arasında bulunanları gereğince yarattık. Kıyamet günü şüphesiz gelecektir. O halde yumuşak ve iyi davran.
086_00	Doğrusu yaratan ve bilen ancak Rabbindir.
087_00	And olsun ki, sana daima tekrarlanan yedi ayetli Fatiha'yı ve Kuran-ı Azim'i verdik.
088_00	Kafirler içinde bazı kimselere verdiğimiz kat kat servete gözünü dikme, onlara üzülme; inananları kanatların altına al.
089_00	De ki: "Doğrusu ben apaçık bir uyarıcıyım."
090_00	Kuran'ı işlerine geldiği gibi bölenlere de, kendi Kitablarının bir kısmına inanıp bir kısmını kabul etmeyen yahudi ve hıristiyanlara da nitekim Kitap indirmiştik; Rabbine and olsun ki hepsini, yaptıklarından sorumlu tutacağız.
091_00	Kuran'ı işlerine geldiği gibi bölenlere de, kendi Kitablarının bir kısmına inanıp bir kısmını kabul etmeyen yahudi ve hıristiyanlara da nitekim Kitap indirmiştik; Rabbine and olsun ki hepsini, yaptıklarından sorumlu tutacağız.
092_00	Kuran'ı işlerine geldiği gibi bölenlere de, kendi Kitablarının bir kısmına inanıp bir kısmını kabul etmeyen yahudi ve hıristiyanlara da nitekim Kitap indirmiştik; Rabbine and olsun ki hepsini, yaptıklarından sorumlu tutacağız.
093_00	Kuran'ı işlerine geldiği gibi bölenlere de, kendi Kitablarının bir kısmına inanıp bir kısmını kabul etmeyen yahudi ve hıristiyanlara da nitekim Kitap indirmiştik; Rabbine and olsun ki hepsini, yaptıklarından sorumlu tutacağız.
094_00	Artık buyrulanı açıkça ortaya koy, puta tapanlara aldırış etme.
095_00	Allah'la beraber başka bir tanrının bulunduğunu kabul eden alaycılara karşı şüphesiz Biz sana kafiyiz. Yakında ne olduğunu öğreneceklerdir.
096_00	Allah'la beraber başka bir tanrının bulunduğunu kabul eden alaycılara karşı şüphesiz Biz sana kafiyiz. Yakında ne olduğunu öğreneceklerdir.
097_00	And olsun ki, söyledikleri şeylerden senin gönlünün daraldığını biliyoruz.
098_00	Rabbini hamd ile an, secde edenlerden ol ve ölünceye kadar Rabbine kulluk et.
099_00	Rabbini hamd ile an, secde edenlerden ol ve ölünceye kadar Rabbine kulluk et.
