001_00	Ya, Sin.
002_00	Kuran'ı Hakim'e and olsun ki, sen doğru yol üzere gönderilmiş peygamberlerdensin.
003_00	Kuran'ı Hakim'e and olsun ki, sen doğru yol üzere gönderilmiş peygamberlerdensin.
004_00	Kuran'ı Hakim'e and olsun ki, sen doğru yol üzere gönderilmiş peygamberlerdensin.
005_00	Bu, babaları uyarılmadığından gafil kalmış bir milleti uyarman için güçlü ve merhametli olan Allah'ın indirdiği Kuran'dır.
006_00	Bu, babaları uyarılmadığından gafil kalmış bir milleti uyarman için güçlü ve merhametli olan Allah'ın indirdiği Kuran'dır.
007_00	And olsun ki, hüküm çoğunun aleyhine gerçekleşmiştir, bunun için artık inanmazlar.
008_00	Boyunlarına, çenelerine kadar varan demir halkalar geçirmişizdir, bunun için başları yukarı kalkıktır.
009_00	Önlerine ve arkalarına sed çekmişizdir. Gözlerini perdelediğimizden artık göremezler.
010_00	Onları uyarsan da uyarmasan da birdir, inanmazlar.
011_00	Sen ancak, Kuran'a uyan ve görmediği halde Rahman'dan korkan kimseyi uyarabilirsin. Artık o kimseyi, bağışlanma ve cömertçe verilecek bir ecirle müjdele.
012_00	Şüphesiz ölüleri dirilten, işlediklerini ve eserlerini yazan Biziz; herşeyi, apaçık bir kitabda saymışızdır.
013_00	İnsanlara, halkına elçiler gelen şehri mesel olarak anlat:
014_00	Onlara iki elçi göndermiştik; onu yalanladıkları için üçüncü biriyle desteklemiştik. Onlar: "Biz size gönderildik" demişlerdi.
015_00	"Siz de ancak bizim gibi birer insansınız. Rahman da bir şey indirmemiştir. Sadece yalan söylüyorsunuz" dediler.
016_00	Elçiler: "Doğrusu Rabbimiz bizim size gönderildiğimizi bilir; bize düşen ancak apaçık tebliğdir" demişlerdi.
017_00	Elçiler: "Doğrusu Rabbimiz bizim size gönderildiğimizi bilir; bize düşen ancak apaçık tebliğdir" demişlerdi.
018_00	"Doğrusu sizin yüzünüzden uğursuzluğa uğradık; vazgeçmezseniz and olsun ki sizi taşlayacağız ve bizden size can yakıcı bir azap dokunacaktır" dediler.
019_00	Elçiler: "Uğursuzluğunuz kendinizdendir. Bu uğursuzluk size öğüt verildiği için mi? Hayır; siz, aşırı giden bir milletsiniz" demişlerdi.
020_00	Şehrin öbür ucundan koşarak bir adam gelmiş ve şöyle demişti: "Ey Milletim! Gönderilen elçilere uyun."
021_00	"Sizden bir ücret istemeyenlere uyun, onlar doğru yoldadırlar."
022_00	"Beni yaratana ne diye kulluk etmeyeyim? Siz de O'na döneceksiniz."
023_00	"O'nu bırakıp da tanrılar edinir miyim? Eğer Rahman olan Allah bana bir zarar vermek isterse, o tanrıların şefaati bana fayda vermez, beni kurtaramazlar."
024_00	"Doğrusu o takdirde apaçık bir sapıklık içinde olurum."
025_00	"Şüphesiz ben Rabbinize inandım, beni dinleyin."
026_00	Ona "Cennete gir" denince, "Keşke milletim Rabbimin beni bağışladığını ve beni ikrama mazhar olanlardan kıldığını bilseydi!" demişti.
027_00	Ona "Cennete gir" denince, "Keşke milletim Rabbimin beni bağışladığını ve beni ikrama mazhar olanlardan kıldığını bilseydi!" demişti.
028_00	Ondan sonra milleti üzerine gökten bir ordu indirmedik; zaten indirecek de değildik; sadece tek bir çığlık.. o kadar, hemen sönüp gittiler.
029_00	Ondan sonra milleti üzerine gökten bir ordu indirmedik; zaten indirecek de değildik; sadece tek bir çığlık.. o kadar, hemen sönüp gittiler.
030_00	Kullara yazıklar olsun! Kendilerine hangi elçi gelse, onu alaya alıyorlardı.
031_00	Kendilerinden önce nice nesilleri yok ettiğimizi, onların bir daha kendilerine dönmediklerini görmezler mi?
032_00	Hepsi huzurumuza getirileceklerdir.
033_00	İşte onlara bir delil: Ölü yeri diriltir ve oradan taneler çıkarırız da ondan yerler.
034_00	Orada hurmalıklar ve üzüm bağları var ederiz, aralarında pınarlar fışkırtırız.
035_00	Onun ve elleriyle yaptıklarının ürünlerini yesinler; şükretmezler mi?
036_00	Yerin yetiştirdiklerinden, kendilerinden ve daha bilmediklerinden çift çift yaratan Allah münezzehtir.
037_00	Onlara bir delil de gecedir; gündüzü ondan sıyırırız da karanlıkta kalıverirler.
038_00	Güneş de yörüngesinde yürüyüp gitmektedir. Bu, güçlü ve bilgin olan Allah'ın kanunudur.
039_00	Ay için de sonunda kuru bir hurma dalına döneceği konaklar tayin etmişizdir.
040_00	Aya erişmek güneşe düşmez. Gece de gündüzü geçemez. Her biri bir yörüngede yürürler.
041_00	Onlara bir delil de: Soylarını dolu gemiyle taşımamız ve kendileri için bunun gibi daha nice binekler yaratmış olmamızdır.
042_00	Onlara bir delil de: Soylarını dolu gemiyle taşımamız ve kendileri için bunun gibi daha nice binekler yaratmış olmamızdır.
043_00	Dilesek, onları suda boğardık; ne yardımlarına koşan bulunur ve ne de kendileri kurtulabilirlerdi.
044_00	Ama katımızdan bir rahmet ve bir süreye kadar geçinme olarak onları geri bıraktık.
045_00	Onlara: "Geçmişinizden ve geleceğinizden sakının, belki acınırsınız" dendiği zaman yüz çevirirler.
046_00	Zaten Rabbinin ayetlerinden herhangi biri kendilerine geldiğinde ondan hep yüz çeviregelmişlerdi.
047_00	Onlara: "Allah'ın size verdiği rızıktan sarfedin" denince inkar edenler inananlara: "Allah dileseydi doyurabileceği bir kimseyi biz mi doyuralım? Doğrusu siz apaçık bir sapıklıktasınız" derler.
048_00	"Doğru sözlü iseniz bildirin bu vaad ne zamandır?" derler.
049_00	Çekişip dururlarken kendilerini yakalayacak bir tek çığlığı beklerler.
050_00	O zaman, artık ne vasiyet edebilirler ne de ailelerine dönebilirler.
051_00	Sura üflenince, kabirlerinden Rablerine koşarak çıkarlar.
052_00	"Vah halimize! Yattığımız yerden bizi kim kaldırdı?" derler. Onlara: "İşte Rahman olan Allah'ın vadettiği budur, peygamberler doğru söylemişlerdi" denir.
053_00	Tek bir çığlık kopar, hepsi, hemen huzurumuza getirilmiş olur.
054_00	Artık bugün kimseye hiçbir haksızlıkta bulunulmaz. İşlediklerinizden başkasıyla karşılık görmezsiniz.
055_00	Doğrusu bugün, cennetlikler eğlenceyle meşguldürler.
056_00	Onlar ve eşleri gölgeliklerde, tahtlar üzerine yaslanmışlardır.
057_00	Orada meyveler ve her istedikleri onlarındır.
058_00	Merhametli olan Rab katından onlara selam vardır.
059_00	Allah şöyle buyurur: Ey suçlular! Bugün müminlerden ayrılın. Ey insanoğulları! Ben size, şeytana tapmayın, o sizin için apaçık bir düşmandır, Bana kulluk edin, bu doğru yoldur, diye bildirmedim mi?
060_00	Allah şöyle buyurur: Ey suçlular! Bugün müminlerden ayrılın. Ey insanoğulları! Ben size, şeytana tapmayın, o sizin için apaçık bir düşmandır, Bana kulluk edin, bu doğru yoldur, diye bildirmedim mi?
061_00	Allah şöyle buyurur: Ey suçlular! Bugün müminlerden ayrılın. Ey insanoğulları! Ben size, şeytana tapmayın, o sizin için apaçık bir düşmandır, Bana kulluk edin, bu doğru yoldur, diye bildirmedim mi?
062_00	And olsun ki, o sizden nice nesilleri saptırmıştı, akletmez miydiniz?
063_00	İşte bu, size söz verilen cehennemdir.
064_00	Bugün, inkarcılığınıza karşılık oraya girin.
065_00	İşte o gün ağızlarını mühürleriz, Bizimle elleri konuşur, ayakları da yaptıklarına şahidlik eder.
066_00	Dilesek, gözlerini kör ederdik de yol bulmağa çalışırlardı. Nasıl görebilirlerdi?
067_00	Dilesek, onları oldukları yerde dondururduk da, ne ileri gidebilirler ve ne de geri dönebilirlerdi.
068_00	Uzun ömürlü yaptığımızın hilkatini tersine çevirmişizdir. Akletmezler mi?
069_00	Biz ona şiir öğretmedik, zaten ona gerekmezdi. Bu bir öğüt ve apaçık Kuran'dır.
070_00	Diri olan kimseyi uyarsın ve verilen söz de inkarcıların aleyhine çıksın.
071_00	Kudretimizle kendileri için hayvanlar yarattığımızı görmezler mi? Onlara sahip olmaktadırlar.
072_00	Onları kendilerinin buyruğuna verdik; bindikleri de, etini yedikleri de vardır.
073_00	Onlarda daha nice faydalar, içecekler vardır; şükretmezler mi?
074_00	Allah'ı bırakıp da, kendilerine yardımı dokunur diye, başka tanrılar edindiler.
075_00	Oysa onlar yardım edemezler, ancak kendileri o tanrılara koruyuculuk için nöbet beklerler.
076_00	Bunların sözü seni üzmesin. Biz onların gizlediklerini de, açığa vurduklarını da şüphesiz biliriz.
077_00	İnsan kendisini bir nutfeden yarattığımızı görmez mi ki hemen apaçık bir hasım kesilir ve kendi yaratılışını unutur da; "Çürümüş kemikleri kim yaratacak" diyerek, Bize misal vermeye kalkar?
078_00	İnsan kendisini bir nutfeden yarattığımızı görmez mi ki hemen apaçık bir hasım kesilir ve kendi yaratılışını unutur da; "Çürümüş kemikleri kim yaratacak" diyerek, Bize misal vermeye kalkar?
079_00	De ki: "Onları ilk defa yaratan diriltecektir. O, her türlü yaratmayı bilendir."
080_00	Yaş ağaçtan size ateş çıkarandır. Ondan ateş yakarsınız.
081_00	Gökleri ve yeri yaratan, kendilerinin benzerini yaratmaya kadir olmaz mı? Elbette olur; çünkü O, yaratan ve bilendir.
082_00	Bir şeyi dilediği zaman, O'nun buyruğu sadece, o şeye "Ol" demektir, hemen olur.
083_00	Her şeyin hükümranlığı elinde olan ve sizin de kendisine döneceğiniz Allah münezzehtir.
