001_00	Ha, Mim.
002_00	Kitap'ın indirilmesi, güçlü ve bilgin olan Allah katındandır.
003_00	O, günahı bağışlayan, tevbeyi kabul eden, cezası şiddetli, lütfu bol olandır. O'ndan başka tanrı yoktur, dönüş O'nadır.
004_00	Allah'ın ayetleri üzerinde, inkar edenlerden başkası tartışmaya girişmez. İnkarcıların memlekette gezip dolaşması seni aldatmasın.
005_00	Onlardan önce, Nuh milleti, ardından, peygamberlere karşı gelen topluluklar da peygamberlerini yalanlamış; her ümmet, peygamberini cezalandırmaya azmetmişti. Hakkı batılla gidermek için mücadele etmişlerdi.
005_01	Bunun üzerine Ben onları yakaladım. Cezalandırmam nasılmış?
006_00	İnkar edenlerin cehennemlik olduklarına dair Rabbinin sözü böylece gerçekleşti.
007_00	Arşı yüklenen ve çevresinde bulunanlar, Rablerini överek tesbih ederler; O'na inanırlar. Müminler için: "Rabbimiz!
007_01	İlmin ve rahmetin herşeyi içine almıştır. Tevbe edip Senin yoluna uyanları bağışla; onları cehennemin azabından koru" diye bağışlanma dilerler.
008_00	"Rabbimiz! Müminleri ve babalarından, eşlerinden, soylarından iyi olanları, kendilerine söz verdiğin Adn cennetlerine koy; şüphesiz güçlü olan, Hakim olan ancak Sensin"
009_00	"Onları kötülüklerden koru! O gün kötülüklerden kimi korursan, ona şüphesiz rahmet etmiş olursun. Bu büyük kurtuluştur."
010_00	Ama inkar edenlere, "Allah'ın gazabı, sizin birbirinize olan öfkenizden daha büyüktür; imana çağrıldığınızda inkar ederdiniz" diye seslenilir.
011_00	Onlar: "Rabbimiz! Bizi iki defa öldürdün, iki defa dirilttin. Biz de suçlarımızı itiraf ettik, bir daha çıkmağa yol var mıdır?" derler.
012_00	Onlara: "Yalnız Allah çağrıldığı zaman inkar ederdiniz de, O'na eş koşulunca inanırdınız. Bugün hüküm, yüce Allah'ındır" denir.
013_00	Size mucizelerini gösteren, size gökten rızık indiren O'dur. Allah'a yönelenden başkası ibret almaz.
014_00	Ey inananlar! İnkarcılar istemese de, dini yalnız Allah'a has kılarak O'na yalvarın.
015_00	Arş sahibi, varlıkların en yücesi olan Allah, kavuşma gününü ihtar etmek için kullarından dilediğine emriyle vahyi indirir.
016_00	O gün onlar meydana çıkarlar; onların hiçbir şeyi Allah'a gizli kalmaz. "Bugün hükümranlık kimindir?" denir; hepsi: "Gücü herşeye yeten tek Allah'ındır" derler.
017_00	Bugün herkese, kazandığının karşılığı verilir. Bugün haksızlık yoktur. Doğrusu Allah, hesabı çabuk görendir.
018_00	Onları, yüreklerin ağıza geleceği, tasadan yutkunacakları, yaklaşan kıyamet günü ile uyar. Zalimlerin ne dostu ne de sözü dinlenecek şefaatçisi olur.
019_00	Allah gözlerin hainliğini ve gönüllerin gizlediğini bilir.
020_00	Allah, gerçekle hükmeder. O'nu bırakıp da yalvardıkları putlar bir şeye hüküm veremez. Şüphesiz Allah işitir ve görür.
021_00	Yeryüzünde dolaşıp, kendilerinden önce ve kendilerinden daha kuvvetli olan ve yeryüzünde daha çok eser bırakan kimselerin sonuçlarının nasıl olduğunu görmezler mi?
021_01	Allah onları suçlarıyla yakalamıştır. Allah'a karşı onları koruyan yoktur.
022_00	Bu, kendilerine açık belgelerle gelen peygamberlerini inkar etmelerinden ötürüdür. Allah da onları bunun için yakalamıştır. Doğrusu O, kuvvetlidir, cezalandırması da şiddetlidir.
