001_00	Kararıp ortalığı bürüdüğü zaman geceye and olsun.
002_00	Açılıp aydınlattığı zaman gündüze and olsun.
003_00	Erkeği ve dişiyi yaratana and olsun ki:
004_00	Doğrusu sizin çalışmalarınız çeşitlidir.
005_00	Elinde bulunandan verenin, Allah'a karşı gelmekten sakınanın, en güzel söz olan Allah'ın birliğini doğrulayanın işlerini kolaylaştırırız.
006_00	Elinde bulunandan verenin, Allah'a karşı gelmekten sakınanın, en güzel söz olan Allah'ın birliğini doğrulayanın işlerini kolaylaştırırız.
007_00	Elinde bulunandan verenin, Allah'a karşı gelmekten sakınanın, en güzel söz olan Allah'ın birliğini doğrulayanın işlerini kolaylaştırırız.
008_00	Ama, cimrilik eden, kendini Allah'tan müstağni sayan, en güzel sözü yalanlayan kimsenin güçlüğe uğramasını kolaylaştırırız.
009_00	Ama, cimrilik eden, kendini Allah'tan müstağni sayan, en güzel sözü yalanlayan kimsenin güçlüğe uğramasını kolaylaştırırız.
010_00	Ama, cimrilik eden, kendini Allah'tan müstağni sayan, en güzel sözü yalanlayan kimsenin güçlüğe uğramasını kolaylaştırırız.
011_00	O kimse ölüp ateşe yuvarlandığı zaman, malı ona fayda vermez.
012_00	Bize düşen sadece doğru yolu göstermektir.
013_00	Şüphesiz ahiret de, dünya da Bizimdir.
014_00	Sizi alevler saçan ateşle uyardım;
015_00	Oraya, yalanlayıp yüz çevirmiş olan o en azgından başkası yaslanmaz.
016_00	Oraya, yalanlayıp yüz çevirmiş olan o en azgından başkası yaslanmaz.
017_00	Arınmak için malını veren, en çok sakınan kimse ise ondan uzak tutulur.
018_00	Arınmak için malını veren, en çok sakınan kimse ise ondan uzak tutulur.
019_00	O yaptığı iyiliği birinden karşılık görmek için değil, ancak yüce Rabbinin hoşnudluğunu (rızasını) gözeterek yapmıştır.
020_00	O yaptığı iyiliği birinden karşılık görmek için değil, ancak yüce Rabbinin hoşnudluğunu (rızasını) gözeterek yapmıştır.
021_00	Elbette kendisi de hoşnut (razı) olacaktır.
