001_00	Ta, Sin, Mim.
002_00	Bunlar apaçık Kitap'ın ayetleridir.
003_00	İnanan bir millet için, sana Musa ve Firavun olayını olduğu gibi anlatacağız.
004_00	Firavun memleketin başına geçti ve halkını fırkalara ayırdı.
004_01	İçlerinden bir topluluğu güçsüz bularak onların oğullarını boğazlıyor, kadınları sağ bırakıyordu; çünkü o, bozguncunun biriydi.
005_00	Biz, memlekette güçsüz sayılanlara iyilikte bulunmak, onları önderler kılmak, onları varis yapmak, memlekete yerleştirmek; Firavun, Haman ve her ikisinin askerlerine, çekinmekte oldukları şeyleri göstermek istiyorduk.
006_00	Biz, memlekette güçsüz sayılanlara iyilikte bulunmak, onları önderler kılmak, onları varis yapmak, memlekete yerleştirmek; Firavun, Haman ve her ikisinin askerlerine, çekinmekte oldukları şeyleri göstermek istiyorduk.
007_00	Musa'nın annesine: "Çocuğu emzir, başına gelecekten korktuğun zaman onu suya bırak; kork
007_01	ma, üzülme; Biz şüphesiz onu sana döndüreceğiz ve peygamber yapacağız" diye bildirmiştik.
008_00	Firavun'un adamları onu almışlardı. Firavun, Haman ve askerleri, suçlu olduklarından, o onlara düşman ve başlarına da dert olacaktı.
009_00	Firavun'un karısı: "Benim de senin de gözün aydın olsun! Onu öldürmeyiniz, belki bize faydalı olur yahut onu oğul ediniriz" dedi. Aslında işin farkında değillerdi.
010_00	Musa'nın annesi, gönlü bomboş sabahı etti, oğlundan başka bir şey düşünemiyordu. Allah'ın vaadine iyice inanması için kalbini pekiştirmeseydik, neredeyse saraya alınan çocuğun kendi oğlu olduğunu açığa vuracaktı.
011_00	Musa'nın ablasına: "Onu izle" dedi. O da, kimse farkına varmadan, Musa'yı uzaktan gözetledi.
012_00	Önceden, süt annelerin memesini kabul etmemesini sağladık. Musa'nın ablası: "Size, sizin adınıza ona bakacak, iyi davranacak bir ev halkını tavsiye edeyim mi?" dedi.
013_00	Böylece onu, annesinin gözü aydın olsun, üzülmesin, Allah'ın verdiği sözün gerçek olduğunu bilsin diye, ona geri çevirdik. Fakat çoğu bilmezler.
014_00	Musa erginlik çağına gelip olgunlaşınca, ona hikmet ve ilim verdik. İyi davrananları böyle mükafatlandırırız.
015_00	Musa, halkının haberi olmadığı bir zamanda, şehre girdi. Biri kendi adamlarından, diğeri de düşmanı olan iki adamı döğüşür buldu.
015_01	Kendi tarafından olan kimse, düşmanına karşı ondan yardım istedi. Musa, onun düşmanına bir yumruk vurdu; ölümüne sebep oldu.
015_02	"Bu şeytanin işidir; çünkü o apaçık, saptıran bir düşmandır" dedi.
016_00	Musa: "Rabbim! Doğrusu kendime yazık ettim, beni bağışla" dedi. Allah da onu bağışladı. O, şüphesiz bağışlayandır, merhamet edendir.
017_00	Musa: "Rabbim! Bana verdiğin nimete and olsun ki, suçlulara asla yardımcı olmayacağım" dedi.
018_00	Şehirde, korku içinde etrafı gözetip dolaşarak sabahladı. Dün kendisinden yardım isteyen kimse bağırarak ondan yine yardım istiyordu. Musa ona: "Doğrusu sen besbelli bir azgınsın" dedi.
