001_00	Hükümranlık elinde olan Allah yücedir ve O herşeye Kadir'dir.
002_00	Hanginizin daha iyi iş işlediğini belirtmek için, ölümü ve dirimi (hayatı) yaratan O'dur. O, güçlüdür, bağışlayandır.
003_00	Gökleri yedi kat üzerine yaratan O'dur. Rahman'ın bu yaratmasında bir düzensizlik bulamazsın. Gözünü bir çevir bak, bir çatlak görebilir misin?
004_00	Bir aksaklık bulmak için gözünü tekrar tekrar çevir bak; ama göz umduğunu bulamayıp bitkin ve yorgun düşer.
005_00	And olsun ki, yakın göğü kandillerle donattık, onları şeytanlar için taşlamalar yaptık ve şeytanlara çılgın alev azabını hazırladık.
006_00	Rablerini inkar eden kimseler için cehennem azabı vardır. Ne kötü bir dönüştür!
007_00	Oraya atıldıkları zaman, onun kaynarken çıkardığı uğultuyu işitirler.
008_00	Nerede ise öfkesinden paralanacak! İçine her bir topluluğun atılmasında, bekçileri onlara: "Size bir uyarıcı gelmemiş miydi?" diye sorarlar.
009_00	Onlar: "Evet; doğrusu bize bir uyarıcı geldi, fakat biz yalanladık ve Allah hiçbir şey indirmemiştir, siz büyük bir sapıklık içindesiniz demiştik" derler.
010_00	"Eğer kulak vermiş veya akletmiş olsaydık, çılgın alevli cehennemlikler içinde olmazdık" derler.
011_00	Böylece, günahlarını itiraf ederler. Çılgın alevli cehennemlikler yok olsunlar!
012_00	Doğrusu, görünmediği halde Rablerinden korkanlara, onlara, bağışlanma ve büyük ecir vardır.
013_00	Sizler, sözlerinizi gizleseniz de açıklasanız da birdir; O, kalblerde olanı bilir.
014_00	Yaratan bilmez olur mu? O, Latif'tir, haberdardır.
015_00	Yeryüzünü, size boyun eğdiren O'dur; öyleyse yerin sırtlarında dolaşın, Allah'ın verdiği rızıktan yiyin; sonunda dönüş O'nadır.
016_00	Gökte olanın sizi yerin dibine geçirmesinden güvende misiniz? O zaman, yer, sarsıldıkça sarsılır.
017_00	Gökte olanın başınıza taş yağdırmasından güvende misiniz? Benim uyarmamın nasıl olduğunu yakında bileceksiniz.
018_00	And olsun ki, bunlardan öncekiler de yalanlamışlardı. Beni inkar etmek nasılmış?
019_00	Üzerlerinde kanat çırpan dizi dizi kuşları görmezler mi? Onları havada Rahman olan Allah'tan başkası tutmuyor; doğrusu, O, herşeyi görendir.
020_00	Yahut, Rahman olan Allah'ın dışında size yardımda bulunabilecek taraftarlarınız kimdir? İnkarcılar sadece aldanmaktadırlar.
021_00	Allah size verdiği rızkı kesiverirse, size rızık verecek başka kim vardır? Hayır; onlar, azgınlık ve nefrette direnmektedirler.
022_00	Yüzükoyun sürünen mi, yoksa doğru yolda düpedüz yürüyen mi daha doğru yoldadır?
023_00	De ki: "Sizi yaratan sizin için kulaklar, gözler ve kalbler var eden O'dur. Ne az şükrediyorsunuz!"
024_00	Sizi yerde yaratıp yayan O'dur ve O'nun huzurunda toplanacaksınız.
025_00	"Doğru sözlü iseniz bildirin bu azap sözü ne zamandır?" derler.
026_00	De ki: "Onu bilmek ancak Allah'a mahsustur. Ben sadece apaçık bir uyarıcıyım."
027_00	Azabı yaklaşırken gördükleri zaman, inkar edenlerin yüzleri çirkinleşip kararır; onlara: "Sizin arayıp durduğunuz işte budur" denir.
028_00	De ki: "Allah, beni ve benimle beraber bulunanları isterse yok eder veya isterse merhamet eder; söyleyin, bu takdirde inkarcıları, can yakıcı azabdan kim alıkoyabilir?"
029_00	De ki: "Bizim inandığımız ve kendisine güvendiğimiz, Rahman olan Allah'tır. Kimin apaçık bir sapıklıkta olduğunu yakında bileceksiniz."
030_00	De ki: "Suyunuz yere batarsa, söyleyin, size kim temiz bir su kaynağı getirebilir?"
