001_00	Göklerde ve yerde olanlar Allah'ı tesbih ederler. O güçlüdür, Hakim'dir.
002_00	Göklerin ve yerin hükümranlığı O'nundur; diriltir, öldürür. O, her şeye Kadir'dir.
003_00	O her şeyden öncedir; kendisinden sonraya hiçbir şeyin kalmayacağı son'dur; varlığı aşikardır; gerçek mahiyeti insan için gizlidir. O her şeyi bilir.
004_00	Gökleri ve yeri altı günde yaratan, sonra arşa hükmeden, yere gireni ve ondan çıkanı, gökten ineni ve oraya yükseleni bilen O'dur.
004_01	Nerede olursanız olun, O, sizinle beraberdir.
004_02	Allah yaptıklarınızı görür.
005_00	Göklerin ve yerin hükümranlığı O'nundur. Bütün işler Allah'a döndürülür.
006_00	Geceyi gündüze katar, gündüzü geceye katar; O kalblerde olanı bilendir.
007_00	Ey insanlar! Allah'a ve Peygamberine inanın; sizi varis kıldığı şeylerden sarfedin; aranızdan, inanıp da sarfeden kimselere büyük ecir vardır
008_00	Peygamber sizi, Rabbinize inanmaya çağırdığı halde, Allah'a niçin inanmazsınız? Hem O, sizden söz almıştı, inanmışlar iseniz; bu çağrıya koşun.
009_00	Sizi karanlıklardan aydınlığa çıkarmak için kuluna, apaçık ayetler indiren O'dur. Doğrusu Allah size karşı şefkatlidir, merhametlidir.
010_00	Göklerin ve yerin mirasçısı Allah olduğu halde, Allah yolunda siz niçin sarf etmiyorsunuz? İçinizden Mekke'nin fethinden önce sarfeden ve savaşan kimseler, daha sonra sarfedip savaşan kimselerle bir değildirler, öncekiler daha üstün derecededirler.
010_01	Allah, hepsine cenneti vadetmiştir. Allah, işlediklerinizden haberdardır.
011_00	Allah'a kim güzel bir ödünç takdiminde bulunursa, Allah karşılığını kat kat verir, ona cömertçe verilecek bir ecir de vardır.
012_00	İnanmış erkek ve kadınları, defterleri sağdan verilmiş ve ışıkları önlerinde olarak giderken gördüğün gün onlara
012_01	şöyle denecektir: "Müjde; bugün içlerinden ırmaklar akan, içinde temelli kalacağınız cennetler sizindir." İşte bu büyük kurtuluştur.
013_00	İkiyüzlü erkek ve kadınlar müminlere: "Bizi de gözetin; ışığınızdan faydalanalım" dedikleri gün, onlara: "Ardınıza dönün de
013_01	ışık arayın" denir; inananlarla ikiyüzlüler arasına, kapısının içinde rahmet ve dışında azap olan bir sur çekilir.
014_00	İkiyüzlüler, inananlara: "Biz sizinle beraber değil miydik" diye seslenirler.
014_01	Onlar: "Evet öyle; fakat sizler kendinizi aldattınız, bize pusu kurdunuz, Allah'ın buyruğu gelene kadar dinde şüpheye düştünüz; sizi kuruntular aldattı; sizi şeytanlar Allah'a karşı da ayarttı."
015_00	Bugün sizden ve inkar edenlerden fidye kabul edilmez; varacağınız yer ateştir, layığınız orasıdır; ne kötü bir dönüştür!
016_00	İnananların gönüllerinin Allah'ı anması ve O'ndan inen gerçeğe içten bağlanması zamanı daha gelmedi mi?
016_01	Onlar, daha önce kendilerine kitap verilenler gibi olmasınlar; onların üzerinden uzun zaman geçti de kalbleri katılaştı; çoğu, yoldan çıkmış kimselerdir.
017_00	Allah'ın, yeryüzünü ölümünden sonra dirilttiğini bilin; size, akledesiniz diye açık açık deliller anlattık.
018_00	Doğrusu, sadaka veren erkek ve kadınlara, Allah'a güzel bir takdimde bulunanlara kat kat karşılık verilir; onlara cömertçe verilecek bir ecir vardır.
019_00	Allah'a ve peygamberlerine inananlara, dosdoğru olanlara ve Allah yolunda şehit düşenlere, işte onlara, Rableri katında nur ve ecir vardır.
019_01	İnkar edip ayetlerimizi yalanlayanlar, işte onlar da, cehennemlik olanlardır.
020_00	Bilin ki, dünya hayatı oyun, oyalanma, süslenme, aranızda övünme ve daha çok mal ve çocuk sahibi olmaktan ibarettir.
