001_00	কসম তূরপর্বতের,
002_00	এবং লিখিত কিতাবের,
003_00	প্রশস্ত পত্রে,
004_00	কসম বায়তুল-মামুর তথা আবাদ গৃহের,
005_00	এবং সমুন্নত ছাদের,
006_00	এবং উত্তাল সমুদ্রের,
007_00	আপনার পালনকর্তার শাস্তি অবশ্যম্ভাবী,
008_00	তা কেউ প্রতিরোধ করতে পারবে না।
009_00	সেদিন আকাশ প্রকম্পিত হবে প্রবলভাবে।
010_00	এবং পর্বতমালা হবে চলমান,
011_00	সেদিন মিথ্যারোপকারীদের দুর্ভোগ হবে,
012_00	যারা ক্রীড়াচ্ছলে মিছেমিছি কথা বানায়।
013_00	সেদিন তোমাদেরকে জাহান্নামের অগ্নির দিকে ধাক্কা মেরে মেরে নিয়ে যাওয়া হবে।
014_00	এবং বলা হবেঃ এই সেই অগ্নি, যাকে তোমরা মিথ্যা বলতে,
015_00	এটা কি জাদু, না তোমরা চোখে দেখছ না?
016_00	এতে প্রবেশ কর অতঃপর তোমরা সবর কর অথবা না কর, উভয়ই তোমাদের জন্য সমান। তোমরা যা করতে তোমাদেরকে কেবল তারই প্রতিফল দেয়া হবে।
017_00	নিশ্চয় খোদাভীরুরা থাকবে জান্নাতে ও নেয়ামতে।
018_00	তারা উপভোগ করবে যা তাদের পালনকর্তা তাদের দেবেন এবং তিনি জাহান্নামের আযাব থেকে তাদেরকে রক্ষা করবেন।
019_00	তাদেরকে বলা হবেঃ তোমরা যা করতে তার প্রতিফলস্বরূপ তোমরা তৃপ্ত হয়ে পানাহার কর।
020_00	তারা শ্রেণীবদ্ধ সিংহাসনে হেলান দিয়ে বসবে। আমি তাদেরকে আয়তলোচনা হুরদের সাথে বিবাহবন্ধনে আবদ্ধ করে দেব।
021_00	যারা ঈমানদার এবং যাদের সন্তানরা ঈমানে তাদের অনুগামী, আমি তাদেরকে তাদের পিতৃপুরুষদের সাথে মিলিত করে দেব এবং তাদের আমল বিন্দুমাত্রও হ্রাস করব না।
021_01	প্রত্যেক ব্যক্তি নিজ কৃত কর্মের জন্য দায়ী।
022_00	আমি তাদেরকে দেব ফল-মূল এবং মাংস যা তারা চাইবে।
023_00	সেখানে তারা একে অপরকে পানপাত্র দেবে; যাতে অসার বকাবকি নেই এবং পাপকর্মও নেই।
024_00	সুরক্ষিত মোতিসদৃশ কিশোররা তাদের সেবায় ঘুরাফেরা করবে।
025_00	তারা একে অপরের দিকে মুখ করে জিজ্ঞাসাবাদ করবে।
026_00	তারা বলবেঃ আমরা ইতিপূর্বে নিজেদের বাসগৃহে ভীত-কম্পিত ছিলাম।
027_00	অতঃপর আল্লাহ আমাদের প্রতি অনুগ্রহ করেছেন এবং আমাদেরকে আগুনের শাস্তি থেকে রক্ষা করেছেন।
028_00	আমরা পূর্বেও আল্লাহকে ডাকতাম। তিনি সৌজন্যশীল, পরম দয়ালু।
029_00	অতএব, আপনি উপদেশ দান করুন। আপনার পালনকর্তার কৃপায় আপনি অতীন্দ্রিয়বাদী নন এবং উম্মাদও নন।
030_00	তারা কি বলতে চায়ঃ সে একজন কবি আমরা তার মৃত্যু-দুর্ঘটনার প্রতীক্ষা করছি।
031_00	বলুনঃ তোমরা প্রতীক্ষা কর, আমিও তোমাদের সাথে প্রতীক্ষারত আছি।
032_00	তাদের বুদ্ধি কি এ বিষয়ে তাদেরকে আদেশ করে, না তারা সীমালংঘনকারী সম্প্রদায়?
033_00	না তারা বলেঃ এই কোরআন সে নিজে রচনা করেছে? বরং তারা অবিশ্বাসী।
034_00	যদি তারা সত্যবাদী হয়ে থাকে, তবেএর অনুরূপ কোন রচনা উপস্থিত করুক।
035_00	তারা কি আপনা-আপনিই সৃজিত হয়ে গেছে, না তারা নিজেরাই স্রষ্টা?
036_00	না তারা নভোমন্ডল ও ভূমন্ডল সৃষ্টি করেছে? বরং তারা বিশ্বাস করে না।
