L'Alba
001_00	Per l'alba.
002_00	per le dieci notti .
003_00	per il pari e per il dispari
004_00	e per la notte quando trascorre.
005_00	Non è questo un giuramento per chi ha intelletto.
006_00	Non hai visto come il tuo Signore ha trattato gli 'Ad.
007_00	e Iram dalla colonna.
008_00	senza eguali tra le contrade.
009_00	e i Thamùd che scavavano la roccia nella vallata
010_00	Pre-Eg. n.Di versetti. Il nome della sura deriva dal vers. In nome di Allah, il Compassionevole, il Misericordioso. e Faraone, quello dei pali .
011_00	costoro furono ribelli nel mondo
012_00	e seminarono la corruzione.
013_00	e il tuo Signore calò su di loro la frusta del castigo.
014_00	In verità il tuo Signore è all'erta.
015_00	Quanto all'uomo, allorché il suo Signore lo mette alla prova onorandolo e colmandolo di favore, egli dice: «Il mio Signore mi ha onorato».
016_00	Quando invece lo mette alla prova lesinando i Suoi doni, egli dice: «Il mio Signore mi ha umiliato».
017_00	No, siete voi che non onorate l'orfano.
018_00	che non vi sollecitate vicendevolmente a nutrire il povero.
019_00	che divorate avidamente l'eredità
020_00	e amate le ricchezze d'amore smodato.
021_00	No, quando la terra sarà polverizzata, in polvere fine.
022_00	e verranno il tuo Signore e gli angeli schiere su schiere.
023_00	in quel Giorno sarà avvicinata l'Inferno, in quel Giorno l'uomo si rammenterà. Ma a cosa gli servirà rammentarsi.
024_00	Dirà: «Ahimè! Se avessi mandato avanti qualcosa per la mia vita!».
025_00	In quel Giorno nessuno castigherà come Lui castiga.
026_00	e nessuno incatenerà come Lui incatena.
027_00	«O anima ormai acquietata .
028_00	ritorna al tuo Signore soddisfatta e accetta.
029_00	entra tra i Miei servi.
030_00	entra nel Mio Paradiso.»
