I Gruppi
001_00	La rivelazione del Libro da Allah, l'Eccelso, il Saggio.
002_00	In verità ti abbiamo rivelato il Libro con la Verità; adora dunque Allah e rendiGli un culto sincero.
003_00	Non appartiene forse ad Allah il culto esclusivo?
003_01	Coloro che si prendono padroni all'infuori di Lui: «Li adoriamo solo perché ci avvicinano ad Allah».
003_02	Giudicherà tra loro Allah, in merito alle loro divergenze. Allah non guida chi è bugiardo, ingrato.
004_00	Se Allah avesse voluto darSi un figlio, avrebbe scelto chi voleva tra ciò che ha creato. Gloria a Lui! Egli è Allah, l'Unico, il Dominatore.
005_00	Ha creato i cieli e la terra in tutta verità.
005_01	Arrotola la notte sul giorno e il giorno sulla notte, e il sole e la luna ha costretto fino ad un termine stabilito. Non è forse Lui l'Eccelso, il Perdonatore.
006_00	Vi ha creati da un solo essere, da cui ha tratto la sua sposa. Del bestiame vi diede otto coppie , Vi crea nel ventre delle vostre madri, creazione dopo creazione , in tre tenebre.
006_01	Questi è Allah, il vostro Signore! a Lui la sovranità.
006_02	Non c'è altro dio all'infuori di Lui. Come potete allontanarvi.
007_00	Se siete miscredenti, Allah è Colui Che basta a Se Stesso, ma non accetta la miscredenza dei Suoi servi. Se invece siete credenti Se ne compiace.
007_01	Nessuno porterà il peso di un altro. Ritornerete poi al vostro Signore ed Egli vi informerà in merito a ciò che avrete fatto, poiché Egli conosce quello che c'è nei petti.
008_00	Quando una sventura lo coglie, l'uomo invoca il suo Signore e si volge a Lui pentito. Poi, quando Allah gli concede una grazia, dimentica la ragione per cui si raccomandava e attribuisce ad Allah consimili per allontanare gli altri dalla Sua via.
008_01	Di' : «Goditi la tua miscredenza! In verità sei tra i compagni del Fuoco».
009_00	Ma come?
009_01	Chi passa in devozione le ore della notte, prosternato e ritto, timorato per l'Altra vita e speranzoso nella misericordia del suo Signore … Di': «Sono forse uguali coloro che sanno e coloro che non sanno?». Solo gli uomini dotati di intelletto riflettono.
010_00	Di': «O Miei servi che credete, temete il vostro Signore!». Coloro che in questa vita fanno il bene, un bene.
010_01	Vasta è la terra di Allah. Coloro che sono perseveranti riceveranno la loro incalcolabile ricompensa.
011_00	Di': «Mi è stato ordinato di adorare Allah e renderGli un culto puro.
012_00	mi è stato ordinato di essere il primo di coloro che Gli Si sottomettono».
013_00	Di': «Se disobbedisco al mio Signore, temo il castigo di un Giorno terribile».
014_00	Di': «E Allah che adoro e Gli rendo un culto puro.
015_00	Adorate ciò che volete all'infuori di Lui!». Di': «Coloro che nel Giorno della Resurrezione la rovina delle loro persone e delle loro famiglie, saranno i perdenti». Non è forse questa la perdita palese.
016_00	Avranno sopra di loro nuvole di fuoco, e nuvole di fuoco sotto di loro. Ecco la minaccia di Allah ai Suoi servi: «O Miei servi, temeteMi!».
017_00	la lieta novella a coloro che si separano dagli idoli per non adorarli e si inchinano ad Allah. Annuncia la lieta novella ai Miei servi.
018_00	che ascoltano la Parola e obbediscono a quanto di meglio essa contiene. Essi sono coloro che Allah ha guidato, sono i dotati di intelletto.
019_00	Ma come? Quello il cui castigo è già deciso… Potrai salvarlo dal Fuoco.
020_00	Coloro che temono il loro Signore piani, al di sopra dei quali sono stati costruiti altri piani e sotto di loro scorreranno i ruscelli. Promessa di Allah! Allah non manca alla Sua promessa.
021_00	Non vedi dunque che Allah ha fatto scendere l'acqua dal cielo e poi l'ha guidata, nella terra, verso fonti sgorganti; quindi per suo tramite fa germinare graminacee dai diversi colori che poi appassiscono, e così le vedi ingiallite, e infine ne fa secchi frammenti.
021_01	Certo questo è un Monito per coloro che hanno intelletto.
022_00	Colui cui Allah apre il cuore all'IsIàm e che possiede una luce che proviene dal suo Signore … Guai a coloro che hanno i cuori insensibili al Ricordo di Allah. Essi sono in errore evidente.
023_00	Allah ha fatto scendere il più bello dei racconti, un Libro coerente e reiterante , rabbrividisce la pelle di coloro che temono il loro Signore e poi si distende la pelle insieme coi cuori al Ricordo di Allah.
023_01	Questa è la Guida di Allah con cui Egli guida chi vuole. E coloro che Allah svia, non avranno direzione.
024_00	Forse colui che nel Giorno della Resurrezione tenterà invano di preservare il suo volto dal peggiore dei castighi…? E sarà detto agli ingiusti: «Gustate quel che avete meritato!».
025_00	Già coloro che li precedettero tacciarono di menzogna; giunse loro il castigo da dove non se lo aspettavano.
026_00	Allah fece provare loro l'ignominia in questa vita; ma il castigo nell'Altra vita è certamente più grande, se lo sapessero.
027_00	Già in questo Corano abbiamo proposto agli uomini parabole di ogni genere, affinché riflettano.
028_00	un Corano arabo, esente da tortuosità, affinché temano.
029_00	Allah vi propone la metafora di un uomo che dipende da soci in lite tra loro e di un altro che sottostà ad un padrone. Sono forse nella stessa condizione? Lode ad Allah, ma la maggior parte degli uomini non sanno.
030_00	In verità dovrai morire ed essi dovranno morire .
031_00	poi, nel Giorno della Resurrezione, polemizzerete davanti al vostro Signore.
032_00	Chi è più ingiusto di colui che inventa menzogne contro Allah e smentisce la verità quando essa giunge? Nell'Inferno non c'è forse una dimora per i miscredenti.
033_00	Chi ha recato la Verità e chi vi si è attenuto: ecco i timorati.
034_00	Presso il loro Signore, avranno tutto quel che vorranno. Questa è la ricompensa di chi compie il bene.
035_00	Infatti Allah cancellerà le loro azioni peggiori e li compenserà per ciò che di meglio avranno fatto.
036_00	Non basta forse Allah al Suo servo, quando gli uomini ti minacciano di coloro all'infuori di Allah ? E coloro che Allah svia non avranno direzione.
037_00	Coloro che Allah guida, nessuno li potrà sviare. Allah non è forse eccelso, padrone del castigo.
038_00	Se domandassi loro: «Chi ha creato i cieli e la terra?», certamente risponderebbero: «Allah».
038_01	Di': «Considerate allora coloro che invocate all'infuori di Allah.
038_02	Se Allah volesse un male per me saprebbero dissiparlo? Se volesse per me una misericordia, saprebbero trattenere la Sua misericordia?». Di': «Allah mi basta: in Lui confidino coloro che confidano».
039_00	Di': «O popol mio, agite alla vostra maniera, io agirò». Quanto prima saprete
040_00	chi sarà colpito da un ignominioso castigo e chi riceverà un duraturo castigo.
041_00	Su di te abbiamo fatto scendere il Libro per gli uomini, secondo verità. Chi ne è ben diretto, lo fa per se stesso, chi svia si svia a suo danno. Tu non sei responsabile di loro.
042_00	Allah accoglie le anime al momento della morte e durante il sonno.
042_01	Trattiene poi quella di cui ha deciso la morte e rinvia l'altra fino ad un termine stabilito. In verità in ciò vi sono segni per coloro che riflettono.
043_00	Si sono presi intercessori all'infuori di Allah? Di': «Anche se non possiedono niente? non comprendono niente?».
044_00	Di': «Tutta l'intercessione ad Allah. a Lui la sovranità dei cieli e della terra. A Lui sarete ricondotti».
045_00	Quando viene menzionato il Nome di Allah l'Unico, si crucciano i cuori di coloro che non credono nell'altra vita; quando invece vengono menzionati quelli all'infuori di Lui, ecco che se ne rallegrano.
046_00	Di': «O Allah, Creatore dei cieli e della terra, conoscitore del visibile e dell'invisibile! Tu giudicherai tra i Tuoi servi sulle loro divergenze».
047_00	Se gli ingiusti possedessero tutto quel che si trova sulla terra, e altrettanto ancora, nel Giorno del Giudizio non esiterebbero a darlo per riscattarsi dal peggiore dei castighi.
047_01	Allah mostrerà loro quel che mai si sarebbero aspettati.
048_00	e si manifesteranno i mali che avranno commesso e ciò di cui si burlavano li avvolgerà.
049_00	Quando una digrazia lo colpisce, l'uomo Ci invoca.
049_01	Poi, quando gli concediamo una grazia, dice: «Questo proviene dalla mia scienza!». Si tratta invece di una tentazione, ma la maggior parte di loro non lo sa.
050_00	È quel che dicevano coloro che li precedettero, ma ciò che fecero non giovò loro.
051_00	li colpì il male che avevano fatto. Quelli di loro che sono stati ingiusti presto saranno colpiti dai mali che avranno commesso e non potranno ridurre all'impotenza.
052_00	Non sanno forse che Allah concede a chi vuole e a chi vuole lesina? In ciò vi sono segni per coloro che credono.
053_00	Di': «O Miei servi, che avete ecceduto contro voi stessi, non disperate della misericordia di Allah.
053_01	Allah perdona tutti i peccati. In verità Egli è il Perdonatore, il Misericordioso.
054_00	Tornate pentiti al vostro Signore e sottomettetevi a Lui prima che vi colga il castigo, ché allora non sarete soccorsi.
055_00	Seguite dunque la meravigliosa rivelazione del vostro Signore prima che, all'improvviso, vi colpisca il castigo mentre non ne avete sentore.
056_00	che un'anima dica: "Ahimè, quanto sono stata negligente nei confronti di Allah! Certo son stato fra coloro che schernivano".
057_00	o dica: "Se Allah mi avesse guidato sarei stato certamente uno dei timorati".
