001_00	ฮา มีม
002_00	คัมภีร์นี้เป็นการประทานลงมาจากอัลลอฮฺ ผู้ทรงอำนาจ ผู้ทรงรอบรู้
003_00	ผู้ทรงอภัยในบาป และผู้ทรงรับการขอลุแก่โทษ ผู้ทรงเข้มงวดในการลงโทษ ผู้ทรงเต็มเปี่ยมไปด้วยความโปรดปราน ไม่มีพระเจ้าอื่นใดนอกจากพระองค์ ยังพระองค์คือการกลับไป
004_00	ไม่มีผู้ใดจะโต้เถียงในอายาตของอัลลอฮฺ (อัลกุรอาน) นอกจากบรรดาผู้ปฏิเสธศรัทธา ดังนั้นอย่าให้การวางมาดของพวกเขาในหัวเมืองต่าง ๆ เป็นที่หลอกลวงแก่เจ้า
005_00	(เพราะ) ก่อนหน้าพวกเขานั้น หมู่ชนของนูหฺ และพลพรรคต่าง ๆ หลังจากพวกเขาได้ปฏิเสธมาก่อนแล้ว
005_01	และทุก ๆ ประชาชาติได้ตั้งใจที่จะทำลายล้างร่อซูลของพวกเขาและโต้เถียงด้วยความเท็จ เพื่อที่จะลบล้างความจริ งให้สูญสิ้นไป ดังนั้นข้าจึงได้ลงโทษพวกเขาแล้วเป็นอย่างไรบ้างการลงโทษของข้า
006_00	และเช่นนั้นแหละ ประกาศิตแห่งพระเจ้าของเจ้าได้เป็นที่สมจริงแก่บรรดาผู้ปฏิเสธศรัทธาว่าพวกเขาเป็นชาวนรก
007_00	บรรดาผู้แบกบัลลังก์ และผู้ที่อยู่รอบ ๆ บัลลังก์ ต่างก็แซ่ซ้องสดุดีด้วยการสรรเสริญพระเจ้าของพวกเขา และศรัทธาต่อพระองค์
007_01	และอภัยโทษให้แก่บรรดาผู้ศรัทธา ข้าแต่พระเจ้าของเรา พระองค์ท่านทรงแผ่ความเมตตาและความรอบรู้ไปทั่วทุกสิ่ง ขอพระองค์ทรงโปรดอภัยแก่บรรดาผู้ลุแก่โทษ และดำเนินตามแนวทางของพระองค์ท่าน และทรงคุ้มครองพวกเขาให้พ้นจากการลงโทษแห่งไพนรก
008_00	ข้าแต่พระเจ้าของเรา และขอพระองค์ทรงให้พวกเขาได้เข้าในสวนสวรรค์หลากหลายอันสถาพร ซึ่งพระองค์ได้ทรงสัญญาแก่พวกเขาพร้อมทั้งผู้กระทำความดีจากบรรพบุรุษของพวกเขา และคู่ครองของพวกเขาและลูกหลานของพวกเขา แท้จริงพระองค์ท่านนั้นเป็นผู้ทรงมีอำนาจ ผู้ทรงปรีชาญาณ
009_00	และขอพระองค์ทรงคุ้มครองพวกเขาให้พ้นจากความชั่วทั้งหลาย และผู้ใดที่พระองค์ทรงคุ้มครองให้พ้นจากความชั่วทั้งหลายในวันนั้นดังนั้นแน่นอนพระองค์ท่านทรงเมตตาแก่เขา และนั่นคือมันเป็นความสำร็จอันใหญ่หลวง
010_00	แท้จริงบรรดาผู้ปฎิเสธศรัทธานั้นจะมีเสียงตะโกนบอกว่า การเกลียดชังของอัลลอฮฺนั้นยิ่งใหญ่กว่าการเกลียดชังของพวกเจ้าต่อตัวของพวกเจ้าเอง เมื่อพวกเจ้าถูกเรียกร้องสู่การศรัทธา แล้วพวกเจ้าก็ได้ปฏิเสธศรัทธา
011_00	พวกเขากล่าวว่า ข้าแต่พระเจ้าของเรา พระองค์ท่านได้ทรงทำให้เราตายสองครั้ง และพระองค์ท่านได้ทรงทำให้เรามีชีวิตสองครั้ง ดังนั้นเราขอสารภาพต่อความผิดทั้งหลายของเราดังนั้นจะมีทางออก(แก่เรา)ไหม?
012_00	นั่นก็เพราะว่า แท้จริงเมืออัลลอฮฺพระองค์เดียวถูกกล่าวขึ้น พวกเจ้าก็ปฎิเสธศรัทธา และเมื่อหากให้มีการตั้งภาคีกับพระองค์พวกเจ้าก็ศรัทธา ดังนั้น การตัดสินชี้ขาดเป็นสิทธิของอัลลอฮฺ ผู้ทรงสูงส่ง ผู้ทรางยิ่งใหญ่
013_00	และจะไม่มีใครใคร่ครวญนอกจากผู้สำนึกตัว
014_00	ดังนั้นจงวิงวอนขอต่ออัลลอฮฺ โดยเป็นผู้มีความบริสุทธิ์ใจในศาสนาต่อพระองค์ แม้ว่าพวกปฎิเสธศรัทธาจะเกลียดชังก็ตาม
015_00	ผู้ทรงตำแหน่งอันสูงเจ้าแห่งบัลลังก์ ทรงส่งวะฮียฺตามพระบัญชาของพระองค์แก่ผู้ที่พระองค์ทรงประสงค์จากปวงบ่าวของพระองค์เพื่อเตือนให้รำลึกถึงวันแห่งการพบปะร่วมกัน (วันกิยามะฮฺ)
016_00	วันที่พวกเขาจะปรากฎตัวออกมา ไม่มีสิ่งใดของพวกเขาจะซ่อนเร้นไปจากอัลลอฮฺ อำนาจในวันนี้เป็นของผู้ใดเล่า ? แน่นอนมันเป็นของอัลลอฮฺ ผู้ทรงเอกะผู้ทรงพิชิตโดยเด็ดขาด
017_00	วันนี้ทุกชีวิตจะได้รับการตอบแทนตามที่มันได้กระทำไว้ ไม่มีการอธรรมในวันนี้แท้จริงอัลลอฮฺเป็นผู้ทรงฉับพลันในการสอบสวน
018_00	และจงเตือนพวกเขาให้ทราบถึงวันที่ใกล้เข้ามา (วันกิยามะฮฺ) เมื่อหัวใจเข้ามาติดอยู่ที่ลำคอด้วยความอดกลั้น ไม่มีมิตรที่สนิทสนมสำหรับบรรดาผู้อธรรม และไม่มีผู้ช่วยเหลือคนใดที่จะถูกเชื่อฟัง
019_00	พระองค์ทรงรอบรู้การทรยศของดวงตา และสิ่งที่ทรวงอกปกปิดอยู่
020_00	และ อัลลอฮฺทรงตัดสินด้วยความยุติธรรม และบรรดาผู้ที่วิงวอนขออื่นจากพระองค์นั้น พวกมันไม่อาจจะตัดสินใด ๆ ได้ แท้จริงอัลลอฮฺ พระองค์เป็นผู้ทรงได้ยิน ผู้ทรงเห็น
021_00	พวกเขามิได้ท่องเที่ยวไปตามแผ่นดินดอกหรือ ?
021_01	แล้วพิจารณาดูว่าบั้นปลายของประชาชาติในยุคก่อนหน้าพวกเขาเป็นเช่นใด เขาเหล่านั้นมีพลังที่เข้มแข็งกว่าพวกเขา และได้ทิ้งร่องรอยไว้มากมาย แล้วอัลลอฮฺ ก็ได้ทรงลงโทษพวกเขาด้วยความผิดของพวกเขา และไม่มีผู้ใดจะช่วยปกป้องพวกเขาให้พ้นจากอัลลอฮฺได้
022_00	นั่นก็เพราะว่าเมื่อบรรดาร่อซูลของพวกเขาได้มายังพวกเขาได้มายังพวกเขาพร้อมด้วยหลักฐานต่าง ๆ อันชัดแจ้งพวกเขาก็ได้ปฏิเสธศรัทธา ดังนั้นอัลลอฮฺจึงทรงลงโทษพวกเขา แท้จริงพระองค์เป็นผู้ทรงพลัง ผู้ทรงรุนแรงในการลงโทษ
023_00	และโดยไม่แน่นอน เราได้ส่งมูซามาพร้อมด้วยสัญญาณต่าง ๆ ของเราและหลักฐานอันชัดแจ้ง
024_00	ไปยังฟิรเอานฺ และฮามาน และกอรูน แล้วพวกเขาก็กล่าวว่า (มูซาเป็น) มายากรนักโกหกตัวฉกาจ
025_00	ครั้นเมื่อมูซาได้มายังพวกเขาด้วยสัจธรรมจากเรา พวกเขากล่าวว่า จงฆ่าลูกชายของบรรดาผู้ศรัทธาร่วมกับเขา
025_01	และไว้ชีวิตผู้หญิงของพวกเขา แต่แผนการณ์ของพวกปฏิเสธศรัทธานั้นมิใช่อื่นใด นอกจากการผิดพลาด
026_00	และฟิรเอานฺ กล่าวว่า จงปล่อยฉัน ฉันจะฆ่ามูซา และให้เขาวิงวอนขอพระเจ้าของเขา แท้จริงฉันเกรงว่าเขาจะมาเปลี่ยนศาสนาของพวกท่าน หรือจะก่อการร้ายให้เกิดขึ้นในแผ่นดิน
027_00	และ มูซากล่าวว่า แท้จริงฉันของความคุ้มครองต่อพระเจ้าของฉัน และพระเจ้าของพวกท่านให้พ้นจากผู้หยิ่งผยองทุกคนที่ไม่ศรัทธาต่อวันแห่งการชำระบัญชี
028_00	และชายผู้ศรัทธาคนหนึ่งจากพวกพ้องของฟิรเอานฺ ซึ่งปกปิดการศรัทธาของเขากล่าวว่าพวกท่านจะฆ่าชายคนหนึ่ง ที่เขากล่าวว่า พระเจ้าของฉันคืออัลลอฮฺกระนั้นหรือ ?
028_01	และแน่นอนเยาได้นำหลักฐานทั้งหลายอันชัดแจ้ง มาจากพระเจ้าของพวกท่านมายังพวกท่าน และหากว่าเขาเป็นคนโกหก การโกหกของเขาก็อยู่บนเขาเอง และหากว่าเขาเป็นคนพูดจริง ส่วนหนึ่งจากที่เขาได้สัญญาไว้กับพวกท่านก็จะประสบแก่พวกท่าน แท้จริงอัลลอฮฺจะไม่ชี้แนะทางแก่ผู้ที่เขาเป็นผู้ละเมิดนักโกหกตัวฉกาจ
029_00	โอ้หมู่ชนของฉันเอ๋ย!
029_01	วันนี้อำนาจการปกครองเป็นของพวกท่าน เป็นผู้อยู่เบื้องบนในแผ่นดิน (อียิปต์) แล้วใครเล่าจะช่วยเหลือเราจากการลงโทษของอัลลอฮฺ หากมันได้เกิดขึ้นแก่เรา ฟิรเอานฺ กล่าวว่า ฉันมิได้ชี้นำพวกท่านเว้นแต่สิ่งที่ฉันเห็นว่ามันถูกต้อง เท่านั้นและฉันมิได้ชี้แนะทางแก่พวกท่านเว้นแต่ทางที่เป็นสัจธรรมเท่านั้น
030_00	และชายผู้ศรัทธากล่าวอีกว่า โอ้หมู่ชนของฉันเอ๋ย! แท้จริงฉันกลัวแทนพวกท่านยี่ยงวันแห่งการลงโทษของกลุ่มชนต่าง ๆ ในอดีต
031_00	เยี่ยงกับเคราะห์กรรมของหมู่ชนของนูหฺ และอ๊าด และซะมูด และกับหมู่ชน หลังจากพวกเขา และอัลลอฮฺ มิ ทรงประสงค์การอธรรมใด ๆแก่ปวงบ่าว
032_00	และโอ้หมู่ชนของฉันเอ๋ย! ฉันกลัวแทนพวกท่าน เยี่ยงวันแห่งการร้องเรียกหาซึ่งกันและกัน
033_00	วันที่พวกท่านหันหลังกลับหนี ไม่มีผู้ใดจะช่วยปกป้องพวกท่านให้พ้นจากการลงโทษของอัลลอฮฺไดเ และผู้ใดที่อัลลอฮฺทรงให้เขาหลงทางแล้ว ก็จะไม่มีผู้ชี้แนะทางให้แก่เขา
034_00	และโดยแน่นอน แต่ก่อนนี้ยูซุฟ ได้มายังพวกท่านพร้อมด้วยหลักฐ่านอันชัดแจ้งแต่พวกท่านก็ยังคงอยู่ในการสงสัยในสิ่งที่เขาได้นำมายังพวกท่าน
034_01	จนกระทั่งเมื่อเขาได้ตายไปแล้ว พวกท่านก็กล่าวว่าอัลลอฮฺจะไม่ทรงตั้งร่อซูลคนใดอีกแล้วหลังจากเขา เช่นนั้นแหละอัลลอฮฺจะทรงให้ผู้ที่เขาฝ่าฝืนสงสัยหลงทาง
035_00	บรรดาผู้โต้เถียงในสัญญาณต่าง ๆ ของอัลลอฮฺโดยไม่มีหลักฐานใด ๆ มายังพวกเขา เป็นที่น่าเกลียดชังยิ่ง ณ
035_01	ที่อัลลอฮฺ และ ณ บรรดาผู้ศรัทธา เช่นนั้นแหละอัลลอฮฺทรงประทับบนทุก ๆ หัวใจของผู้จองหองหยิ่งยะโส
036_00	และฟิรเอานกล่าวว่า โอ้ฮามานเอ๋ย! จงสร้างหอสูงให้ฉันเพื่อฉันจะได้บรรลุถึงทางที่จะขึ้นไป
037_00	ทางที่จะขึ้นไปสู่ชั้นฟ้าทั้งหลาย เพื่อฉันจะได้เห็นพระเจ้าของมูซา และแท้จริงฉันคิดอย่างแน่ใจแล้วว่าเขาเป็นคนโกหก เช่นนั้นแหละ
037_01	การงานที่ชั่วช้าของเขาได้ถูกทำให้เพริศแพร้วแก่ฟิรเอานฺ และเขาถูกปิดกั้นจากแนวทาง (ของอัลลอฮฺ) และแผนการของฟิรเอานฺนั้นมิใช่อื่นนอกจากอยู่ในความหายนะ
038_00	และผู้ศรัทธากล่าวว่า โอ้หมู่ชนของฉันเอ๋ย! จงปฏิบัติตามฉัน ฉันจะชี้แนะทางแก่พวกท่านสู่ทางแห่งสัจธรรม
