001_00	โอ้ผู้ห่มกายอยู่เอ๋ย !
002_00	จงลุกขึ้น แล้วประกาศตักเตือน
003_00	และแด่พระเจ้าของเจ้า จงให้ความเกียงไกร (ต่อพระองค์)
004_00	และเสื้อผ้าของเจ้า จงทำให้สะอาด
005_00	และสิ่งสกปรกก็จงหลบหลีกให้ห่างเสีย
006_00	และอย่าทำคุณ เพื่อหวังการตอบแทนอันมากมาย
007_00	และเพื่อพระเจ้าของเจ้าเท่านั้นจงอดทน
008_00	ในที่สุด เมื่อเสียงเป่าถูกเป่าขึ้น
009_00	นั่นคือ วันนั้น วันแห่งความยากลำบาก
010_00	แก่บรรดาผู้ปฏิเสธศรัทธา มิใช่เป็นเรื่องง่าย
011_00	จงปล่อยข้าไว้กับผู้ที่ข้าได้สร้างเขาไว้แต่ลำพังเถิด
012_00	และข้าได้ทำให้เขามีทรัพย์สมบัติอย่างล้นเหลือ
013_00	และลูกหลานอย่างพรั่งพร้อม
014_00	และข้าได้ทำให้เขาสุขสบายอย่างราบรื่น
015_00	แล้วเขายังโลภที่จะให้ข้าเพิ่มพูนแก่เขาอีก
016_00	เปล่าเลย ! เพราะว่าเขาเป็นผู้ดื้อรั้นต่อสัญญาณต่าง ๆ ของเรา
017_00	ในไม่ช้าข้าจะเพิ่มพูนความยากลำบากแก่เขา
018_00	แท้จริงเขาได้ใคร่ครวญและคาดคะเน
019_00	ดังนั้นเขาได้รับความหายนะ เขาจะคาดคะเนได้อย่างไร ?
020_00	แล้วเขาได้รับความหายนะ เขาจะคาดคะเนได้อย่างไร ?
021_00	แล้วเขาได้ตรึกตรอง
022_00	แล้วเขาทำหน้าบูดบึ้ง และทำหน้านิ่วคิ้วขมวด
023_00	แล้วเขาก็ผินหลังออกไป และหยิ่งผยอง
024_00	แล้วเขากล่าวว่า นี่มิใช่อื่นนอกจากเป็นมายากลที่สืบทอดกันมา
025_00	นี่มิใช่อื่นใดนอกจากเป็นคำพูดของปุถุชน
026_00	ในไม่ช้าข้าจะโยนเขาเข้าสู่กองไฟที่เผาไหม้
