001_00	ฮามีม
002_00	ขอสาบานด้วยคัมภีร์อันชัดแจ้ง
003_00	แท้จริงเราได้ประทานอัลกุรอานลงมาในคืนอันจำเริญ แท้จริงเราเป็นผู้ตักเตือน
004_00	ในคืนนั้นทุก ๆ กิจการที่สำคัญถูกจำแนกไว้แล้ว
005_00	โดยทางบัญชามาจากเรา แท้จริงเราเป็นผู้ส่งมา
006_00	เป็นความเมตตาจากพระเจ้าของเจ้า แท้จริงพระองค์เป็นผู้ทรงได้ยิน ผู้ทรงรอบรู้
007_00	พระเจ้าแห่งชั้นฟ้าทั้งหลาย และแผ่นดินและสิ่งที่อยู่ระหว่างทั้งสอง หากพวกเจ้าเป็นผู้เชื่อมั่น
008_00	ไม่มีพระผู้เป็นเจ้าอื่นใดอีกนอกจากพระองค์ ผู้ทรงให้เป็นและผู้ทรงให้ตาย พระเจ้าของพวกเจ้าและพระเจ้าแห่งบรรพบุรุษของพวกเจ้าในสมัยก่อน ๆ
009_00	แต่ทว่าพวกเขากังวลอยู่ในการสงสัย
010_00	ดังนั้น เจ้าจงคอยเฝ้าดูวันที่ชั้นฟ้าจะนำไอหมอกออกมาซึ่งจะเห็นได้ชัด
011_00	ซึ่งจะครอบคลุมผู้คน นี่คือการลงโทษอันเจ็บปวด
012_00	(พวกเขาจะกล่าวว่า) ข้าแต่พระเจ้าของข้าพระองค์ได้ทรงปลดเปลื้องการลงโทษนี้ ให้พ้นจากข้าพระองค์ แท้จริงพวกเราเป็นผู้ศรัทธา
013_00	ข้อตักเตือนนั้นจะเป็นผลแก่พวกเขาได้อย่างไร ทั้ง ๆ ที่ได้มีร่อซูลผู้ชี้แจงอย่างแจ้งชัดมายังพวกเขาแล้ว
014_00	แล้วพวกเขาก็ผินหลังออกไปจากเขา และพวกเขากล่าวว่าเขา (มุฮัมมัด) เป็นคนบ้าที่ได้รับการเสี้ยมสอน
015_00	แน่นอนเราจะปลดเปลื้องการลงโทษนั้นให้พ้นไป (จากพวกเจ้า) ชั่วขณะหนึ่ง แล้วพวกเจ้าก็จะกลับไปสู่สภาพเดิม
016_00	วันที่เราจะปราบพวกเขาด้วยการปราบครั้งยิ่งใหญ่ แน่นอนเราเป็นผู้ตอบแทนอย่างสาสม
017_00	และโดยแน่นอน เราได้ทดสอบหมู่ชนของฟิรเอานฺก่อนหน้าพวกเขา และได้มีร่อซูล (มูซา) ผู้มีเกียรติมายังพวกเขา
018_00	(โดยกล่าวว่า) จงมอบปวงบ่าวของอัลลอฮฺให้แก่ฉัน แท้จริงฉันคือร่อซูลผู้ซื่อสัตย์สำหรับพวกท่าน
019_00	และพวกท่านอย่ายกตนเหนืออัลลอฮฺ แท้จริงฉันมาหาพวกท่านพร้อมด้วยหลักฐานอันชัดแจ้ง
020_00	และแท้จริงฉันขอความคุ้มครองต่อพระเจ้าของฉัน และพระเจ้าของพวกท่านมิให้พวกท่านทำร้ายฉัน
021_00	และถ้าหากพวกท่านไม่เชื่อฉันก็จงถอยห่างไปจากฉัน
022_00	แล้วเขาก็วิงวอนขอต่อพระเจ้าของเขาว่า ชนเหล่านี้เป็นหมู่ชนผู้กระทำความผิด
023_00	ดังนั้น จงเดินทางในเวลากลางคืนพร้อมด้วยปวงบ่าวของข้า เพราะพวกเจ้าจะถูกติดตามอย่างแน่นอน
024_00	และจงปล่อยทะเลให้สงบนิ่ง (เหมือนเดิม) เพราะแท้จริงพวกเขาเป็นไพร่พลที่ถูกจมน้ำตาย
025_00	กี่มากน้อยที่พวกเขาได้ทิ้งสวนหลากหลาย และน้ำพุหลายแห่ง
026_00	และเรือกสวนไร่นา และอาคารระโหฐานอันมีเกียรติ
027_00	และความสะดวกสะบายที่พวกเขาสนุกสนานร่าเริง
028_00	เช่นนั้นแหละ เราได้ให้หมู่ชนอื่นรับมรดกครอบครองมัน
029_00	และชั้นฟ้า และแผ่นดินมิได้ร่ำไห้เพราะ (เสียดาย) พวกเขาและพวกเขาจะไม่ถูกประวิงเวลา
030_00	และโดยแน่นอน เราได้ให้วงศ์วานของอิสราเอลรอดพ้นจากการทรมานที่น่าอดสู
031_00	จากฟิรเอานฺ แท้จริงเขาเป็นผู้โอหังที่มาจากผู้ฝ่าฝืน
032_00	และโดยแน่นอนเราได้เลือกพวกเขาเหนือประชาชาติทั้งหลายในยุคนั้น เนื่องด้วยความรอบรู้ของเรา
033_00	และเราได้ประทานสัญญาณต่าง ๆ แก่พวกเขา ซึ่งในนั้นมีข้อทดสอบอย่างชัดแจ้ง
034_00	แท้จริงชนเหล่านั้น แน่นอนพวกเขาจะกล่าวว่า
035_00	มันเป็นเพียงความตายครั้งแรกของเรา และเราจะไม่ถูกให้ฟื้นคืนชีพขึ้นมาอีก
036_00	ดังนั้น จงนำบรรพบุรุษของเรากลับมาอีกซิ หากพวกท่านเป็นผู้ซื่อสัตย์จริง
