001_00	ขอสาบานด้วยดวงดาวเมื่อมันคล้อยตกลงมา
002_00	สหาย(มุฮัมมัด) ของพวกเจ้ามิได้หลงผิดและเชื่อมั่นในทางที่ผิด
003_00	และเขามิได้พูดตามอารมณ์
004_00	อัลกุรอานมิใช่อื่นใดนอกจากเป็นวะฮีย.ที่ถูกประทานลงมา
005_00	ผู้ทรงพลังอำนาจอันมากมาย (ญิบรีล) ได้สอนเขา
006_00	ผู้ทรงพลังอันแข็งแรง ดังนั้นเขาจึงปรากฎในสภาพที่แท้จริง
007_00	ขณะที่เขาอยู่บนขอบฟ้าอันสูงส่ง
008_00	แล้วเขาได้เข้ามาใกล้ และเข้ามาใกล้จนชิด
009_00	เขาเข้ามาใกล้ (จนอยู่) ในระยะของปลายคันธนูทั้งสอง หรือใกล้กว่านั้นอีก
010_00	ดังนั้นเขา (ญิบรีล) จึงนำวะฮียฺมาให้แก่บ่าวของพระองค์ (มุฮัมมัด) สิ่งที่เขาจะนำวะฮียฺมา
011_00	จิตใจ (ของมุฮัมมัด) มิได้ปฏิเสธสิ่งที่เขาได้เห็น
012_00	แล้วพวกเจ้าจะโต้เถียงกับเขาเกี่ยวกับสิ่งที่เขาได้เห็นอีกหรือ
013_00	และโดยแน่นอน เขาได้เห็นญิบรีลในการลงมาอีกครั้งหนึ่ง
014_00	ณ ที่ต้นพุทธาอันไกลโพ้น
015_00	ณ ที่นั้น คือสวนสวรรค์อันเป็นที่พำนัก
016_00	(ขณะนั้น) สิ่งที่ปกคลุม (แสงประกาย) ได้ปกคลุมต้นพุทรา
017_00	สายตา (ของมุฮัมมัด) มิได้เหลือบแลไปทางอื่น และมิได้ล่วงเกินไป
018_00	โดยแน่นอนเขาได้เห็นสัญญาณอันยิ่งใหญ่ของพระเจ้าของเขา
019_00	แล้วพวกเจ้ามิได้เห็นอัลลาต และอัลอุซซา
020_00	และตัวอื่นคือตัวที่สาม, มะนาต ดอกหรือ?
021_00	สำหรับพวกเจ้ามีเพศชาย และสำหรับพระองค์ให้เพศหญิงกระนั้นหรือ?
022_00	ดูซิ นั่น เป็นการแบ่งส่วนที่ไม่ยุติธรรม
023_00	เหล่านี้มิใช่อื่นใดนอกจากเป็นชื่อที่พวกเจ้าและบรรพบุรุษของพวกเจ้าตั้งมันขึ้นมาเอง อัลลอฮฺมิได้ทรงประทานหลักฐานอันใดลงมาเกี่ยวกับเรื่องนั้นเลย พวกเขามิได้ปฏิบัติตามสิ่งใดนอกจากการคาดคะเนและสิ่งที่อารมณ์ปรารถนา
023_01	และโดยแน่นอน แนวที่ถูกต้อง (ฮิดายะฮฺ) จากพระเจ้าของพวกเขาได้มีมายังพวกเขาแล้ว
024_00	หรือว่าสำหรับมนุษย์นั้นจะได้ทุกสิ่งที่เขาปรารถนา
