001_00	Demi fajar,
002_00	dan malam yang sepuluh,
003_00	dan yang genap dan yang ganjil,
004_00	dan malam bila berlalu.
005_00	Pada yang demikian itu terdapat sumpah (yang dapat diterima) oleh orang-orang yang berakal.
006_00	Apakah kamu tidak memperhatikan bagaimana Tuhanmu berbuat terhadap kaum 'Aad?
007_00	(yaitu) penduduk Iram yang mempunyai bangunan-bangunan yang tinggi,
008_00	yang belum pernah dibangun (suatu kota) seperti itu, di negeri-negeri lain,
009_00	dan kaum Tsamud yang memotong batu-batu besar di lembah,
010_00	dan kaum Fir'aun yang mempunyai pasak-pasak (tentara yang banyak),
011_00	yang berbuat sewenang-wenang dalam negeri,
012_00	lalu mereka berbuat banyak kerusakan dalam negeri itu,
013_00	karena itu Tuhanmu menimpakan kepada mereka cemeti azab,
014_00	sesungguhnya Tuhanmu benar-benar mengawasi.
015_00	Adapun manusia apabila Tuhannya mengujinya lalu dia dimuliakan-Nya dan diberi-Nya kesenangan, maka dia akan berkata: "Tuhanku telah memuliakanku".
016_00	Adapun bila Tuhannya mengujinya lalu membatasi rezekinya maka dia berkata: "Tuhanku menghinakanku".
017_00	Sekali-kali tidak (demikian), sebenarnya kamu tidak memuliakan anak yatim,
018_00	dan kamu tidak saling mengajak memberi makan orang miskin,
019_00	dan kamu memakan harta pusaka dengan cara mencampur baurkan (yang halal dan yang bathil),
020_00	dan kamu mencintai harta benda dengan kecintaan yang berlebihan.
021_00	Jangan (berbuat demikian). Apabila bumi digoncangkan berturut-turut,
022_00	dan datanglah Tuhanmu; sedang malaikat berbaris-baris.
023_00	Dan pada hari itu diperlihatkan neraka Jahannam; dan pada hari itu ingatlah manusia, akan tetapi tidak berguna lagi mengingat itu baginya.
024_00	Dia mengatakan: "Alangkah baiknya kiranya aku dahulu mengerjakan (amal saleh) untuk hidupku ini".
025_00	Maka pada hari itu tiada seorangpun yang menyiksa seperti siksa-Nya.
026_00	dan tiada seorangpun yang mengikat seperti ikatan-Nya.
027_00	Hai jiwa yang tenang.
028_00	Kembalilah kepada Tuhanmu dengan hati yang puas lagi diridhai-Nya.
029_00	Maka masuklah ke dalam jama'ah hamba-hamba-Ku,
030_00	masuklah ke dalam surga-Ku.
