001_00	Telah dekat datangnya saat itu dan telah terbelah bulan.
002_00	Dan jika mereka (orang-orang musyrikin) melihat suatu tanda (mukjizat), mereka berpaling dan berkata: "(Ini adalah) sihir yang terus menerus".
003_00	Dan mereka mendutakan (Nabi) dan mengikuti hawa nafsu mereka, sedang tiap-tiap urusan telah ada ketetapannya
004_00	Dan sesungguhnya telah datang kepada mereka beberapa kisah yang di dalamnya terdapat cegahan (dari kekafiran).
005_00	Itulah suatu hikmah yang sempurna maka peringatan-peringatan itu tidak berguna (bagi mereka).
006_00	Maka berpalinglah kamu dari mereka. (Ingatlah) hari (ketika) seorang penyeru (malaikat) menyeru kepada sesuatu yang tidak menyenangkan (hari pembalasan),
007_00	sambil menundukkan pandangan-pandangan mereka keluar dari kuburan seakan-akan mereka belalang yang beterbangan
008_00	mereka datang dengan cepat kepada penyeru itu. Orang-orang kafir berkata: "Ini adalah hari yang berat".
009_00	Sebelum mereka, telah mendustakan (pula) kamu Nuh, maka mereka mendustakan hamba Kami (Nuh) dan mengatakan: "Dia seorang gila dan dia sudah pernah diberi ancaman).
010_00	Maka dia mengadu kepada Tuhannya: "bahwasanya aku ini adalah orang yang dikalahkan, oleh sebab itu menangkanlah (aku)".
011_00	Maka Kami bukakan pintu-pintu langit dengan (menurunkan) air yang tercurah.
012_00	Dan Kami jadikan bumi memancarkan mata air-mata air, maka bertemulah air-air itu untuk suatu urusan yang sungguh telah ditetapkan.
013_00	Dan Kami angkut Nuh ke atas (bahtera) yang terbuat dari papan dan paku,
014_00	Yang berlayar dengan pemeliharaan Kami sebagai belasan bagi orang-orang yang diingkari (Nuh).
015_00	Dan sesungguhnya telah Kami jadikan kapal itu sebagai pelajaran, maka adakah orang yang mau mengambil pelajaran?
016_00	Maka alangkah dahsyatnya azab-Ku dan ancaman-ancaman-Ku.
017_00	Dan sesungguhnya telah Kami mudahkan Al-Quran untuk pelajaran, maka adakah orang yang mengambil pelajaran?
018_00	Kaum 'Aad pun mendustakan (pula). Maka alangkah dahsyatnya azab-Ku dan ancaman-ancaman-Ku.
019_00	Sesungguhnya Kami telah menghembuskan kepada mereka angin yang sangat kencang pada hari nahas yang terus menerus,
020_00	yang menggelimpangkan manusia seakan-akan mereka pokok korma yang tumbang.
021_00	Maka alangkah dahsyatnya azab-Ku dan ancaman-ancaman-Ku.
022_00	Dan sesungguhnya telah Kami mudahkan Al Quran untuk pelajaran, maka adakah orang yang mengambil pelajaran?
023_00	Kaum Tsamudpun telah mendustakan ancaman-ancaman (itu).
024_00	Maka mereka berkata: "Bagaimana kita akan mengikuti seorang manusia (biasa) di antara kita?" Sesungguhnya kalau kita begitu benar-benar berada dalam keadaan sesat dan gila".
025_00	Apakah wahyu itu diturunkan kepadanya di antara kita? Sebenarnya dia adalah seorang yang amat pendusta lagi sombong.
026_00	Kelak mereka akan mengetahui siapakah yang sebenarnya amat pendusta lagi sombong.
027_00	Sesungguhnya Kami akan mengirimkan unta betina sebagai cobaan bagi mereka, maka tunggulah (tindakan) mereka dan bersabarlah.
028_00	Dan beritakanlah kepada mereka bahwa sesungguhnya air itu terbagi antara mereka (dengan unta betina itu); tiap-tiap giliran minum dihadiri (oleh yang punya giliran)
029_00	Maka mereka memanggil kawannya, lalu kawannya menangkap (unta itu) dan membunuhnya.
030_00	Alangkah dahsyatnya azab-Ku dan ancaman-ancaman-Ku.
031_00	Sesungguhnya Kami menimpakan atas mereka satu suara yang keras mengguntur, maka jadilah mereka seperti rumput kering (yang dikumpulkan oleh) yang punya kandang binatang.
032_00	Dan sesungguhnya telah Kami mudahkan Al Quran untuk pelajaran, maka adakah orang yang mengambil pelajaran?
033_00	Kaum Luth-pun telah mendustakan ancaman-ancaman (nabinya).
034_00	Sesungguhnya Kami telah menghembuskan kepada mereka angin yang membawa batu-batu (yang menimpa mereka), kecuali keluarga Luth. Mereka Kami selamatkan sebelum fajar menyingsing,
035_00	sebagai nikmat dari Kami. Demikianlah Kami memberi balasan kepada orang-orang yang bersyukur,
036_00	Dan sesungguhnya dia (Luth) telah memperingatkan mereka akan azab-azab Kami, maka mereka mendustakan ancaman-ancaman itu.
037_00	Dan sesungguhnya mereka telah membujuknya (agar menyerahkan) tamunya (kepada mereka), lalu Kami butakan mata mereka, maka rasakanlah azab-Ku dan ancaman-ancaman-Ku.
038_00	Dan sesungguhnya pada esok harinya mereka ditimpa azab yang kekal.
039_00	Maka rasakanlah azab-Ku dan ancaman-ancaman-Ku.
040_00	Dan sesungguhnya telah Kami mudahkan Al Quran untuk pelajaran, maka adakah orang yang mengambil pelajaran?
041_00	Dan sesungguhnya telah datang kepada kaum Fir'aun ancaman-ancaman.
042_00	Mereka mendustakan mukjizat Kami semuanya, lalu Kami azab mereka sebagai azab dari Yang Maha Perkasa lagi Maha Kuasa
043_00	Apakah orang-orang kafirmu (hai kaum musyrikin) lebih baik dari mereka itu, atau apakah kamu telah mempunyai jaminan kebebasan (dari azab) dalam Kitab-kitab yang dahulu
044_00	Atau apakah mereka mengatakan: "Kami adalah satu golongan yang bersatu yang pasti menang".
045_00	Golongan itu pasti akan dikalahkan dan mereka akan mundur ke belakang.
046_00	Sebenarnya hari kiamat itulah hari yang dijanjikan kepada mereka dan kiamat itu lebih dahsyat dan lebih pahit.
047_00	Sesungguhnya orang-orang yang berdosa berada dalam kesesatan (di dunia) dan dalam neraka.
048_00	(Ingatlah) pada hari mereka diseret ke neraka atas muka mereka. (Dikatakan kepada mereka): "Rasakanlah sentuhan api neraka!"
049_00	Sesungguhnya Kami menciptakan segala sesuatu menurut ukuran.
050_00	Dan perintah Kami hanyalah satu perkataan seperti kejapan mata.
051_00	Dan sesungguhnya telah Kami binasakan orang yang serupa dengan kamu. Maka adakah orang yang mau mengambil pelajaran?
052_00	Dan segala sesuatu yang telah mereka perbuat tercatat dalam buku-buku catatan
053_00	Dan segala (urusan) yang kecil maupun yang besar adalah tertulis.
054_00	Sesungguhnya orang-orang yang bertakwa itu di dalam taman-taman dan sungai-sungai,
055_00	di tempat yang disenangi di sisi Tuhan Yang Berkuasa.
