001_00	Demi bintang ketika terbenam.
002_00	kawanmu (Muhammad) tidak sesat dan tidak pula keliru.
003_00	dan tiadalah yang diucapkannya itu (Al-Quran) menurut kemauan hawa nafsunya.
004_00	Ucapannya itu tiada lain hanyalah wahyu yang diwahyukan (kepadanya).
005_00	yang diajarkan kepadanya oleh (Jibril) yang sangat kuat.
006_00	yang mempunyai akal yang cerdas; dan (Jibril itu) menampakkan diri dengan rupa yang asli.
007_00	sedang dia berada di ufuk yang tinggi.
008_00	Kemudian dia mendekat, lalu bertambah dekat lagi.
009_00	maka jadilah dia dekat (pada Muhammad sejarak) dua ujung busur panah atau lebih dekat (lagi).
010_00	Lalu dia menyampaikan kepada hamba-Nya (Muhammad) apa yang telah Allah wahyukan.
011_00	Hatinya tidak mendustakan apa yang telah dilihatnya.
012_00	Maka apakah kaum (musyrik Mekah) hendak membantahnya tentang apa yang telah dilihatnya?
013_00	Dan sesungguhnya Muhammad telah melihat Jibril itu (dalam rupanya yang asli) pada waktu yang lain,
014_00	(yaitu) di Sidratil Muntaha.
015_00	Di dekatnya ada surga tempat tinggal,
016_00	(Muhammad melihat Jibril) ketika Sidratil Muntaha diliputi oleh sesuatu yang meliputinya.
017_00	Penglihatannya (muhammad) tidak berpaling dari yang dilihatnya itu dan tidak (pula) melampauinya.
018_00	Sesungguhnya dia telah melihat sebahagian tanda-tanda (kekuasaan) Tuhannya yang paling besar.
019_00	Maka apakah patut kamu (hai orang-orang musyrik) menganggap al Lata dan al Uzza,
020_00	dan Manah yang ketiga, yang paling terkemudian (sebagai anak perempuan Allah)?
021_00	Apakah (patut) untuk kamu (anak) laki-laki dan untuk Allah (anak) perempuan?
022_00	Yang demikian itu tentulah suatu pembagian yang tidak adil.
023_00	Itu tidak lain hanyalah nama-nama yang kamu dan bapak-bapak kamu mengadakannya; Allah tidak menurunkan suatu keteranganpun untuk (menyembah)nya.
023_01	Mereka tidak lain hanyalah mengikuti sangkaan-sangkaan, dan apa yang diingini oleh hawa nafsu mereka dan sesungguhnya telah datang petunjuk kepada mereka dari Tuhan mereka.
024_00	Atau apakah manusia akan mendapat segala yang dicita-citakannya?
025_00	(Tidak), maka hanya bagi Allah kehidupan akhirat dan kehidupan dunia.
026_00	Dan berapa banyaknya malaikat di langit, syafa'at mereka sedikitpun tidak berguna, kecuali sesudah Allah mengijinkan bagi orang yang dikehendaki dan diridhai (Nya).
027_00	Sesungguhnya orang-orang yang tiada beriman kepada kehidupan akhirat, mereka benar-benar menamakan malaikat itu dengan nama perempuan.
028_00	Dan mereka tidak mempunyai sesuatu pengetahuanpun tentang itu. Mereka tidak lain hanyalah mengikuti persangkaan sedang sesungguhnya persangkaan itu tiada berfaedah sedikitpun terhadap kebenaran.
029_00	Maka berpalinglah (hai Muhammad) dari orang yang berpaling dari peringatan Kami, dan tidak mengingini kecuali kehidupan duniawi.
030_00	Itulah sejauh-jauh pengetahuan mereka. Sesungguhnya Tuhanmu, Dialah yang paling mengetahui siapa yang tersesat dari jalan-Nya dan Dia pulalah yang paling mengetahui siapa yang mendapat petunjuk.
031_00	Dan hanya kepunyaan Allah-lah apa yang ada di langit dan apa yang ada di bumi supaya Dia memberi balasan kepada orang-orang yang berbuat jahat terhadap apa yang telah mereka kerjakan dan memberi balasan kepada orang-orang yang berbuat baik dengan pahala yang lebih baik (surga).
032_00	(Yaitu) orang-orang yang menjauhi dosa-dosa besar dan perbuatan keji yang selain dari kesalahan-kesalahan kecil.
032_01	Sesungguhnya Tuhanmu maha luas ampunan-Nya. Dan Dia lebih mengetahui (tentang keadaan)mu ketika Dia menjadikan kamu dari tanah dan ketika kamu masih janin dalam perut ibumu; maka janganlah kamu mengatakan dirimu suci. Dialah yang paling mengetahui tentang orang yang bertakwa.
033_00	Maka apakah kamu melihat orang yang berpaling (dari Al-Quran)?
034_00	serta memberi sedikit dan tidak mau memberi lagi?
035_00	Apakah dia mempunyai pengetahuan tentang yang ghaib, sehingga dia mengetahui (apa yang dikatakan)?
036_00	Ataukah belum diberitakan kepadanya apa yang ada dalam lembaran-lembaran Musa?
037_00	dan lembaran-lembaran Ibrahim yang selalu menyempurnakan janji?
038_00	(yaitu) bahwasanya seorang yang berdosa tidak akan memikul dosa orang lain,
039_00	dan bahwasanya seorang manusia tiada memperoleh selain apa yang telah diusahakannya,
040_00	dan bahwasanya usaha itu kelak akan diperlihatkan (kepadanya).
041_00	Kemudian akan diberi balasan kepadanya dengan balasan yang paling sempurna,
042_00	dan bahwasanya kepada Tuhanmulah kesudahan (segala sesuatu),
043_00	dan bahwasanya Dialah yang menjadikan orang tertawa dan menangis,
044_00	dan bahwasanya Dialah yang mematikan dan menghidupkan,
045_00	dan bahwasanya Dialah yang menciptakan berpasang-pasangan pria dan wanita.
046_00	dari air mani, apabila dipancarkan.
047_00	Dan bahwasanya Dialah yang menetapkan kejadian yang lain (kebangkitan sesudah mati),
048_00	dan bahwasanya Dia yang memberikan kekayaan dan memberikan kecukupan,
049_00	dan bahwasanya Dialah yang Tuhan (yang memiliki) bintang syi'ra,
050_00	dan bahwasanya Dia telah membinasakan kaum 'Aad yang pertama,
051_00	dan kaum Tsamud. Maka tidak seorangpun yang ditinggalkan-Nya (hidup).
