001_00	Қўлида мулк бўлган У зот улуғ, муқаддас бўлди. У барча нарсага қодирдир.
002_00	У ўлим ва ҳаётини сизларнинг қайсиларингиз амалда яхшироқ эканлигингизни синаш учун яратгандир. У азиз ва ўта мағфиратлидир. (Ўлимни эслаган одам унга тайёргарлик кўради ва ўлгандан сўнг шарманда бўлмаслик учун ўзини яхши ишларга сафарбар қилади.)
003_00	У етти осмонни табақама-табақа яратгандир. Роҳманнинг яратганида ҳеч тафовут кўрмассан. Қайта назар сол! Бирор камчилик кўряпсанми?
004_00	Сўнг такрор-такрор назар сол, назар сенга истаганини топа олмай, ҳорғин- чарчаган ҳолда қайтади.
005_00	Ва дарҳақиқат Биз яқин осмонни чироқлар билан зийнатлаб қўйдик ва у (чироқ)ларни шайтонларга отиладиган нарса ҳам қилиб қўйдик. Ва у(шайтон)ларга олови қизиб турган жаҳаннамни тайёрлаб қўйдик. (Араб фолбинлари бизнинг шайтонларимиз осмонга чиқиб, ғойибдаги нарсаларни билиб беради, деб мақтанар эдилар. Қуръони Карим буни рад этиб, бу дунёда шайтонларни юлдузлардан ажраб чиққан учқунлар қувиб ҳайдашини, у дунёда эса, уларга Аллоҳ жаҳаннам азобини тайёрлаб қўйганини таъкидламоқда.)
006_00	Ўз Роббиларига куфр келтирганлар учун жаҳаннам азоби бордур ва у қандай ҳам ёмон қайтадиган жой!
007_00	Улар жаҳаннамга ташланган чоғларида унинг ҳанграган овозини эшитурлар, у эса қайнаб турган бўладир.
008_00	У ғазабдан ёрилиб кетай дейдир. Ҳар қачон унга янги гуруҳ ташланганда унинг хизматкорлари: «Сизларга огоҳлантирувчи келмаганмиди?», деб сўрайдир.
009_00	Улар: «Ҳа, дарҳақиқат бизга огоҳлантирувчи келган эди. Лекин биз (уни) ёлғончига чиқардик ва: «Аллоҳ ҳеч нарса туширгани йўқ, сизлар катта адашувдан бошқа ҳеч нарса эмассизлар», деган эдик», дерлар.
010_00	Ва улар: «Агар эътибор қулоғи билан эшитганимизда ёки ақлни ишлатганимизда эди, дўзахийлар орасида бўлмаган бўлар эдик», дерлар.
011_00	Бас, улар ўз гуноҳларини эътироф этдилар. Йўқолсин дўзахийлар!
012_00	Албатта ўз Роббиларидан ғойибдан қўрқадиганлар учун гуноҳларини кечиш ва улкан ажр-савоблар бордир.
013_00	Ва сиз сўзингизни сир тутасизми ёки ошкора айтасизми, албатта, У кўнгиллардагини ҳам билгувчи зотдир.
014_00	Яратган зот Ўзи билмасмиди? Ва У дақиқларгача билувчи ва хабардор зотдир.
015_00	У сизларга ерни бўйсундириб қўйган зотдир. Бас, унинг турли жойларида юринг ва Унинг ризқидан енг ва қабрдан чиқиб бориш ҳам Унинг ҳузурига бўладир. (Уламоларимиз қадимдан ушбу ояти кариманинг тафсирини Исломда меҳнатга чорлаш, ризқни териб ейиш, ер юзинининг турли жойларида ҳаракат қилиш зарурлигига далил қилиб келтирадилар. Дарҳақиқаат, Аллоҳ таоло ерни инсонга бўйсундириб қўйган, лекин бу ҳақиқат ҳозирги асримиздагидек ҳеч қачон яққол кўзга ташланмаган.)
016_00	Осмондаги зот сизларни ерга юттириб юборишидан омонда бўлдингизми? У (ер) эса изтиробда ҳаракатланиб туради. («Осмондаги зот»дан мурод Аллоҳ таоло, лекин бу дегани Аллоҳ осмонда дегани эмас. Чунки Аллоҳ таоло маконга муҳтож эмасдир. У макон ва замондан устун зотдир. Аҳли сунна ва жамоа эътиқодига биноан, Аллоҳнинг ерда ёки осмонда дейилишидан мақсад, Унинг хоҳиши ва ҳукми еру осмонга баробар ўтиши ва Унинг султони ғолиб эканлигидир.)
017_00	Ёки осмондаги зот сизларга азоб шамолни юборишидан омонда бўлдингизми? Бас, албатта огоҳлантириш қандоқ бўлишини билурсизлар.
018_00	Ва дарҳақиқат улардан аввалгилари ҳам ёлғонга чиқарган эдилар. Бас инкорим қандай бўлди?!
019_00	Тепаларида (қаноатларини) ёйиб ва йиғаётган қушни кўрмайдиларми? Уларни Роҳмандан бошқа ушлаб турувчи йўқ. Албатта, У барча нарсани кўрувчидир.
020_00	Роҳмандан бошқа сизларга ёрдам берадиган аскар ким ўзи? Кофирлар ғурурдан бошқа ҳеч нарсада эмаслар!
021_00	У Ризқни тортиб қўйса, сизга ризқ берадиган ким ўзи?! Балки улар абадий туғёнда ва ҳақдан нафратда бўлурлар.
022_00	Юз тубан қоқилиб юраётган киши ҳидоятдами ёки тўғри йўлдан қоматини тик тутиб бораётган кишими? («Юз тубан, қоқилиб юраётган киши» кофир кишидир. Чунки, унинг аниқ йўли, мақсади ва кўрсатмаси йўқ. Йўли адаштирувчи, хавф-хатарларга тўладир.)
023_00	Сен: «У сизларни йўқдан бор қилган ва сизларга эшитиш, кўриш ва ақлни берган зотдир. Жуда ҳам оз шукр қиласизлар-а?!» деб айт.
024_00	Сен: «У сизларни ер юзида яратган, кўпайтирган зотдир. Ва Унинг ҳузурига тўпланурсизлар», деб айт.
025_00	Ва улар: «Агар ростгўй бўлсангиз, бу ваъда қачон бўлади?» дерлар.
026_00	Мен: «Албатта, илм, фақат Аллоҳнинг ҳузуридадир. Ва албатта, мен яққол огоҳлантирувчиман, холос», деб айт.
027_00	Бас азобни яқиндан кўрганда куфр келтирганларнинг юзлари қораяр. Ва уларга: «Сўраган нарсангиз шу бўлади», дейилур.
028_00	Сен: «Айтинглар-чи, агар Аллоҳ мени ва мен билан бўлганларни ҳалок қилса ёки раҳм қилса, кофирларни аламли азобдан ким қутқариб қолади?!» деб айт.
029_00	Сен: «У Роҳмандур, биз Унга иймон келтирдик ва Унга таваккал қилдик. Бас, сизлар тезда ким очиқ-ойдин хатода эканини билурсизлар», деб айт.
030_00	Сен: «Айтинглар-чи, агар сувларингиз ерга сингиб кетса, сизларга ким осонгина топиладиган сувни келтиради?» деб айт.
