001_00	Фажр билан қасам.
002_00	Ва ўн кеча билан қасам. (Уламоларимиз, ушбу оятдаги ўн кечадан мурод Рамазон ойининг охирги ўн кечаси, уларда Лайлатул қадр кечаси ҳам бор, деганлар.)
003_00	Жуфту тоқ билан қасам.
004_00	Ва юрилган тун билан қасам.
005_00	Мана шуларда ақл эгаси учун (қаноатлантирувчи) қасам бордир?!
006_00	Сен Роббинг Одга қандай (муомала) қилганинни билмадингми?
007_00	Баланд устунли «Ирам»га.
008_00	Унинг мисли бошқа диёрларда халқ қилинмаганга.
009_00	Ва водийда харсанг тошларни кесган Самудга. ( Роббинг нима қилганини билмадингми?)
010_00	Ва кўп аскарлари бор Фиръавнга. (Роббинг нима қилганини билмадингми?)
011_00	Улар турли ўлкаларда туғёнга кетган эдилар.
012_00	Улар у(ўлка)ларда бузғунчиликни кўпайтирдилар.
013_00	Бас, Роббинг уларнинг бошига турли азобларни қуйди.
014_00	Албатта, Роббинг кузатиб турувчидир. (У ким нима қилаётганини ўта аниқлик билан кузатиб туради. Кузатиб туриб туғёнга кетган, ҳаддидан ошган ва зулм қилганларнинг жазосини беради.)
015_00	Бас, қачон инсонни Роббиси синаш учун икром қилса ва неъмат берса: «Мени Роббим икром қилди», дейдир.
016_00	Бас, қачон Роббиси синаш учун ризқини тор қилиб қўйса: «Роббим мени хорлади», дейдир.
017_00	Йўқ! Балки Сизлар етимларни икром қилмассизлар.
018_00	Бир-бирингизни мискинларга таом беришга ундамассизлар.
019_00	Ва меросни шиддатла ейсизлар.
020_00	Ва молни кўп яхши кўрасизлар.
021_00	Йўқ! Вақтики, ер зилзилага тушиб парча-парча бўлиб кетса.
022_00	Ва Роббинг ва фаришталар саф-саф бўлиб келса.
023_00	Ва ўша кунда жаҳаннамни келтирилса, ўша кунда инсон эслайдир. Лекин бу эслашдан энди не фойда?!
024_00	У, афсуски, (охират) ҳаётимга ҳам бирор нарса тақдим қилсам бўлар экан, дейдир.
025_00	Бас, ўша кунда Аллоҳнинг азобига ўхшаш азобла ҳеч ким азобламас.
026_00	Ва Унинг боғлашига ўхшаш ҳеч ким боғламас.
027_00	Эй хотиржам нафс!
028_00	Роббингга сен Ундан, У сендан рози бўлган ҳолингда қайт!
029_00	Бас, бандаларим ичига киргин!
030_00	Ва жаннатимга киргин!
