001_00	Оламларга огоҳлантирувчи бўлсин учун бандасига Фурқонни нозил қилган Зот баракотли, улуғдир.
002_00	У осмонлару ернинг мулки Унга хос бўлган, Ўзига фарзанд тутмаган, мулкида шериги бўлмаган, ҳар бир нарсани ўлчов ила ўлчаб яратган Зотдир.
003_00	У Зотдан бошқа, ҳеч нарса ярата олмайдиган, ўзлари яратиладиган, ўзлари учун зарарга ҳам, нафга ҳам эга бўлмайдиган, ўлимга ҳам, ҳаётга ҳам, қайта тирилишга ҳам молик бўлмайдиган «худо»лар тутдилар.
004_00	Куфр келтирганлар: «Бу (Қуръон) уйдирмадан бошқа нарса эмас. Уни ўзи уйдириб олди ва бунда унга бошқа қавмлар кўмак бердилар», дедилар. Бас, шубҳасиз, зулм ва ёлғон гувоҳлик келтирдилар.
005_00	Улар: «Бу аввалгиларнинг афсонасидир. Уларни ёздириб олган. Ҳолбуки, улар унга эртаю кеч имло қилинур», дедилар. (Аввалги мушриклар ҳар қанча жоҳил бўлсалар ҳам, ҳозиргиларга қараганда бир оз инсофли бўлган экан. Улар ҳозирги мушрикларга ўхшаб, «ёзиб олган», демасдан, «ёздириб олган», демоқдалар. Чунки улар Муҳаммаднинг (с. а. в.) ўқиш ва ёзишни билмасликларини яхши биладилар. Шунинг учун афсоналарни бошқаларга ёздириб олган, дедилар. Яъни, ўша афсоналар Муҳаммадга (с. а. в.) эртаю кеч айтиб турилади, дейдилар.)
006_00	Сен: «Уни осмонлару ердаги сирни биладиган Зот нозил қилди. Албатта, У мағфиратли ва раҳмли Зотдир», дегин. (Қуръонни ҳамма нарсани билгувчи зот–Аллоҳ нозил қилгандир. Ҳамма нарсани билгувчи зот ўтган умматларнинг тарихини ҳам жуда яхши билади. Ўтганларнинг афсоналарини бировдан ёздириб олишга ҳожат йўқ. Балки бу афсоналар ёлғон, бидъат ва хурофотларга тўлиқдир. Қуръони Каримда эса, ўтган умматларнинг қиссалари энг рост ва тўғри равишда келтирилади. Кишиларни улардан ўрнак олишга чақирилади. Вақт ўтиб, илм ривожланиши билан бу ҳақиқат яна ҳам равшанлашиб бормоқда.)
007_00	Улар: «Бу не Пайғамбарки, таом еб, бозорда юрадир?! Унга бир фаришта туширилса эди, у билан огоҳлантиргувчи бўлар эди.
008_00	Ёки унга хазина ташланса ёхуд унинг боғи бўлсаю ундан еса», дедилар. Золимлар: «Сизлар фақат сеҳрланган кишига эргашяпсизлар, холос», дедилар.
009_00	Сенга қандай мисоллар келтирганига назар сол! Бас, улар йўлдан оздилар. Энди йўл топишга қодир эмаслар.
010_00	Агар хоҳласа, сенга ўшандан яхшироғини–остидан анҳорлар оқиб турадиган боғларни ва қасрларни қилиб берадиган Зот баракотли ва улуғ бўлди. (Аллоҳ хоҳласа, бу нарсаларни истаган лаҳзада Пайғамбарига ато этиши ҳеч гап эмас. Лекин мақсад боғу роғ ва қасрлар эмас. Мақсад ҳамма нарсанинг холиқи Аллоҳ таолонинг розилигига эришишдир.)
011_00	Йўқ! Улар соат(қиёмат)ни ҳам ёлғонга чиқардилар. Ва Биз соат(қиёмат)ни ёлғонга чиқарганларга дўзахни тайёрлаб қўйдик. (Кофирлар, қиёмат бўлмайди, дедилар. Қиёмат бўлади, деяётганларнинг гапи ёлғон, дедилар. Ҳолбуки, дўзах уларни кутиб турибди. Ушбу мушриклар тўппа-тўғри ўша тайёр дўзахга равона бўладилар.)
012_00	Вақтики у уларни узоқ жойдан кўрганида, унинг ғазабнок қайнашини ва бўкиришини эшитурлар. (Қиёмат соатини ёлғонга чиқарганларга Аллоҳ таоло томонидан тайёрлаб қўйилган дўзах шу даражада даҳшатлики, у кофирларни узоқдан кўриши билан ғазаби тўлиб-тошиб, қайнаб ўкира бошлайди.)
013_00	Унинг тор жойига кишанланган ҳолларида ташлаганларида эса, ўша жойда (ўзларига) ҳалокат тиларлар.
014_00	Бугунги кунда бир ҳалокатни эмас, кўп ҳалокатни тиланглар! (Бир марта ҳалок бўлиб қутулиб кета олмайсизлар. Ҳали кўп ҳалок бўласизлар. Ўзингизча, ҳалок бўлсак, бу азоблардан қутулармиз, деб ўйламанглар.)
015_00	Бу яхшими ёки тақводорларга тайёрлаб қўйилган мангулик жаннати яхшими? У (жаннат) улар учун мукофот ва қайтиш жойидир.
016_00	Уларга у ерда хоҳлаган нарсалари бор, абадий ҳолда қолурлар. Бу Роббинг зиммасидаги масъулиятли ваъдадир. (Жаннатда тақводор мўминларга истаган нарсалари бор. Жаннатда нималар борлигини санаб адоғига етиб бўлмайди. Шунинг учун осонгина, истаган нарсалари бор, деб қўйилди.)
017_00	У(мушрик)ларни ва Аллоҳдан ўзга ибодат қилган нарсаларини тўплаган кунда У зот: «Анави бандаларимни сизлар адаштирдингизми ёки улар ўзлари йўлдан оздиларми?!» дейдир. (Бу дунёда мушрик бўлиб, Аллоҳдан ўзга нарсаларга ибодат этиб, ўшаларнинг «айтгани»ни қилиб, ўшаларнинг «розилиги»ни тилаб ўтган манави бандаларнинг мушрик бўлишлари сабаби нима? Уларни ўша «худо»лари адаштирдими? Ёки ўзлари йўлдан оғдиларми?)
018_00	Улар: «Эй пок Парвардигор, Сендан ўзгани дўст тутмоқ биз учун ярашмас. Лекин сен уларни ва ота-боболарини (шунчалик) ҳузурлантирдингки, ҳатто улар зикрингни унутдилар ва ҳалокат қавми бўлиб қолдилар», дерлар.
019_00	Батаҳқиқ, улар сизларни айтаётган нарсангизда ёлғончига чиқардилар. Энди (азобни) буришга ҳам, ёрдам олишга ҳам қодир бўлмассиз. Сиздан ким зулм қилган бўлса, унга азобни тортдирамиз.
020_00	Биз сендан олдин юборган Пайғамбарларимиз ҳам, албатта, таом ер ва бозорларда юрар эдилар. Баъзиларингизни баъзиларингизга синов қилдик. Сабр қиласизлармикин?!
