001_00	Кет-кет юборилганлар билан қасам.
002_00	Қаттиқ эсувчи шамоллар билан қасам.
003_00	Ва (шариатни) таратувчилар билан қасам.
004_00	Фарқловчилар билан қасам.
005_00	Ваҳийни ташувчилар билан қасам.
006_00	Узрни ёки огоҳлантиришни (ҳам).
007_00	Албатта, сизга ваъда қилинаётган нарса воқеъ бўлувчидир.
008_00	Бас, вақтики юлдузлар ўчирилса.
009_00	Ва вақтики, осмон ёрилса.
010_00	Ва вақтики, тоғлар кўчирилса.
011_00	Ва вақтики, Пайғамбарларга вақт белгиланса.
012_00	Қандоқ кунга сурилган-а?
013_00	Ажратиш кунига.
014_00	Ажратиш кунини сенга нима билдирди?
015_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
016_00	Аввалгиларни ҳалок қилмадикми?
017_00	Сўнгра кейингиларини уларга эргаштирмадикми?
018_00	Гуноҳкорларни шундоқ қиламиз.
019_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
020_00	Сизларни ҳақир сувдан яратмдикми?
021_00	Бас, уни мустаҳкам қароргоҳга жойламадикми?
022_00	Маълум вақтга қадар.
023_00	Бас, Биз қодир бўлдик ва қандоқ ҳам яхши қодир бўлувчимиз. (Юқорида айтилган ишларга қодир бўлдик, ниҳоятда ажойиб, инсоният тафаккуридан устун бир ҳолатда, қодир бўлдик, деяпти Парвардигор.)
024_00	Ўшал кунда ёлғонга чиқавчиларга вайл бўлсин!
025_00	Ерни ўзига тортувчи қилмадикми?
026_00	Тирикларни ва ўликларни?
027_00	Ва Биз унда юкасак тоғлар қилдик ва сизларни зилол сув билан суғордик.
028_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
029_00	Юрингиз! Ўзингиз ёлғонга чиқарган нарсага қараб.
030_00	Юрингиз! Учта шўъбаси бор «соя»га қараб.
031_00	У салқин қилувчимас ва оловни ҳам қайтармас.
032_00	Албатта у (жаҳаннам) қасрдек учқунларни отадир.
033_00	У (учқун) худди қорамтир-сарғиш туяларга ўхшайдир.
034_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
035_00	Бу улар гапира олмайдиган кундир.
036_00	Ва уларга узр айтишга изн берилмайдир.
037_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
038_00	Бу ажратиш куни, сизларни ва аввалгиларни жамладик.
039_00	Бас, сизларнинг ҳийлангиз бўлса, менга ишлатиб кўринг-чи?
040_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
041_00	Албатта тақводорлар соялар ва булоқлардадир.
042_00	Ва ўзлари хоҳлаган мевалардадир.
043_00	Енглар ва ичинглар, ош бўлсин. Қилган амалларингиз сабабидандир.
044_00	Албатта, Биз муҳсинларни шундай мукофотлармиз.
045_00	Ўшал кунда ёлғонга чиқарувчиларга вайл бўлсин!
046_00	Енглар ва мазза қилинглар, озгинагина. Албатта, сизлар гуноҳкорсизлар.
047_00	Ўшал кунда ёлғонга чиқавурчиларга вайл бўлсин!
048_00	Ва агар уларга рукуъ қилинглар дейилса, рукуъ қилмаслар.
049_00	Ўшал кунда ёлғонга чиқарувчилварга вайл бўлсин!
050_00	Бас, ундан кейин, қайси сўзга ишонарлар?!
