001_00	Сод. Зикр соҳиби бўлмиш Қуръон ила қасам.
002_00	Аммо куфр келтирганлар кибру ҳаво ва мухолифликдадирлар.
003_00	Биз улардан илгари ҳам қанча асрларни ҳалок этганмиз. Улар (ёрдам сўраб) нидо қилдилар. Аммо қочиб қутулиш вақти эмас эди.
004_00	Уларнинг ичларига ўзларидан огоҳлантиргувчи келганидан ажабландилар ва кофирлар: «Бу (одам) сеҳргар ва каззобдир.
005_00	У худоларни битта худо қилдими?! Албатта, бу ажабланарли нарса!» дедилар.
006_00	Уларнинг аъёнлари: «Юринглар, худоларингиз тўғрисида сабр қилинглар. Албатта, бу қасддан қилинаётган нарсадир.
007_00	Биз бу ҳақда охирги миллатдан эшитганимиз йўқ. Бу тўқилгандан бошқа нарса эмас.
008_00	Бизнинг ичимиздан ўшанга зикр нозил қилинибдими?!» деб туриб кетдилар. Йўқ! Улар Менинг зикрим ҳақида шак-шубҳададирлар. Йўқ! Улар азобимни татиб кўрмадилар.
009_00	Ёки уларнинг ҳузурида азизу ўта саҳоватли Роббингнинг раҳмат хазинаси борми?
010_00	Ёки осмонлару ернинг ва улар орасидаги нарсаларнинг мулки уларникими? Бас, унда сабаблари ила (осмонга) кўтарилсинлар!
011_00	Анави ердаги енгилган фирқалардан бўлган қандайдир лашкар. (Мушриклар, жуда борганда, енгилган фирқалардан тўпланган қандайдир ҳақир бир лашкар бўла олади, холос. Уларнинг бундан баландроқ қиймати йўқ.)
012_00	Улардан олдин ҳам Нуҳ қавми, Од, қозиқлар эгаси Фиръавн ҳам ёлғончи қилган.
013_00	Ва Самуд, Лут қавми ва дарахтзор эгалари ҳам. Фирқалар ўшалардир.
014_00	Барчалари, албатта, Пайғамбарларни ёлғончи қилдилар. Бас, Менинг иқобим ҳақ бўлди.
015_00	Ана ўшалар бир лаҳзага кечикмай келадиган биргина қичқириқдан бошқа нарсага интизор бўлаётганлари йўқ
016_00	Улар: «Эй Роббимиз, бизга ҳисоб кунидан илгари насибамизни тезроқ бер!» дедилар.
