001_00	Тоҳо.
002_00	Сенга Қуръонни бадбахт бўлишинг учун нозил қилганимиз йўқ.
003_00	Магар қўрққан кимсаларга эслатма бўлиши учун.
004_00	У ерни ва юксак осмонларни яратган зотдан нозил бўлгандир.
005_00	У–Роҳман Аршни эгаллади. (Роҳман сифатининг соҳиби Аллоҳ Аршни эгаллади. Аршни эгаллашининг эса, ўхшаши йўқ, мисли йўқ, шакли ҳам йўқ. Унинг эгаллаши ўзига хос.)
006_00	Осмонлардаги нарсалару ердаги нарсалар, уларнинг орасидаги нарсалару ер остидаги нарсалар Уникидир.
007_00	Сен агар сўзда овозингни юксалтирсанг ҳам. Бас, албатта, у сирни ҳам, махфийни ҳам билгувчидир.
008_00	Аллоҳ–ундан бошқа ибодатга сазовор илоҳ йўқ зотдир. Гўзал исмлар Уникидир.
009_00	Сенга Мусонинг хабари келдими?
010_00	У оловни кўрган чоғида ўз аҳлига: »Туриб туринглар, мен оловни кўрдим, шояд сизга ундан чўғ келтирсам ёки олов бошида йўл кўрсатувчини топсам«, деди. (Ояти каримада Мусо алайҳиссалом Мадяндан Мисрга келаётганларида рўй берган ҳодиса баён этилмоқда.)
011_00	Бас, у(олов)га келганида, нидо қилинди: «Эй Мусо.
012_00	Албатта, Мен Ўзим сенинг Роббингдирман. Кавушларингни еч. Чунки сен муқаддас Туво водийсидасан».
013_00	Мен сени ихтиёр қилиб олдим. Ваҳий қилинадиган нарсага қулоқ ос.
014_00	Албатта, Мен, Ўзим, Аллоҳдирман. Мендан ўзга илоҳ йўқ. Бас, Менга ибодат қил ва мени зикр этиш учун намозни тўкис адо эт.
015_00	Албатта, (қиёмат) соати келгувчидир. Ҳар бир жон саъйи-ҳаракатига яраша жазо олиши учун уни махфий тутурман.
016_00	Ҳаргиз сени унга иймон келтирмайдиганлар ва ҳавойи нафсига эргашганлар ундан тўсмасинлар. У ҳолда ҳалок бўласан».
017_00	«Эй Мусо, қўлингдаги нима?»
018_00	У: «Бу асоимдир, унга суянаман, у билан қўйларимга (барг) қоқиб бераман ва унда менинг бошқа ишларим бор», деди.
019_00	У зот: «Эй Мусо, уни ташла», деди.
020_00	Бас, уни ташлади. Бирдан у(асо) илон бўлиб юра бошлади.
021_00	У зот: «Уни ол, қўрқма. Биз уни аввалги ҳолига келтирамиз.
022_00	Қўлингни қўлтиғингга тиқ, ёмонликсиз оппоқ бўлиб чиқади. Бу бошқа бир мўъжизадир. (Қўл оппоқ бўлди, аммо бу оқликда ёмонлик йўқдир. Яхшилик бор. Жуда чиройли бўлиб кўринади. Бундай бўлиши сенинг Пайғамбар эканлигингни тасдиқловчи асодан кейинги яна бир мўъжизадир.)
023_00	Биз сенга буюк мўъжизаларимизни кўрсатиш учун(шундай қилдик).
024_00	Сен Фиръавнга бор, албатта у туғёнга кетди», деди.
025_00	У: «Эй Роббим, менинг қалбимни кенг қил.
026_00	Менинг ишимни осон қил.
027_00	Тилимдаги тугунни ечгин.
028_00	Сўзимни англасинлар.
029_00	Менга ўз аҳлимдан бир вазир қилиб бер.
030_00	Оғам Ҳорунни.
031_00	У билан белимни қувватла.
032_00	Уни ишимга шерик айла.
033_00	Сенга кўп тасбиҳ айтишимиз учун.
034_00	Ва Сени кўп зикр қилишимиз учун.
035_00	Албатта, Сен Ўзинг бизни кўриб турувчи эдинг», деди.
036_00	У зот: «Эй Мусо, сенга сўраганинг берилди», деди. (Бир оғиз гап билан ҳал қилиб қўйди. Нимани сўраган бўлсалар, берди.)
037_00	«Батаҳқиқ, Биз сенга бошқа марта ҳам неъмат берган эдик. (Яъни, ҳозир берган неъматларимиздан бошқа ҳам неъмат берган эдик.)
038_00	Ўшанда онангга илҳом қилинадиган нарсани илҳом қилган эдик.
039_00	«Уни тобутга сол, уни эса, дарёга ташла. Дарё уни соҳилга отсин. Уни Менинг душманим ва унинг душмани оладир», дедик. Ва сенга Ўзимдан муҳаббат солдим.
039_01	Буни Менинг кўз олдимда етиштирилишинг учун (қилдим). (Мусонинг онаси Аллоҳ берган илҳом билан уни сандиққа солиб, сувга оқизиб юборади. Мусонинг Ўз кўзи остида вояга етиши учун душман Фиръавннинг уйига уни жойлаштирган, қалбига унинг муҳаббатини солган Зот онанинг фарзанд фироқида қийналишига ҳам барҳам берди. Мурғак Мусо аёлларнинг биттасини ҳам эммай қўйди. Мусонинг опасини Фиръавн саройига юбориб, шу болани эмизадиган аёл бор, деб айтишни буюради.)
040_00	Ўшанда опанг юриб бориб: «У (Мусо)ни кафилликка оладиганларга далолат қилайми? « деган эди. Бас, Биз сени кўзи қувониши ва хафа бўлмаслиги учун онангга қайтардик.
040_01	Ва бир жонни ўлдирдинг. Бас, Биз сени ғамдан қутқардик ва турли синовлар ила синадик. Сўнгра Мадян аҳли ила йилларга қолдинг ва тақдирга биноан келдинг, эй Мусо!
041_00	Мен сени Ўзим учун танладим. (Яъни, Пайғамбар қилиб олдим. Кейин эса, Пайғамбарлик вазифасига оид топшириқлар берилди:)
042_00	Сен ва оғанг мўъжизаларимни олиб боринглар ва Мени зикр этишда сусткашлик қилманглар.
043_00	Фиръавнга боринглар! Чунки, у туғёнга кетди.
044_00	Бас, унга юмшоқ сўз айтинглар. Шояд эсласа ёки қўрқса». (Юмшоқ сўз тасир қилиши мумкин. Юмшоқ сўз кофирни ва туғёнга кетган шахсни ҳам мулойим қилиб қўйиши мумкин. Шояд Фиръавн ҳам ўзига келиб, инсоф қилса.)
045_00	Икковлари: «Эй Роббимиз, биз унинг тезда бизга ёмонлик қилишидан ёки ҳаддан ошишидан қўрқамиз», дедилар.
046_00	У зот: «Қўрқманглар! Албатта, Мен сизлар биланман, эшитаман ва кўраман», деди.
047_00	Бас, унинг олдига боринглар ва унга: «Албатта, биз Роббингнинг Пайғамбарларимиз, Бани Исроилни биз билан қўйиб юбор. Уларни азоблама.
047_01	Батаҳқиқ, биз сенга Роббингдан мўъжиза келтирдик. Ҳидоятга эргашган кимсага салом бўлур.
048_00	Албатта, бизга ваҳий қилиндики, ёлғонга чиқарганларга ва юз ўгириб кетганларга шубҳасиз азоб бўлур», денглар.
049_00	У: «Эй Мусо, икковингизнинг Роббингиз ким?» деди.
050_00	У: «Бизнинг Роббимиз ҳар нарсага ўз яратилишини берган ҳамда уни ҳидоятга солган зотдир», деди.
051_00	У: «Ўтган асрларнинг ҳоли недир?» деди.
