001_00	То. Сийн. Ушбулар Қуръон-очиқ китоб оятларидир.
002_00	Мўминлар учун ҳидоят ва хушхабардир.
003_00	Улар намозни тўкис адо этадиган, закотни берадиган ва охиратга қаттиқ ишонадиганлардир.
004_00	Албатта, охиратга иймон келтирмайдиганларга Биз амалларини зийнатлаб кўрсатдик. Бас, улар адашиб-улоқиб юраверарлар.
005_00	Ана ўшаларга ёмон азоб бордир ва улар охиратда энг кўп зиён кўргувчилардир. (Бу дунёда охиратдан умиди йўқлиги учун молу дунё, айшу ишрат, шаҳвату лаззат кетидан тушиб, ўзини ўтга-чўққа уриб, расво бўлади. Охиратда эса, қанақа азобларга дучор бўлишини Аллоҳнинг Ўзи билади.)
006_00	Албатта, сенга бу Қуръон ўта ҳикматли ва ўта илмли зот томонидан берилур.
007_00	Мусо ўз аҳлига: «Аниқки, мен бир олов кўрдим. Тезда мен сизларга ундан бирор хабар ёки исинишингиз учун бир тутам чўғ келтираман», деганини эсла.
008_00	У (олов)га келганида: «Олов олдидаги ва атрофидаги шахсларга барака берилди ва Оламларнинг Робби–Аллоҳ покдир», деб нидо қилинди.
009_00	«Эй Мусо! Албатта, бу Менман! Азизу ҳаким Аллоҳман!
010_00	Ва асоингни ташла!» Бас, қачонки Мусо у(асо)нинг илондек қимирлаётганини кўрганида, ортига қарамай қочди. «Эй Мусо! Қўрқма! Зеро, Менинг ҳузуримда Пайғамбарлар қўрқмаслар!
011_00	Лекин ким зулм қилсаю сўнгра ёмонлик кетидан унга яхшиликни бадал қилса, бас, Мен, албатта, мағфиратли ва меҳрибондирман.
012_00	Қўлингни ёқангнинг ичига суқ, ҳеч қандай ёмонликсиз оппоқ бўлиб чиқур. Фиръавн ва унинг қавмига қаратилган тўққиз мўъжиза орасида (бу бордир). Албатта, улар бузғунчи қавм бўлдилар».
013_00	Бас, қачонки уларга оят-мўъжизаларимиз кўз очгувчи бўлиб келганида, «Бу очиқ-ойдин сеҳрдир», дедилар.
014_00	Ва ўзлари аниқ билиб туриб, зулм ва кибр туфайли у(мўъжиза)ларни инкор этдилар. Бузғунчиларнинг оқибати қандай бўлишига назар сол. (Улар бу мўъжизаларнинг нималигини жуда яхши билганлар. Аммо билиб туриб, зулм юзасидан, иймонни менсимасдан, кибр қилган ҳолларида инкор этдилар. Бу инкорнинг оқибати нима билан тугаши маълум ва машҳурдир.)
015_00	Батаҳқиқ, Биз Довуд ва Сулаймонга илм бердик. Икковлари: «Бизни кўпгина мўмин бандаларидан афзал қилган Аллоҳга ҳамдлар бўлсин», дедилар.
016_00	Ва Сулаймон Довудга ворис бўлди. У: «Эй одамлар, бизга қуш тили ўргатилди ва ҳар бир нарсадан берилди. Бу, албатта, очиқ-ойдин фазлдир», деди. (Ушбу оятдаги ворислик, илмга ворисликдир. Ота вафот этгандаги болаларнинг ворислиги эмас. Чунки Довуд алайҳиссаломнинг Сулаймон алайҳиссаломдан бошқа фарзандлари ҳам кўп эди. Улар молу дунё масаласидаги меросда тенг ҳуқуқли эдилар. Аммо илм маъносидаги меросга фақат Сулаймон алайҳиссалом ворис бўлдилар. Шунинг учун ҳам «Ва Сулаймон Довудга ворис бўлди» жумласидан кейин Сулаймоннинг алайҳиссалом «Эй одамлар, бизга қуш тили ўргатилди», деган сўзлари келмоқда. Сулаймон алайҳиссалом ўзларига Аллоҳ томонидан қушларнинг тилини англаш илми берилганлигини барча одамларга эълон қилмоқдалар. Бу эълон фахр ва риёкорлик учун эмас, балки Аллоҳнинг неъматини эслаш маъносидадир.)
017_00	Сулаймонга жин, инс ва қушлардан бўлган аскарлари тўпланиб, тизилган ҳолда турдилар.
018_00	Токи улар чумолилар водийсига келганларида, бир чумоли: «Эй чумолилар, масканларингга киринглар, Сулаймон ва унинг аскарлари сизларни билмасдан эзиб юбормасинлар», деди. (Чумолилар ҳам асалариларга ўхшаб, ажойиб интизомга эга. Ҳали-ҳануз уларнинг жамоат бўлиб яшашлари сири англанган эмас. Бу оятда улар бир-бирларини хавф-хатардан огоҳ этишлари айтилмоқда.)
019_00	Бас, у унинг сўзидан табассум қилди ва: «Роббим, мени Ўзинг менга ва ота-онамга берган неъматларингга шукр этишимга ва сен рози бўладиган солиҳ амаллар қилишимга муяссар этгин.
019_01	Ўз раҳматинг ила мени солиҳ бандаларингга қўшгин», деди. (Сулаймон алайҳиссалом чумолининг сўзларини эшитиб жилмайдилар.)
020_00	Ва қушларни текширди-да: «Нега Ҳудҳудни кўрмаётирман ёки ғойиблардан бўлдими?
021_00	Албатта, уни шиддатли азобла азобларман ёки сўйиб юборурман ёхуд менга, албатта, очиқ-ойдин ҳужжат келтиражак», деди.
022_00	Кўп ўтмасдан у келиб: «Сен билмаган нарсани билдим ва сенга Сабаъдан ишончли бир хабар олиб келдим. (Сабаъ Арабистон ярим оролининг жанубида, Яманда жойлашган бир мамлакат эди. Ана ўша мамлакатдан ўта муҳим бир хабар келтирганини айтди.)
023_00	Дарҳақиқат, мен бир аёлни кўрдим. У уларнинг маликаси экан. Унга ҳар нарса берилган экан. Ҳамда унинг улуғ тахти бор экан. (Ўша Сабаъ юртида бир аёлни кўрдим. У аёл халққа подшоҳ экан. Аёлга ҳар нарса берилган экан. Ҳамда ўша маликанинг катта тахти бор экан.)
024_00	Мен у(аёл)нинг ва қавмининг Аллоҳни қўйиб, қуёшга сажда қилаётганларини ва шайтон уларга амалларини зийнатлаб, йўлдан тўсаётганини кўрдим. Бас, улар ҳидоят топмаслар. (Гап шу ерга келганда, энг муҳим хабар чиқди. Ўша Сабаъ мамлакатига подшоҳ бўлган аёл ва унинг қавми Аллоҳга эмас, қуёшга сажда қилаётган экан. Бу нотўғри йўл. Аллоҳнинг Пайғамбари Сулаймон алайҳиссалом уларнинг бу хатоларини тузатишлари зарур. Шайтон лаънати улар қилаётган гуноҳ амалларни ўзларига чиройли кўрсатиб қўйибди. Агар шу ҳолларида юраверсалар, ҳидоят топмайдилар.)
