001_00	То. Сийн. Мийм.
002_00	Ушбулар очиқ-ойдин китоб оятларидир.
003_00	Иймон келтирадиган қавм учун сенга Мусо ва Фиръавннинг хабаридан ҳақ ила тиловат қилиб берамиз.
004_00	Албатта, Фиръавн ер юзида баланд кетди. У (ўша ер)нинг аҳолисини бўлиб ташлади. Улардан бир тоифасини эзар, ўғилларини сўйиб, қизларини тирик қолдирарди.
004_01	Албатта, у бузғунчилардан бўлган эди. (Ушбу ояти каримадаги: «Албатта, Фиръавн ер юзида баланд кетди», дегани Фиръавн бутун ер юзига ҳоким бўлган экан, деган маънони эмас, балки Миср ерида «баланд кетди»–такаббурлик қилди, туғёнга кетди, ҳаддан ошди, каби маъноларни беради. Ўзи ҳоким бўлган ер аҳолисини бўлиб ташлаш ҳар бир фиръавннинг одати.)
005_00	Биз эса, ер юзида эзилганларга беминнат неъмат беришни, уларни пешво қилишни ва уларни ворислар қилишни.
006_00	Ва ер юзида уларга имконлар беришни, Фиръавн, Ҳомон ва икковининг аскарларига улар(Бани Исроил)дан қўрққан нарсаларини кўрсатишни истаймиз.
007_00	Ва Мусонинг онасига: «Уни эмизавер. Бас, (унга ёмонлик етишидан) қўрққан чоғингда уни дарёга ташла, қўрқма, хафа бўлма, Биз, албатта, уни сенга қайтаргувчимиз ва Пайғамбарлардан қилгувчимиз», деб ваҳий қилдик. (Араб тилшунос олимлари бу ояти каримани Қуръони Каримнинг юксак даражадаги балоғат ва фасоҳатига мисол сифатида келтирадилар. Аллоҳ таоло биргина оятда иккита буйруқ –» эмизавер»
007_01	ва «дарёга ташла», иккита қайтариш–«қўрқма», «хафа бўлма», иккита башорат–«уни сенга қайтарамиз» ва «Пайғамбарлардан қилгувчимиз» жуфтликларини ишлатгандир. Оналари кўнгилларига Аллоҳ таоло илҳом этган буйруқни бажардилар. Гўдакни сандиққа солиб, дарёга оқизиб юбордилар.)
008_00	Бас, Фиръавн оиласи уни ўзларига душман ва ғам-ғусса бўлиши учун тутиб олдилар. Албатта, Фиръавн, Ҳомон ва икковларининг аскарлари хатокорлардан бўлган эдилар.
009_00	Фиръавннинг хотини: «(Бу бола) мен учун ҳам, сен учун ҳам кўз қувончидир. Уни ўлдирманглар. Шоядки, у бизга фойда берса ёки уни бола қилиб олсак», деди. Ҳолбуки, улар сезмасдилар.
010_00	Мусонинг онасининг қалби бўшаб қолди. Мўминлардан бўлиши учун қалбини мустаҳкам боғламаганимизда, уни билдириб қўйишига сал қолди.
011_00	У(она) у(Мусо)нинг опасига: «Изидан бор», деди. Бас, уни бир четдан кўрди. Ҳолбуки, улар сезмасдилар.
012_00	Ва бундан олдин унга эмизгувчиларни ҳаром қилган эдик. Бас, (опаси): «Мен сизларга уни сиз учун кафилликка оладиган ва унга насиҳатгўй бўлгувчи аҳли байтни айтиб берайми?» деди.
