001_00	Эй одамлар! Роббингиздан қўрқинг! Албатта, (қиёмат) соати зилзиласи улкан нарсадир.
002_00	Уни кўрадиган кунингизда, ҳар бир эмизувчи ўзи эмизаётган нарсасини унутар. Ҳар бир ҳомиладор ҳомиласини ташлар.
002_01	Одамларни маст ҳолда кўрарсан. Ҳолбуки, улар маст эмас. Лекин Аллоҳнинг азоби шиддатлидир.
003_00	Одамлардан Аллоҳ ҳақида билмасдан тортишганлари ва бебош шайтонга эргашганлари ҳам бор. (Аллоҳ таоло ҳақида, «билмасдан» тортишиш жоҳилликдир. Бундай тортишувга журъат қилган шайтонга эргашган бўлади.)
004_00	Унга битилганки, албатта, унга ким дўст бўлса, шубҳасиз, уни адаштиради ва дўзах азобига «ҳидоят» қилади.
005_00	Эй одамлар! Агар қайта тирилиш ҳақида шубҳа қиладиган бўлсангиз, бас, Биз сизга баён қилишимиз учун сизларни тупроқдан, сўнгра нутфадан, сўнгра алақадан, сўнгра битган-битмаган бир чайнам гўштдан яратдик. Ва бачадонларда хоҳлаган нарсамизни маълум муддатгача қарор топдирамиз. Кейин сизларни бувак ҳолингизда чиқарамиз. Сўнгра вояга етишингиз учун (тарбия қиламиз).
005_01	Сиздан вафот қилиб кетадиганлар ҳам, билганидан кейин ҳеч нарсани билмай қоладиган даражада тубан умрга етадиганлар ҳам бор. Ва ерни қақраган ҳолда кўрасан. Қачонки, Биз унга сув туширсак, у сесканар ва кўпчир. Ҳамда ҳар хил гўзал жуфтларни ўстирадир. (Сизнинг отангиз Одамни тупроқдан яратганмиз.
005_02	Инсон йўқ эди. У отасининг нутфа-спермасидан дунёга келди. Оддий кўзга кўринмас ушбу маний ҳайвончалар билан баркамол инсон орасида қанча фарқ бор?! Ана шу заррадан одам яратган Холиқ Аллоҳ ўлган одамни қайта тирилтира олмасми?! Қуръони Каримда «алақа»
005_03	деб номланган босқичдаги ҳомила зулукдек бачадонга ёпишиб туриши маълум бўлди. Алақанинг суврати ҳақиқий зулук билан солиштирилса, уларни фарқлаб бўлмайди. Хўш, ўша зулукка ўхшаш қотган лахта қон билан инсон орасида қанча фарқ бор? Ҳомила ривожланиб, алақа-лахта қон шаклидан бир парча чайналган гўшт ҳолига ўтади. Ана ўшанда унга шакл киради.
005_04	Шакл кирса, битган бўлади. Шакл кирмаса, битмаган бўлади, бачадондан тушиб кетади. Ҳеч ким уни эсламайди ҳам. Энди, ўша бир парча чайналган гўштга ўхшаш нарса билан инсон орасида қанча фарқ борлигини бир ўйлаб кўрайлик? Ўша гўштдан инсон яратган Аллоҳ ўлган одамни қайта тирилтира олмасми?!)
006_00	Булар кўрсатурки, албатта, Аллоҳ ҳақ зотдир ва, албатта, У ўликларни тирилтирур ҳамда У ҳар бир нарсага қодирдир.
007_00	Ва, албатта, (қиёмат) соати келгувчидир, бунга шубҳа йўқ. Ва, албатта, Аллоҳ қабрлардаги кимсаларни тирилтирур.
008_00	Одамлардан Аллоҳ ҳақида билмасдан, ҳидоятга ёки нурли китобга эга бўлмасдан туриб тортишадиганлари бор.
009_00	Аллоҳнинг йўлидан адаштириш учун, бўйнини булқаб (тортишади). Унга дунёда расволик бор. Қиёмат куни унга куйдириш азобини тотдирамиз.
010_00	Бундай бўлиши ўз қўлларинг тақдим қилган нарсалардандир. Албатта, Аллоҳ бандаларга зулм қилгувчи эмасдир.
011_00	Одамлардан Аллоҳга бир томонлама ибодат қиладиганлари ҳам бор. Агар унга яхшилик етса, кўнгли тўлур. Агар унга бало етса, юз ўгириб кетур. У дунёда ҳам, охиратда ҳам зиён кўрур. Ана ўша очиқ-ойдин зиёндир.
011_01	(Ислом тижорат эмаски, унга ўткинчи фойдани кўзлаб кирилса. Ислом–иймон, эътиқод, Аллоҳга бандалик қилиш, Унинг йўлида жонни ҳам, молни ҳам фидо этиш, ҳар хил бало-офатларга бардош бериш демакдир. Ана ўша синовлардан ўтганлар икки дунё бахтига сазовор бўладилар. Аммо Исломга муайян фойдани кўзлаб кирган, ўша фойдага эришса, хурсанд бўлиб, эришмаса, динни тарк этиб, юз ўгириб кетадиган мунофиқлар икки дунёда зиён кўришлари муқаррар. Аслини олганда мунофиқ, Исломдан, Аллоҳдан юз ўгириб, қаёққа ҳам борарди, кимга ҳам топинарди?)
012_00	У Аллоҳни қўйиб, ўзига зарар ҳам бермайдиган, манфаат ҳам бермайдиган нарсага илтижо қилур. Шунинг ўзи қаттиқ адашишдир.
013_00	У манфаатидан кўра зарари яқинроқ бўлганга илтижо қиладир. У қандай ҳам ёмон хожа ва қандай ҳам ёмон дўстдир!
014_00	Албатта, иймон келтириб, яхши амалларни қилганларни Аллоҳ остиларидан анҳорлар оқиб турган жаннатларга киритадир. Албатта, Аллоҳ ирода этган нарсани қиладир.
015_00	Кимки унга бу дунёю охиратда Аллоҳ нусрат беришига шубҳа қилса, бир восита топиб, осмонга осилсин, сўнгра уни кессин. Бас, назар солсин-чи, унинг бу ҳийласи ғам-ғуссани кеткизармикан?! (Аллоҳга иймони йўқ кишининг ҳоли шундай бўлади. Унинг бало-офатдан, ғам-ғуссадан қутулишга чораси йўқ. Аллоҳга иймони бўлмагани учун ундан нусрат келишига ҳам умид қилмайди. Шунинг учун ё осмонга чиқиб, ёрдам топсин, ё, ундай қила олмаса, ўзини оссин. Бошқа иложи йўқ.)
016_00	Мана шундай қилиб, Биз у(Қуръон)ни очиқ-ойдин оятлар ҳолида нозил қилдик. Албатта, Аллоҳ хоҳлаган кишиларни ҳидоят қиладир.
017_00	Албатта, Аллоҳ қиёмат куни иймон келтирганлар, яҳудий бўлганлар, собиийлар, насоролар, мажусийлар ва ширк келтирганлар орасида Ўзи ажрим қилур.
017_01	Албатта, Аллоҳ ҳар бир нарсага шоҳиддир.
018_00	Осмонлардаги кимсалар, ердаги кимсалар, қуёш, ой, юлдузлар, тоғлар, дарахтлар, жониворлар ва одамлардан кўплари, албатта, Аллоҳга сажда қилишини кўрмайсанми? Кўпларига эса, азоб ҳақ бўлди. Кимни Аллоҳ хор қилса, уни икром қилгувчи бўлмас. Албатта, Аллоҳ хоҳлаган нарсасини қилади. (Демак, дунёдаги барча мавжудот Аллоҳ таолога сажда қилади. Уларнинг қандай сажда қилишини Аллоҳнинг Ўзи билади. «Осмонлардаги кимсалар, ердаги кимсалар Аллоҳга сажда қилади», деб қўйилса, кифоя эди, бутун борлиқнинг сажда қилиши тушунаверилар эди.
018_01	Лекин баъзи махлуқлар алоҳида қайд этилди, чунки баъзи одамлар ўша махлуқларга–қуёш, ой ва юлдузларга сажда қиладилар. Оятда ўша нарсаларнинг Аллоҳга сажда қилишини таъкидлашдан мақсад улар худо бўла олмаслигини яна бир бор таъкидлашдир. Бутун борлиқ ҳеч бир истисносиз Аллоҳга сажда қилаётгани айтилган бўлса ҳам, одамларга келганда, «кўплари» сажда қилмасликларига ишора этилмоқда. Ҳа, фақат одам боласигина Аллоҳга исён қилади. Аллоҳга сажда қилмагани учун, кофир бўлгани учун уларга азоб ҳақ бўлди. Аллоҳнинг азобига дучор бўлганлар икки дунёда хордир.)
019_00	Мана бу икки ғаним Роббилари ҳақида талашган эдилар. Бас, куфр келтирганларга оловдан кийим бичилди. Бошлари устидан ўта қайноқ сув қуйиладир.
020_00	У билан қоринларидаги нарсалар ва терилари эритилади.
021_00	Улар учун темир гурзилар бор.
022_00	Улар ҳар қачон ундаги ғамдан чиқмоқчи бўлсалар, унга қайтариладилар ва «Ёниш азобини тотинг!» дейиладир.
023_00	Албатта, Аллоҳ иймон келтириб, яхши амалларни қилганларни остидан анҳорлар оқиб турган жаннатларга киритур. Улар у ерда олтин билакузуклар ва инжулар ила безанурлар. У ердаги либослари эса, ипакдандир. (Бир-бирига қарама-қарши икки нарсани бир жойда, бир хил савияда васф қилишлик Қуръони Каримга хос хусусиятлардан биридир.
023_01	Жаҳаннамда оловнинг азобига қўшимча қилиб, ўта қайноқ сув қуйилса, жаннатда соя-салқин боғлар остидан муздек зилол, ҳузурбахш сувлар оқиб турибди. Жаҳаннамда азоб устига азоб келса, жаннатда ҳузур устига ҳузур. Дўзахиларга оловдан кийим кийдирилса, жаннатиларга ипакдан кўйлак кийдирилади. Дўзахилар бошига темир гурзи билан урилса, жаннатиларга олтин ва инжулардан безак тақилган.)
024_00	Улар ширин сўзга ҳидоят қилинурлар ва мақталган Зотнинг йўлига ҳидоят қилинурлар. (Жаҳаннам аҳлига «Ёниш азобини тотинг!» деб гурзи билан урилса, жаннат аҳлига ширин сўзлар айтилиб, Аллоҳ таолонинг йўлига ҳидоят қилиб қўйилади.)
025_00	Куфр келтирганлар ва Аллоҳнинг йўлидан ҳамда ерли ва четдан келган одамлар учун баробар қилиб қўйганимиз Масжидул
025_01	Ҳаромдан тўсганларга ва у ерда ким зулм ила янглиш йўлга бурилишни ирода қилса, унга аламли азобни тоттирамиз.
026_00	Биз Иброҳимга Байтнинг жойини белгилаб бериб: «Менга ҳеч нарсани шерик қилма, Байтимни тавоф қилгувчилар, (ибодатда) қоим тургувчилар ҳамда рукуъ, сужуд қилгувчилар учун поклагин.
