001_00	Há, Mim
002_00	A revelação do Livro é de Deus, o Poderoso, o Sapientíssimo.
003_00	Remissório do pecado, Condescendente, Severíssimo no castigo, tem longo alcance. Não há mais divindade além d'Ele! AEle será o retorno.
004_00	Ninguém refuta os versículos de Deus, senão os incrédulos. Que o seu pavoneamento, na terra, não te alucine!
005_00	Já antes deles, o povo de Noé desmentira os seus mensageiros e, depois deste, os partidos; e cada povo atentou contra oseu mensageiro, para eliminá-lo; e disputavam com banalidades, para refutar, assim, a verdade; por isso os aniquilei.
005_01	E queterrível foi a Minha punição!
006_00	E assim o decreto do castigo de teu Senhor recaiu sobre os incrédulos; estes são os condenados ao inferno.
007_00	Os (anjos) que carregam o Trono de Deus, e aqueles que o circundam, celebram os louvores do seu Senhor; crêem n'Ele eimploram-Lhe o perdão para os fiéis,
007_01	(dizendo): Ó Senhor nosso, Tu, Que envolves tudo com a tua misericórdia e a Tuaciência, perdoa os arrependidos que seguem Tua senda, e preserva-os do suplício da fogueira!
008_00	Ó Senhor nosso, introduze-os nos Jardins do Éden que lhes prometeste, assim como os virtuosos dentre os seus pais, assuas esposas e a sua prole, porque és o Poderoso, o Prudentíssimo!
009_00	E preserva-os das maldades, porque àquele que preservares das maldades, nesse dia terás mostrado, certamente, misericórdia; isso será o magnífico benefício.
010_00	Em verdade, aos incrédulos será conclamado: Sabei que a aversão de Deus (em relação a vós) é maior que a vossaaversão em relação a vós mesmos, porque, quando fostes convocados à fé, vós a negastes.
011_00	Dirão: Ó Senhor nosso, fizeste-nos morrer duas vezes e duas vezes nos deste a vida. Reconhecemos, pois, os nossospecados! Haverá algum meio de nos livramos disso?
012_00	Tal vos acontecerá, porque ao ser invocado Deus, o Único, simplesmente O negáveis; em troca, quando Lhe eraassociado algo, acreditáveis. Assim, pois, sabei que o juízo é de Deus, o Grandioso, o Altíssimo!
013_00	Ele é Quem vos evidencia os Seus sinais e vos envia o sustento do céu. Mas, só se recorda d'Ele quem se volta para Ele, contrito.
014_00	Suplicai, pois, a Deus, com devoção, ainda que isso desgoste os incrédulos.
015_00	(Ele é) Exaltador, (Senhor) do Trono; envia o espírito (da inspiração), por Seu mandato, a quem Lhe apraz dentre osSeus servos, para advertir (os homens) sobre o Dia do Encontro.
016_00	Dia em que sairão (dos seus sepulcros) e nada deles se ocultará a Deus. A quem pertencerá, nesse dia, o reino? A Deus, Único, Irresistibilíssimo.
017_00	Nesse dia, toda a alma será retribuída segundo o seu mérito; nesse dia, não haverá injustiça, porque Deus é Destro emajustar contas.
018_00	Admoesta-os com o dia iminente quando, angustiados, os corações lhes subirão às gargantas. Os iníquos não terãoamigos íntimos, nem intercessores que possam obedecer.
019_00	Ele conhece os olhares furtivos e tudo quanto ocultam os corações.
020_00	E Deus julga com eqüidade; por outra, os que os humanos invocam, em vez d'Ele, nada poderão julgar. Sabei que sóDeus é o Oniouvinte, o Onividente.
021_00	Acaso, não percorreram a terra para verem qual foi a sorte dos seus antepassados?
021_01	Eram superiores a eles em força etraços (que eles deixaram) na terra; porém, Deus os exterminou, por seus pecados, e não tiveram ninguém que os salvassedos desígnios de Deus.
022_00	Sucedeu-lhes isto, porque os seus mensageiros lhes apresentaram as evidências e eles as negaram. Então Deus osexterminou, porque é Poderoso, Severíssimo no castigo.
023_00	Havíamos enviado Moisés com os Nossos sinais e uma autoridade evidente.
024_00	Ao Faraó, a Haman e a Carun; porém, disseram: É um mago mentiroso.
025_00	E quando lhes apresentou a Nossa verdade, disseram: Matai os filhos varões daqueles que, com ele, crêem, e deixai comvida as suas mulheres!
025_01	Porém, a conspiração dos incrédulos do improfícua.
026_00	E o Faraó disse: Deixai-me matar Moisés, e que invoque o seu Senhor. Temo que mude a vossa religião ou que semeie acorrupção na terra!
027_00	Moisés disse: Em verdade, eu me amparo em meu Senhor e vosso, acerca de todo arrogante, que não crê no Dia daRendição de Contas.
028_00	E um homem fiel, da família do Faraó, que ocultava a sua fé, disse: Mataríeis um homem tão-somente porque diz: MeuSenhor é Deus, não obstante Ter-vos apresentado as evidências do vosso Senhor?
028_01	Além do mais se for um impostor, a suamentira recairá sobre ele; por outra, se for veraz, açoitar-vos-á algo daquilo com que ele vos ameaça. Em verdade, Deus nãoencaminha ninguém é transgressor, mentiroso.
029_00	Ó povo meu, hoje o poder é vosso; sois dominadores, na terra.
029_01	Porém, quem nos defenderá do castigo de Deus, quandoele nos açoitar? O Faraó disse: Eu não vos aconselho senão o que conheço, e não vos indico senão a senda da retidão!
030_00	E o fiel disse: Ó povo meu, em verdade temo que vos suceda e desdita do dia (do desastre) dos irmanados (no pecado).
031_00	A angústia do povo de Noé, de Ad e de Samud, e daqueles que os sucederam. Sabei que Deus deseja a justiça para osSeus servos.
032_00	Ó povo meu, em verdade, temo, por vós, o dia do clamor mútuo.
033_00	No dia em que tentardes fugir, ninguém poderá defender-vos de Deus. E aquele que Deus extraviar não terá orientadoralgum.
034_00	Em verdade, José vos apresentou as evidências; porém não cessastes de duvidar do
034_01	que vos apresentou, até que quandomorreu, dissestes: Deus jamais extravia os transgressores, extravagantes,
035_00	Que refutam os versículos de Deus, sem a autoridade concedida.
035_01	Tal é grave e odioso, ante Deus e ante os fiéis. Assimsendo, Deus sigila o coração de todo o arrogante, déspota.
036_00	O Faraó disse: Ó Haman, constrói-me uma torre, para eu poder alcançar as sendas,
037_00	As sendas do céu, de maneira que possa ver o Deus de Moisés, conquanto eu creia que é mentiroso!
037_01	Assim, foiabrilhantada ao Faraó a sua má ação, e ele foi desencaminhado da senda reta; e as conspiração do Faraó foram reduzidas anada.
038_00	E o fiel olhes disse: Ó povo meu, segui-me! Conduzir-vos-ei pela senda da retidão.
039_00	Ó povo meu, sabei que a vida terrena é um gozo efêmero, e que a outra vida é a morada eterna!
040_00	Quem cometer uma iniqüidade, será pago na mesma moeda; por outra, aqueles que praticarem
040_01	o bem, sendo fiéis, homens ou mulheres, entrarão no Paraíso, onde serão agraciados imensuravelmente.
041_00	Ó povo meu, por que eu vos convoco à salvação e vós me convocais ao fogo infernal?
042_00	Incitais-me, acaso, a renegar Deus e associar-Lhe o que ignoro, enquanto eu vos convoco até o Poderoso, oIndulgentíssimo.
