001_00	Alef, Lam, Mim.
002_00	Porventura, pensam os humanos que serão deixados em paz, só porque dizem: Cremos!, sem serem postos à prova?
003_00	Havíamos provado seus antecessores, a fim de que Deus distinguisse os leais dos impostores.
004_00	Crêem, acaso, os malfeitores, que poderão iludir-Nos? Quão péssimo é o que julgam!
005_00	Quanto àquele que anela o comparecimento ante Deus, saiba que certamente o destino prefixado, por Ele, é inexorável, porque Ele é o Oniouvinte, o Sapientíssimo.
006_00	Quanto àquele que lutar pela causa de Deus, o fará em benefício próprio; porém, sabei que Deus pode prescindir de todaa humanidade.
007_00	Quanto aos fiéis que praticam o bem, saibam que os absolveremos das suas faltas e os recompensaremos com algosuperior ao que houverem feito.
008_00	E recomendamos ao homem benevolência para com seus pais; porém, se te forçarem a associar-Me ao que ignoras, nãolhes obedeças.
008_01	Sabei (todos vós) que o vosso retorno será a Mim, e, então, inteirar-vos-ei de tudo quanto houverdes feito.
009_00	Quanto aos fiéis que praticam o bem, admiti-los-emos entre os virtuosos.
010_00	Entre os humanos há aqueles que dizem: Cremos em Deus! Porém, quando são afligidos pela causa de Deus, equiparam aopressão do homem ao castigo de Deus.
010_01	E quando lhes chega algum socorro, da parte do teu Senhor, dizem: Em verdade, estávamos convosco! Acaso Deus não sabe melhor do que ninguém tudo quanto encerram os corações das criaturas?
011_00	E certamente Deus conhece tanto os fiéis quanto os hipócritas.
012_00	E os incrédulos dizem aos fiéis: Segui a nossa senda, e nos responsabilizaremos por vossas faltas! Qual! Não podemnem se responsabilizar pelas suas faltas, porque são impostores!
013_00	Certamente, arcarão com o seu peso, assim como outros pesos além do seu; e no Dia da Ressurreição serão interrogadossobre tudo quanto houverem forjado.
014_00	Enviamos Noé ao seu povo; permaneceu entre eles mil anos menos cinqüenta, e o dilúvio surpreendeu esse povo em suainiqüidade.
015_00	E o salvamos, juntamente com os ocupantes da arca, e fizemos dela um sinal para a humanidade.
016_00	E recorda-te de Abraão, quando disse ao seu povo: Adorai a Deus e temei-O! isso será melhor para vós, se ocompreendeis!
017_00	Qual, somente adorais ídolos, em vez de Deus, e inventai calúnias!
017_01	Em verdade, os que adorais, em vez de Deus, nãopodem proporcionar-vos sustento. Procurai, pois, o sustento junto a Deus, adorai-O e agradecei-Lhe, porque a Eleretornareis.
018_00	E se rejeitardes (a Mensagem), sabei que outras gerações, anteriores a vós, desmentiram (seus mensageiros). E aomensageiro só incumbe a proclamação da lúcida mensagem.
019_00	Não reparam, acaso, em como Deus origina a criação e logo a reproduz? Em verdade, isso é fácil a Deus.
020_00	Dize-lhes: Percorrei a terra e contemplai como Deus origina a criação; assim sendo, Deus pode produzir outra criação, porque Deus é Onipotente.
021_00	Ele castiga quem deseja e Se apiada de quem Lhe apraz, e a Ele retornareis.
022_00	Não podereis frustrar (os Planos de Deus), tanto na terra como no céus, e além de Deus não tereis protetor nem defensoralgum!
023_00	Quanto àqueles que negam os versículos de Deus e o comparecimento ante Ele, esses desesperarão por Minha clemênciae sofrerão um doloroso castigo.
024_00	Porém, a única resposta do seu povo (de Abraão) foi: Matai-o e queimai-o! Mas Deus o salvou do fogo. Certamente, nisso há sinais para os crentes.
025_00	E ele lhes disse: Só haveis adotado ídolos em vez de Deus, como vínculo de amor entre vós, na vida
025_01	terrena; eis que, noDia da Ressurreição, desconhecer-vos-eis e vos amaldiçoareis reciprocamente; e vossa morada será o fogo, e jamais tereissocorredores.
026_00	Lot acreditou nele. Ele disse: Em verdade, emigrarei para onde me ordene o meu Senhor, porque Ele é o Poderoso, oPrudentíssimo.
027_00	E o agraciamos com Isaac e Jacó, e designamos, para a sua prole, a profecia
027_01	e o Livro; concedemos-lhe a suarecompensa neste mundo e, no outro, contar-se-á entre os virtuosos.
028_00	E de quando Lot disse ao seu povo: Verdadeiramente, cometeis obscenidades que ninguém no mundo cometeu, antes devós.
029_00	Vós vos aproximais dos homens, assaltais as estradas e, em vossos concílios, cometeis o ilícito!
029_01	Porém, a única respostado seu povo foi: Manda-nos o castigo de Deus, se estiveres certo.
