001_00	Ha, Mim.
002_00	Pelo Livro lúcido.
003_00	Nós o revelamos durante uma noite bendita, pois somos Admoestador,
004_00	Na qual se decreta todo o assunto prudente.
005_00	Por ordem Nossa, porque enviamos (a revelação).
006_00	Como misericórdia do teu Senhor, sabe que Ele é o Oniouvinte, o Sapientíssimo.
007_00	Senhor dos céus e da terra e de tudo quanto existe entre ambos, se estais persuadidos.
008_00	Não há mais divindade além d'Ele! Dá a vida e a morte, é o vosso Senhor e o de vossos antepassados.
009_00	Porém, estão na dúvida, absortos.
010_00	Aguarda, pois, o dia em que do céu descerá uma fumaça visível.
011_00	Que envolverá o povo: Será um doloroso castigo!
012_00	(Então dirão): Ó Senhor nosso, livra-nos do castigo, porque somos fiéis!
013_00	Como se não se recordassem de quando lhes chegou um elucidativo Mensageiro,
014_00	E o rechaçaram, dizendo: Ele foi ensinado (por outros), e é um energúmeno.
015_00	Em verdade, ainda que vos atenuássemos transitoriamente o castigo, seguramente reincidiríeis.
016_00	Recorda-lhes o dia em que desfecharemos o golpe decisivo; então, os puniremos.
017_00	Antes deles, provamos o povo do Faraó, ao ser-lhes apresentado um honorável mensageiro.
018_00	(Que lhes disse): Entregai-me os servos de Deus, porque sou um fidedigno mensageiro, para vós.
019_00	E não vos rebeleis contra Deus, porque vos trago uma autoridade evidente.
020_00	E me amparo em meu Senhor e vosso, se quereis apedrejar-me.
021_00	E se não credes em mim, afastei-vos, então, de mim.
022_00	(Moisés) exclamou, então, para o seu Senhor: Este é um povo pecador!
023_00	(Ordenou, então, o Senhor): Marcha, pois, com os Meus servos, durante a noite, porque sereis perseguidos.
024_00	E deixa o mar como um sulco, para que o exército dos incrédulos nele se afogue!
025_00	Quantos jardins e mananciais abandonaram;
026_00	Semeaduras e suntuosas residências.
027_00	E riquezas com as quais se regozijavam!
028_00	E foi assim que demos aquilo tudo em herança a outro povo!
029_00	Nem o céu, nem a terra verterão lágrimas por eles, nem tampouco lhes foi dada tolerância.
030_00	Sem dúvida que livramos os israelitas do castigo afrontoso,
031_00	Infligido pelo Faraó; em verdade, ele foi um déspota, e se contava entre os transgressores.
032_00	E os escolhemos propositadamente, entre os seus contemporâneos.
033_00	E os agraciamos com certas sinais que continham uma verdadeira prova.
034_00	Em verdade, estes (os coraixitas) dizem:
035_00	Não há mais morte do que a nossa primeira, e jamais seremos ressuscitados!
036_00	Fazei, então, voltar os nossos pais, se estiverdes certos!
037_00	Quê! Acaso, são eles preferíveis ao povo de Tubba e seus antepassados? Nós os aniquilamos, por haverem sidopecadores.
038_00	E não criamos os céus e a terra e tudo quanto existe entre ambos para Nos distrairmos.
039_00	Não os criamos senão com prudência; porém, a maioria o ignora.
040_00	Sabei que o dia fixado para todos será o dia da Discriminação,
041_00	Dia esse em que nenhum protetor poderá advogar, em nada, por outro, nem serão socorridos (os incrédulos).
042_00	Salvo aquele de quem Deus se apiedar, porque Ele é o Poderoso, o Misericordiosíssimo.
043_00	Sabei que a árvore de zacum
044_00	Será o alimento do pecador.
045_00	Com metal fundido que lhe ferverá nas entranhas.
046_00	Como a borbulhante água fervente.
047_00	(E será dito aos guardiãos): Agarrai o pecador e arrastai-o até ao centro da fogueira!
048_00	Então, atormentai-o, derramado sobre a sua cabeça água fervente.
049_00	Prova o sofrimento, já que tu és o poderoso, o honorável!
050_00	Certamente, há aqui aquilo de que vós duvidáveis.
051_00	Todavia, os tementes estarão em lugar seguro,
052_00	Entre jardins e mananciais.
053_00	Vestir-se-ão de tafetá e brocado, recostados frente a frente.
054_00	Assim será! E os casaremos com huris de maravilhosos olhos.
055_00	Aí pedirão toda a espécie de frutos, em segurança.
056_00	Lá não experimentarão a morte, além da primeira, e Ele os preservará do tormento da fogueira,
057_00	Como uma graça do teu Senhor. Tal é o magnífico benefício!
058_00	Em verdade, temos-te facilitado (o Alcorão) em tua língua, para que meditem.
059_00	Aguarda, pois, porque eles também aguardarão, igualmente.
