001_00	Bendito seja Aquele em Cujas mãos está a Soberania, e que é Onipotente;
002_00	Que criou a vida e a morte, para testar quem de vós melhor se comporta - porque é o Poderoso, o Indulgentíssimo -,
003_00	Que criou sete céus sobrepostos; tu não acharás imperfeição alguma na criação do Clemente! Volta, pois, a olhar! Vês, acaso, alguma fenda?
004_00	Novamente, olha e torna a fazê-lo, e o teu olhar voltará a ti, confuso e fatigado.
005_00	E adornamos o céu aparente com lâmpadas, e lhes destinamos apedrejarem os demônios, e preparamos, para eles o suplício do fogo infernal.
006_00	Bem como a pena do inferno, para aqueles que negam o seu Senhor. Que funesto destino!
007_00	Quando nele forem precipitados, ouvi-lo-ão rugir, borbulhante,
008_00	A ponto de estalar de fúria. Cada vez que um grupo (de réprobos) for precipitado nele, os seus guardiães lhes perguntarão. Acaso, não vos foi enviado nenhum admoestador?
009_00	Dirão: Sim! Foi-nos enviado um admoestador, porém desmentimo-lo, dizendo: Deus nada revelou! Estais em grave erro!
010_00	E dirão (mais): Se tivéssemos escutado o meditado, não estaríamos entre os condenados ao tártaro!
011_00	E confessarão os seus pecados; anátema aos condenados ao tártaro!
012_00	Em verdade aqueles que temerem intimamente o seu Senhor obterão indulgência e uma grande recompensa.
013_00	Quer faleis privativa ou publicamente, Ele é Conhecedor das intimidades dos corações.
014_00	Como não haveria de conhecê-las o Criados, sendo Ele o Onisciente, o Sutilíssimo?
015_00	Ele foi Quem vos fez a terra manejável. Percorrei-a pois, por todos os seus quadrantes e desfrutai das Suas mercês; a Ele será o retorno!
016_00	Estais, acaso, seguros de que Aquele que está no céu não vos fará ser tragados pela terra? Ei-la que treme!
017_00	Ou estais seguros de que Aquele que está no céu não desencadeará um violento furacão sobre vós? Logo sabereis como é a Nossa advertência.
018_00	Em verdade, os seus antepassados desmentiram os Meus enviados. Porém, que terrível foi a Minha rejeição!
019_00	Não reparam, acaso, nos pássaros que pairam sobre eles, protraindo e recolhendo as suas asas? Ninguém os mantém no espaço, senão o Clemente, porque é Onividente.
020_00	Ou então, qual é o exército com que contais para socorrer-vos, em vez do Clemente? Em verdade, os incrédulos estão grandemente iludidos.
021_00	Ou então, quem será que os sustentará se Ele retiver as Suas mercês? Não obstante, obstinam-se na perfídia e no extravio.
022_00	Quem está melhor encaminhado: o que anda, vacilante, pela tortuosidade, ou quem anda, altaneiro, pela senda reta?
023_00	Dize-lhes: Foi Ele Quem vos criou e vos dotou de ouvidos, de vistas e de faculdades. Quão pouco Lhe agradeceis!
024_00	Dize-lhes (mais): Foi Ele Quem vos multiplicou, na terra, e ante Ele sereis congregados.
025_00	Porém, perguntaram: Quando se cumprirá tal promessa? Dizei-nos, se estais certos.
026_00	Responde-lhes: Só Deus o sabe, e eu sou unicamente um admoestador elucidante.
027_00	Mas, quando o virem (o castigo) de perto, os rostos dos incrédulos se ensombrecerão e lhes será dito: Aqui tendes o que pedíeis!
028_00	Dize-lhes: Se Deus me fizesse perecer, juntamente com os meus seguidores ou se se apiedasse de nós, quem livraria os incrédulos de um doloroso castigo?
029_00	Dize-lhes (mais): Ele é o Clemente, no Qual cremos e ao Qual nos encomendamos. Logo sabereis quem está em erro evidente!
030_00	Dize-lhes (ainda): Que vos parece? Se a vossa água, ao amanhecer, tivesse sido toda absorvida (pela terra), quem faria manar água potável para vós?
