001_00	Alef, Lam, Mim.
002_00	Eis o livro que é indubitavelmente a orientação dos tementes a Deus;
003_00	Que crêem no incognoscível, observam a oração e gastam daquilo com que os agraciamos;
004_00	Que crêem no que te foi revelado (ó Mohammad), no que foi revelado antes de ti e estão persuadidos da outra vida.
005_00	Estes possuem a orientação do seu Senhor e estes serão os bem-aventurados.
006_00	Quanto aos incrédulos, tento se lhes dá que os admoestes ou não os admoestes; não crerão.
007_00	Deus selou os seus corações e os seus ouvidos; seus olhos estão velados e sofrerão um severo castigo.
008_00	Entre os humanos há os que dizem: Cremos em Deus e no Dia do Juízo Final. Contudo, não são fiéis.
009_00	Pretendem enganar Deus e os fiéis, quando só enganam a si mesmos, sem se aperceberem disso.
010_00	Em seus corações há morbidez, e Deus os aumentou em morbidez, e sofrerão um castigo doloroso por suas mentiras.
011_00	Se lhes é dito: Não causeis corrupção na terra, afirmaram: Ao contrário, somos conciliadores.
012_00	Acaso, não são eles os corruptores? Mas não o sentem.
013_00	Se lhes é dito: Crede, como crêem os demais humanos, dizem: Temos de crer como crêem os néscios? Em verdade, eles sãos os néscios, porém não o sabem.
014_00	Em quando se deparam com os fiéis, asseveram: Cremos. Porém, quando a sós com os seus sedutores, dizem: Nós estamos convosco; apenas zombamos deles.
015_00	Mas Deus escarnecerá deles e os abandonará, vacilantes, em suas transgressões.
016_00	São os que trocaram a orientação pelo extravio; mas tal troca não lhes trouxe proveito, nem foram iluminados.
017_00	Parecem-se com aqueles que fez arder um fogo; mas, quando este iluminou tudo que o rodeava, Deus extinguiu-lhes a luz, deixando-os sem ver, nas trevas.
018_00	São surdos, mudos, cegos e não se retraem (do erro).
019_00	Ou como (aquele que, surpreendidos por) nuvens do céu, carregadas de chuva, causando trevas, trovões e relâmpagos, tapam
019_01	os seus ouvidos com os dedos, devido aos estrondos, por temor à morte; mas Deus está inteirado dos incrédulos.
020_00	Pouco falta para que o relâmpago lhes ofusque a vista.
020_01	Todas as vezes que brilha, andam à mercê do seu fulgor e, quandosome, nas trevas se detêm e, se Deus quisesse, privá-los-ia da audição e da visão, porque é Onipotente.
021_00	Ó humanos, adorai o vosso Senhor, Que vos criou, bem como aos vossos antepassados, quiçá assim tornar-vos-íeisvirtuosos.
022_00	Ele fez-vos da terra um leito, e do céu um teto, e envia do céu a água, com a qual faz brotar os frutos para o vossosustento.
022_01	Não atribuais rivais a Deus, conscientemente.
023_00	E se tendes dúvidas a respeito do que revelamos ao Nosso servo (Mohammad), componde uma surata semelhante à dele (o Alcorão), e apresentai as vossas testemunhas, independentemente de Deus, se estiverdes certos.
024_00	Porém, se não o dizerdes - e certamente não podereis fazê-lo - temei, então, o fogo infernal cujo combustível serão osidólatras e os ídolos; fogo que está preparado para os incrédulos.
025_00	Anuncia (ó Mohammad) os fiéis que praticam o bem que obterão jardins, abaixo dos quais correm os rios.
025_01	Toda vez queforem agraciados com os seus frutos, dirão: Eis aqui o que nos fora concedido antes!
025_02	Porém, só o será na aparência. Aliterão companheiros imaculados e ali morarão eternamente.
026_00	Deus não Se furta em exemplificar com um insignificante mosquito ou com algo maior ou menor do que ele. E os fiéissabem que esta é a verdade emanada de seu Senhor.
026_01	Quanto aos incrédulos, asseveram: Que quererá significar Deus com talexemplo? Com isso desvia muitos e encaminha muitos outros. Mas, com isso, só desvia os depravados.
027_00	Que violam o pacto com Deus, depois de o terem concluído; separam o que Deus tem ordenado manter unido e fazemcorrupção na terra. Estes serão desventurados.
028_00	Como ousais negar a Deus, uma vez que éreis inertes e Ele vos deu a vida, depois vos fará morrer, depois vosressuscitará e então retornais a Ele?
029_00	Ele foi Quem vos criou tudo quando existe na terra; então, dirigiu Sua vontade até o firmamento do qual fez, ordenadamente, sete céus, porque é Onisciente.
030_00	(Recorda-te ó Profeta) de quando teu Senhor disse aos anjos: Vou instituir um legatário na terra!
030_01	Perguntaram-Lhe: Estabelecerás nela quem alí fará corrupção, derramando sangue, enquanto nós celebramos Teus louvores, glorificando-Te? Disse (o Senhor): Eu sei o que vós ignorais.
031_00	Ele ensinou a Adão todos os nomes e depois apresentou-os aos anjos e lhes falou: Nomeai-os para Mim e estiverdescertos.
032_00	Disseram: Glorificado sejas! Não possuímos mais conhecimentos além do que Tu nos proporcionaste, porque somenteTu és Prudente, Sapientíssimo.
033_00	Ele ordenou: Ó Adão, revela-lhes os seus nomes.
033_01	E quando ele lhes revelou os seus nomes, asseverou (Deus): Não vosdisse que conheço o mistério dos céus e da terra, assim como o que manifestais e o que ocultais?
034_00	E quando dissemos aos anjos: Prostrai-vos ante Adão! Todos se prostraram, exceto Lúcifer que, ensoberbecido, senegou, e incluiu-se entre os incrédulos.
035_00	Determinamos: Ó Adão, habita o Paraíso com a tua esposa e desfrutai dele com a prodigalidade que vos aprouver; porém, não vos aproximeis desta árvore, porque vos contareis entre os iníquos.
036_00	Todavia, Satã os seduziu, fazendo com que saíssem do estado (de felicidade) em que se encontravam.
036_01	Então dissemos: Descei! Sereis inimigos uns dos outros, e, na terra, tereis residência e gozo transitórios.
037_00	Adão obteve do seu Senhor algumas palavras de inspiração, e Ele o perdoou, porque é o Remissório, o Misericordioso.
038_00	E ordenamos: Descei todos aqui! Quando vos chegar de Mim a orientação, aqueles que seguirem a Minha orientação nãoserão presas do temor, nem se atribularão.
039_00	Aqueles que descrerem e desmentirem os Nossos versículos serão os condenados ao inferno, onde permanecerãoeternamente.
040_00	Ó israelitas, recordai-vos das Minhas mercês, com as quais vos agraciei. Cumpri o vosso compromisso, que cumprirei oMeu compromisso, e temei somente a Mim.
041_00	E crede no que revelei, e que corrobora a revelação que vós tendes; não sejais os primeiros a negá-lo, nem negocieis asMinhas leis a vil preço, e temei a Mim, somente,
042_00	E não disfarceis a verdade com a falsidade, nem a oculteis, sabendo-a.
043_00	Praticai a oração pagai o zakat e genuflecti, juntamente com os que genuflectem.
044_00	Ordenais, acaso, às pessoas a prática do bem e esqueceis, vós mesmos, de fazê-lo, apesar de lerdes o Livro? Nãoraciocinais?
045_00	Amparai-vos na perseverança e na oração. Sabei que ela (a oração) é carga pesada, salvo para os humildes,
046_00	Que sabem que encontrarão o seu Senhor e a Ele retornarão.
047_00	Ó Israelitas, recordai-vos das Minhas mercês, com as quais vos agraciei, e de que vos preferi aos vossoscontemporâneos.
048_00	E temei o dia em que nenhuma alma poderá advogar por outra, nem lhe será admitida intercessão alguma, nem lhe seráaceita compensação, nem ninguém será socorrido!
049_00	Recordai-vos de quando vos livramos do povo do Faraó, que vos infligia o mais cruel castigo, degolando os vossosfilhos e deixando com vida as vossas mulheres.
049_01	Naquilo tivestes uma grande prova do vosso Senhor.
050_00	E de quando dividimos o mar e vos salvamos, e afogamos o povo do Faraó, enquanto olháveis.
051_00	E de quando instituímos o pacto das quarenta noites de Moisés e que vós, em sua ausência, adorastes do bezerro, condenando-vos.
052_00	Então, indultamo-vos, depois disso, para que ficásseis agradecidos.
053_00	E de quando concedemos a Moisés o Livro e o Discernimento, para que vos orientásseis!
054_00	E de quando Moisés disse ao seu povo: Ó povo meu, por certo que vos condenastes, ao adorardes o bezerro. Voltai, portanto, contritos, penitenciando-vos para o vosso Criador, e imolai-vos mutuamente.
