001_00	Ha, Mim.
002_00	Ain, Sin, Caf.
003_00	Assim te revela, como (o fez) àqueles que te precederam, Deus, o Poderoso, o Prudentíssimo.
004_00	Seu é tudo quanto existe nos céus e na terra, porque é o Ingente, o Altíssimo.
005_00	É possível que os céus se fendam para a Sua glória; e os anjos
005_01	celebram os louvores do seu Senhor e imploram perdãopara aqueles, que estão na terra.
006_00	Quanto àqueles que adotam guardiães, em vez de Deus, saibam que ele é o seu Protetor e tu não és, de maneira alguma, seu guardião
007_00	E assim te revelamos um Alcorão árabe para que admoestes a Mãe das Metrópoles e tudo ao seu redor,
007_01	admoesta-os, portanto, quanto ao dia indubitável do comparecimento, em que uma parte (da humanidade) estará no Paraíso e outra notártaro.
008_00	Se Deus quisesse, tê-los-ia (os humanos) constituído em uma só nação, porque acolhe em Sua misericórdia quem Lhesapraz. Quando aos iníquos, não terão protetor, nem socorredor.
009_00	Como! Adotem protetores, em vez d'Ele? Pois, saibam que Deus é o Protetor e é Quem ressuscita os mortos, porque éOnipotente.
010_00	E seja qual for a causa da vossa divergência, a decisão só a Deus compete. Tal é Deus, meu Senhor! A Ele meencomendo e a Ele retornarei contrito.
011_00	É o Originador dos céus e da terra, (foi) Quem vos criou esposas, de vossas espécies, assim como pares de todos osanimais.
011_01	Por esse meio vos multiplica. Nada se assemelha a Ele, e é o Oniouvinte, o Onividente.
012_00	Suas são as chaves dos céus e da terra; prodigaliza e restringe a Sua graça a quem Lhe apraz, porque é Onisciente.
013_00	Prescreveu-vos a mesma religião que havia instituído para Noé, a qual te revelamos, a qual havíamos recomendado
013_01	aAbraão, a Moisés e a Jesus, (dizendo-lhes): Observai a religião e não discrepeis acerca disso; em verdade,
013_02	os idólatras seressentiram daquilo a que os convocaste, Deus elege quem Lhe apraz e encaminha para Si o contrito.
014_00	Mas não se dividiram senão por inveja, depois de lhes ter chegada a ciência.
014_01	E se não tivesse sido por uma palavraproferida por teu Senhor, para tolerá-los até um término prefixado, já os teria julgado. Em verdade, aqueles que, depoisdeles, herdaram o Livro, estão em uma inquietante dúvida, acerca do mesmo.
015_00	Por isso, convoca-os e persevera, tal como te tem sido ordenado, e não te entregues à sua concupiscência, e dize-lhes: Creio em todos os Livros que Deus revelou! E tem-me sido ordenado julgar-vos eqüitativamente. Deus é nosso Senhor evosso.
015_01	Nós somos responsáveis por nossas ações e vós pelas vossas! Que não haja dissenções entre vós e nós. Deus noscongregará, e a Ele será o retorno.
016_00	Quanto àqueles que argumentam acerca de Deus, depois de Ele Ter sido aceito, seus argumentos serão refutados ante oseu Senhor, Cuja abominação pesará sobre eles, e sofrerão um severo castigo.
017_00	Deus foi Quem, em verdade, revelou o Livro e a balança. E quem te fará compreender, se a hora estiver próxima?
018_00	Os que não crêem nela querem apressá-la; por outra, os fiéis são reverentes, por temor a ela, e sabem que é a verdade.
018_01	Não é, acaso, certo, que aqueles que disputam sobre a Hora estão em um profundo erro?
019_00	Deus é Amabilíssimo para com os Seus servos. Agracia quem Lhe apraz, porque é o Poderoso, o Fortíssimo.
020_00	Quem anelar a recompensa de outra vida tê-la-á aumentada; em troca, a quem preferir a recompensa da vida terrena, também lhe concederemos algo dela; porém, não participara (da bem-aventurança) da outra vida.
021_00	Quê! Há, acaso, (seres) parceiros (de Deus) que lhes tenham instituído algo a respeito da religião, sem a autorização deDeus?
