001_00	A realidade
002_00	Que é a realidade?
003_00	E o que te fará entender o que significa a realidade?
004_00	Os povos de Samud e de Ad desmentiram a calamidade.
005_00	Quanto ao povo de Samud, foi fulminado pela centelha!
006_00	E, quanto ao povo de Ad, foi exterminado por um furioso e impetuoso furacão.
007_00	Que Deus desencadeou sobre ele, durante sete noites e oito nefastos dias, em que poderias ver aqueles homens jacentes, como se fossem troncos de tamareiras caídos.
008_00	Porventura, viste algum sobrevivente, entre eles?
009_00	E o Faraó, os seus antepassados e as cidades nefastas disseminaram o pecado.
010_00	E desobedeceram ao mensageiro do seu Senhor, pelo que Ele os castigou rudemente.
011_00	Em verdade, quando as águas transbordaram, levamo-vos na arca.
012_00	Para fazemos disso um memorial para vós, e para que o recordasse qualquer mente atenta.
013_00	Porém, quando soar um só toque da trombeta,
014_00	E a terra e as montanhas forem desintegradas e trituradas de um só golpe,
015_00	Nesse dia, acontecerá o evento inevitável.
016_00	E o céu se fenderá, e estará frágil;
017_00	E os anjos estarão perfilados e, oito deles, nesse dia, carregarão o Trono do teu Senhor.
018_00	Nesse dia sereis apresentados (ante Ele), e nenhum dos vossos segredos (Lhe) será ocultado.
019_00	Então, aquele a quem for entregue o seu registro, na destra, dirá; Ei-lo aqui! Lede o meu registro;
020_00	Sempre soube que prestaria contas!
021_00	E ele gozará de uma vida prazenteira,
022_00	Em um jardim sublime,
023_00	Cujos frutos estarão ao seu alcance.
024_00	(E será dito àqueles que lá entrarem): Comei e bebei com satisfação, pelo bem que propiciastes em dias pretéritos!
025_00	Em troca, aquele a quem for entregue o seu registro na sinistra, dirá: Ai de mim! Oxalá não me tivesse sido entregue meu registro.
026_00	Nem jamais tivesse conhecido o meu cômputo;
027_00	Oh! Oxalá a minha primeira (morte) tivesse sido a anulação;
028_00	De nada me servem os meus bens;
029_00	A minha autoridade se desvaneceu...!
030_00	(Será dito): Pegai-o, manietai-o,
031_00	E introduzi-o na fogueira!
032_00	Então, fazei-o carregar uma corrente de setenta cúbitos,
033_00	Porque não creu em Deus, Ingente,
034_00	Nem diligenciou, no sentido de alimentar os necessitados.
035_00	Assim, pois, não terá, hoje, nenhum amigo íntimo,
036_00	Nem mais alimento do que o excremento,
037_00	Que ninguém comerá, a não ser os pecadores.
038_00	Juro, pois, pelo que vedes,
039_00	E pelo que não vedes,
040_00	Que este (Alcorão) é a palavra do Mensageiro honorável.
041_00	E não a palavra de um poeta. - Quão pouco credes-
042_00	Nem tampouco é a palavra de um adivinho. Quão pouco meditais!
043_00	(Esta) é uma revelação do Senhor do Universo.
044_00	E se (o Mensageiro) tivesse inventado alguns ditos, em Nosso nome
045_00	Certamente o teríamos apanhado pela destra;
046_00	E então, Ter-lhe-íamos cortado a aorta,
047_00	E nenhum de vós teria podido impedir-Nos,
048_00	E, certamente, este (Alcorão) é uma mensagem para os tementes,
049_00	-E Nós sabemos aqueles que, dentre vós, são os desmentidores-
050_00	E ele é uma angústia para os incrédulos;
051_00	E ele é verdade convicta.
052_00	Assim sendo, glorifica o nome do teu Senhor, o Ingente.
