001_00	Alef, Lam, Ra. Eis aqui os versículos do Livro da sabedoria.
002_00	Estranham, acaso, as pessoas, que tenhamos inspirado um homem de seu povo, dizendo-lhe: Admoesta os homens e avisaos fiéis que terão uma sublime dignidade junto ao seu Senhor?
002_01	Todavia, os incrédulos dizem dele: ë um mago declarado.
003_00	Vosso Senhor é Deus, Que criou os céus e a terra em seis dias, logo assumiu o Trono para reger todas as coisas. Junto aEle ninguém poderá interceder, sem Sua permissão.
003_01	Tal é Deus, vosso Senhor! Adorai-O, pois! Não meditais?
004_00	A Ele retornareis todos. A promessa de Deus é infalível.
004_01	Ele origina a criação, e logo a faz reproduzir, para recompensareqüitativamente os fiéis que praticam o bem. Os incrédulos, porém, terão por bebida água fervente e um doloroso castigo, por sua incredulidade.
005_00	Ele foi Quem originou o sol iluminador e a lua refletidora, e determinou as estações do ano, para que saibais o númerodos anos e seus cômputos.
005_01	Deus não criou isto senão com prudência; ele elucida os versículos aos sensatos.
006_00	Na alteração da noite e do dia, e no que Deus criou nos céus e na terra, há sinais para os tementes.
007_00	Aqueles que não esperam o Nosso encontro, comprazem-se com a vida terrena, conformando-se com ela, e negligenciamos Nossos versículos.
008_00	Sua morada será o fogo infernal, por tudo quanto tiverem lucrado.
009_00	Quanto aos fiéis que praticam o bem, seu Senhor os encaminhará, por sua fé, aos jardins do prazer, abaixo dos quaiscorrem os rios.
010_00	Onde sua prece será: Glorificado sejas, ó Deus! Aí sua mútua saudação será: Paz! E o fim de sua prece será: Louvadoseja Deus, Senhor do Universo!
011_00	Se Deus apressasse o mal aos humanos, como eles apressam o bem para si, alcançariam rapidamente o seu destino.
011_01	Porém, abandonaremos, vacilantes em sua transgressão, aqueles que não esperam comparecer perante Nós.
012_00	E se o infortúnio açoita o homem, ele Nos implora, quer esteja deitado, sentado ou em pé.
012_01	Porém, quando o libertamosde seu infortúnio, ei-lo que caminha, como se não Nos tivesse implorado quando o infortúnio o açoitava. Assim foramabrilhantados os atos dos transgressores (por Satanás).
013_00	Aniquilamos gerações anteriores a vós por sua iniqüidade, porque, apesar de lhes haverem apresentado aos seusmensageiros as evidências, jamais creram.
013_01	Assim castigamos os pecadores.
014_00	Depois disso, designamos-vos sucessores deles na terra, para observarmos como vos iríeis comportar.
