001_00	Pela aurora,
002_00	E pelas dez noites,
003_00	E pelo par e pelo ímpar,
004_00	E pela noite, quando se retira (que sereis castigados)!
005_00	Porventura, não há nisso um juramento adequado, para o sensato?
006_00	Não reparaste em como o teu Senhor procedeu, em relação à (tribo de) Ad,
007_00	Aos (habitantes de) Iram, (cidade) de pilares elevados,
008_00	Cujo similar não foi criado em toda a terra?
009_00	E no povo de Samud, que perfurou rochas no vale?
010_00	E no Faraó, o senhor das estacas,
011_00	Os quais transgrediram, na terra,
012_00	E multiplicaram, nela, a corrupção,
013_00	Pelo que o teu Senhor lhes infligiu variados castigos?
014_00	Atenta para o fato de que o teu Senhor está sempre alerta.
015_00	Quanto ao homem, quando seu Senhor o experimenta, honrando-o e agraciando-o, diz (empertigado): Meu Senhor me honra!
016_00	Porém, quando o prova, restringindo a Sua graça, diz: Meu Senhor me afronta!
017_00	Qual! Vós não honrais o órfão,
018_00	Nem nos estimulais a alimentar o necessitado;
019_00	E consumis avidamente as heranças,
020_00	E cobiçais insaciavelmente os bens terrenos!
021_00	Qual! Quando a terra for triturada fortemente,
022_00	E aparecer o teu Senhor, com os Seus anjos em desfile,
023_00	E o inferno, nesse dia, for destacado, então o homem recordará; porém de que lhe servirá a recordação!
024_00	Dirá: Oxalá tivesse diligenciado (na prática do bem), durante a minha vida!
025_00	Porém, nesse dia, ninguém castigará como Ele (o fará),
026_00	Nem ninguém acorrentará, como Ele (o fará);
027_00	E tu, ó alma em paz,
028_00	Retorna ao teu Senhor, satisfeita (com Ele) e Ele satisfeito (contigo)!
029_00	Entre no número dos Meus servos!
030_00	E entra no Meu jardim!
