001_00	Tudo quando existe nos céus e na terra glorifica Deus. Ele é o Poderoso, o Prudentíssimo.
002_00	Foi ele Quem expatriou os incrédulos, dentre os adeptos do Livro, quando do primeiro desterro.
002_01	Pouco críeis (ómuçulmanos) que eles saíssem dos seus lares, porquanto supunham que as suas fortalezas os preservariam de Deus; porém, Deus os açoitou, por onde menos esperavam, e infundiu o terror em seus corações; destruíram as suas casas com suaspróprias mãos, e com as mãos dos fiéis.
002_02	Aprendei a lição, ó sensatos!
003_00	E se Deus não lhes tivesse decretado o seu banimento, tê-los-ia castigado nesse mundo, e no outro, sofreriam o tormentoinfernal.
004_00	Isso, por terem contrariado Deus e Seu Mensageiro; e, quem contraria Deus (saiba que), certamente Deus é severíssimono castigo.
005_00	(Ó muçulmanos), ficai sabendo que, se cortardes as tamareiras tenras ou se as deixardes de pé, fá-lo-eis com obeneplácito de Deus, e para que Ele avilte os depravados.
006_00	Tudo quanto Deus concedeu ao Seu Mensageiro, (tirado) dos bens deles (dos Bani Annadhir), não tivestes de fazergalopar cavalo ou camelo algum para conseguir (para transportar).
006_01	Deus concede aos Seus mensageiros o predomínio sobrequem Lhe apraz, porque Deus é Onipotente.
007_00	Tudo quanto Deus concedeu ao Seu Mensageiro, (tomado) dos moradores das cidades, corresponde a Deus, ao SeuMensageiro e aos seus parentes, aos órfãos, aos necessitados e aos viajantes; isso, para que (as riquezas) não sejammonopolizadas pelos opulentos, dentre vós.
007_01	Aceitai, pois, o que vos der o Mensageiro, e abstende-vos de tudo quanto elevos proíba.
007_02	E temei a Deus, porque Deus é Severíssimo no castigo.
008_00	(E também corresponde uma parte) aos pobres migrantes (maquenses), que foram expatriados e despojados dos seus bens, que
008_01	procuram a graça de Deus e a Sua complacência, e secundam Deus e Seu Mensageiro; estes são os verazes.
009_00	Os que antes deles residiam (em Madina) e haviam adotado a fé, mostram afeição por aqueles que migraram para juntodeles e não nutrem inveja alguma em seus corações, pelo que (tais migrantes) receberam (de despojos); por outra, preferem-nos, em detrimento de si mesmos.
009_01	Sabei que eles que se preservarem da avareza serão os bem-aventurados.
010_00	E aqueles que os seguiram dizem: Ó Senhor nosso, perdoa-nos, assim como também aos nosso irmãos, que nosprecederam na fé, e não infundas em nossos corações rancor algum pelos fiéis.
010_01	Ó Senhor nosso, certamente Tu ésCompassivo, Misericordiosíssimo.
011_00	Não reparas, acaso, nos hipócritas, que dizem aos seus irmãos incrédulos, dentre os adeptos do Livro: Juramos que sefordes expulsos, sairemos convosco e jamais obedeceremos a ninguém, contra vós; e, se fordes combatidos, socorrer-vos-emos.
011_01	Porém, Deus atesta que são uns mentirosos.
012_00	Porque, na verdade, se fossem expulsos, não sairiam com eles, se fossem combatidos, não os socorreriam; e, mesmo queos socorressem, empreenderiam a fuga; e, ainda, eles mesmos não seriam socorridos.
013_00	Seguramente, vós, ó fiéis, infundis em seus corações mais terror ainda do que Deus; isso, porque são uns insensatos.
014_00	Eles não vos combaterão (mesmo) em conjunto, senão em cidades fortificadas, ou por detrás das muralhas.
014_01	A hostilidadeentre eles é intensa. Vós os credes unidos, quando os seus corações estão divididos; isso, porque são uns insensatos.
015_00	Parecem-se com os seus predecessores imediatos, ao auferirem e revés da sua conduta; terão um doloroso castigo.
016_00	São como Satanás, quando diz ao humano: Renega! Porém, quando este renega a Deus, diz-lhe: Sabe que não souresponsável pelo que te acontecer, porque temo a Deus, Senhor do Universo!
017_00	Porém, o destino deles é serem condenados ao fogo, onde permanecerão eternamente. Tal será o castigo dos iníquos!
018_00	Ó fiéis, temei a Deus! E que cada alma considere o que tiver oferecido, para o dia de amanhã; temei, pois, a Deus, porque Deus está bem inteirado de tudo quanto fazeis.
019_00	E não sejais como aqueles que se esqueceram de Deus e, por isso mesmo, Ele os fez esquecerem-se de si próprios. Estessão os depravados!
020_00	Jamais poderão equiparar-se os condenados ao inferno com os diletos do Paraíso, porque os diletos do Paraíso serão osganhadores.
021_00	Se tivéssemos feito descer este Alcorão sobre uma montanha, tê-las-ias visto humilhar-se e
021_01	fender-se, por temor a Deus, Tais exemplos propomos aos humanos, para que raciocinem.
022_00	Ele é Deus; não há mais divindade além d'Ele, conhecedor do cognoscível e do incognoscível. Ele é o Clemente, oMisericordiosíssimo.
023_00	Ele é Deus; não há mais divindade além d'Ele, Soberano, Augusto, Pacífico, Salvador, Zeloso, Poderoso, Compulsor, Supremo!
023_01	Glorificado seja Deus, de tudo quanto (Lhe) associam!
024_00	Ele é Deus, Criador, Onifeitor, Formador. Seus são os mais sublimes atributos. Tudo quanto existe nos céus e na terraglorifica-O, porque é o Poderoso, o Prudentíssimo.
