001_00	کاتێك ئاسمان له‌ت له‌ت و پارچه پارچه ده‌بێت.
002_00	کاتێك ئه‌ستێره و هه‌ساره‌کان په‌رش و بلاو ده‌بنه‌وه و ورد و خاش ده‌بن.
003_00	کاتێك ده‌ریاکان ده‌ته‌قێنرێنه‌وه‌.
004_00	کاتێك که گۆره‌کان ژێره و ژوور ده‌کرێن (مردووه‌کانی ناویان ده‌هێنرێنه ده‌ره‌وه و زیندوو ده‌کرێنه‌وه‌).
005_00	ئه‌وسا هه‌رکه‌س ده‌زانێت چی پێشخستووه و چی دواخستووه‌، چی ده‌ستپێشکه‌ری کردووه و چیشی هێشتۆته‌وه (له کارو کرده‌وه‌ی چاك، یان خراپ که خه‌ڵکی دوای خۆی چاویان لێ کردووه‌).
006_00	ئه‌ی ئینسان!! تۆ چی وای لێکردویت که سه‌رکه‌ش بیت به‌رامبه‌ر په‌روه‌ردگاری میهره‌بان و به‌ڕێزت؟ چی وای لێکردویت که وه‌کو پێویست قه‌دری نه‌زانیت؟ (نافه‌رمان و یاخی بیت؟).
007_00	(به‌مه‌رجێك) ئه‌و په‌روه‌ردگاره تۆی دروست کردووه‌، به ڕێكوپێکترین شێوه‌، به‌جوانترین شێواز (ئه‌ندامه‌کان هه‌موو له‌شوێنی تایبه‌تی خۆیاندا دانراون که بتوانن کارو فرنانی خۆیان به‌چاکی ئه‌نجام بده‌ن و ئه‌و ئه‌ندامانه‌ش که جووتن قه‌باره و درێژی و شێوه‌یان چوونیه‌که‌، جگه له‌وه‌ی که یارمه‌تی و ته‌باییه‌کی ته‌واو هه‌یه له‌نێوانیاندا و هه‌مووان هاوکارن).
008_00	له‌هه‌ر شێوه و شێوازێكدا که ویستوویه‌تی تۆی ڕێکخستووه و ئه‌ندامه‌کانتی به‌یه‌که‌وه لکاندووه‌.
009_00	واز بهێنن له بێ ئاگایی، (نه‌ده‌بوو وابێت به‌رامبه‌ر ئه‌و په‌روه‌ردگاره جوانکاره‌ت، سه‌ره‌ڕای ئه‌و هه‌موو ڕوون کردنه‌وانه‌) به‌ڵکو بڕوا به‌ڕۆژی پاداشت ناکه‌ن!!
010_00	بێگومان ئێوه چاودێرتان له‌سه‌ر دانراوه‌.
011_00	له فریشته به‌ڕێزه تۆمارکاره‌کان.
012_00	که ئاگاو زانان به‌هه‌وو ئه‌و کرده‌وه و ڕه‌فتارانه‌ی که ئه‌نجامی ده‌ده‌ن.
013_00	(سه‌رئه‌نجام) به‌ڕاستی چاکان، خواناسان له‌ناو نازو نیعمه‌تدا ژیانی پڕ له شادی و خۆشی ده‌به‌نه‌سه‌ر.
014_00	بێگومان تاوانبارو تاوانکاره‌کانیش له‌ناو دۆزه‌خدا ژیانی پڕ له ئێش و ئازار ده‌به‌نه‌سه‌ر.
015_00	که له ڕۆژی قیامه‌تدا ده‌خرێنه ناوی و دووچاری ده‌بن.
016_00	له‌ناویدا ئه‌وان به‌هیچ شێوه‌یه‌ك ڕزگاریان نابێت و ناتوانن لێی دووربکه‌نه‌وه و خۆیانی لێ بشارنه‌وه‌.
017_00	جا تۆ ئه‌ی ئینسان چووزانیت ڕۆژی قیامه‌ت چیه و چۆنه‌؟!
018_00	پاشان تۆ چووزانیت ئه‌و ڕۆژه چۆن ڕۆژێکه‌، (چه‌ند سه‌خته‌، چه‌ند سامناکه‌، چه‌نده پڕ له مه‌ینه‌ته‌).
019_00	ئه‌و ڕۆژه که‌س فریای که‌س ناکه‌وێت، که‌س هیچ شتێکی له ده‌ست نایه‌ت بۆ که‌سانی تر، ئه‌و ڕۆژه هه‌موو شتێك به‌ده‌ست خوایه‌، فه‌رمان ته‌نها فه‌رمانی په‌روه‌ردگاری دادپه‌روه‌ره‌.
