001_00	سوێند به ئاسمان و ئه‌و ئه‌ستێرانه‌ی به‌شه‌ودا ده‌رده‌که‌ون.
002_00	جا تۆ چووزانی (طارق) چیه‌.
003_00	ئه‌ستێره‌یه‌که به ڕووناکیه‌که‌ی تاریکی ده‌بڕێت.
004_00	(سوێند به‌وانه‌) هیچ که‌س نیه چاودێری نه‌بێت، (سه‌ره‌تا خوا چاودێری هه‌مووانه‌، فریشته‌کانیشی کردووه به چاودێرو پارێزه‌رمان).
005_00	که‌واته با ئاده‌میزاد ته‌ماشا بکات و سه‌رنج بدات که له چی دروستکراوه‌؟!
006_00	دروستکراوه له ئاوێکی هه‌ڵقوڵاو (که مه‌نی پیاوه و هێلکۆکه‌ی ئافره‌ته‌، هه‌ردوولایان هه‌ڵده‌قوڵێن بۆ پێکهاتنی ئاده‌میزاد، به‌ویستی خوا).
007_00	له نێوان بڕبڕه‌کانی پشت و ئێسکه‌کانی سینه‌دا ده‌رده‌چێت.
008_00	بێگومان ئه‌و زاته دووباره (دروستکردنه‌وه‌ی ئاده‌میزادی) زۆر لائاسانه و توانای ته‌واوی هه‌یه‌.
009_00	ئه‌و ڕۆژه‌ی که هه‌موو نهێنیه‌کان ده‌رده‌که‌وێت و ئاشکرا ده‌کرێت.
010_00	ئاده‌میزاد هیچ هێزو پشتیوانیه‌کی نیه‌.
011_00	سوێند به ئاسمانێك که خاوه‌نی گێڕانه‌وه‌یه (سوڕی ئاو له سروشتدا، شه‌پۆله‌کانی ته‌له‌فون و ڕادیۆ و ته‌له‌فیزیۆن... هتد).
012_00	هه‌روه‌ها سوێند به زه‌وی که درزی تێ ده‌بێت به‌هۆی ڕووه‌که‌وه‌.
013_00	به‌ڕاستی ئه‌م قورئانه گوفتارێکی جیاکه‌ره‌وه‌یه (جیاکه‌ره‌وه‌ی حه‌ق و ناحه‌ق، ڕاست و درۆ، چاك و خراپ و،... هتد).
014_00	ئه‌م قورئانه گوفتارێکی گه‌ڵته نیه‌.
015_00	به‌ڕاستی ئه‌وانه سه‌رگه‌رمی پیلانن و خه‌ریکی داونانه‌وه‌ن (بۆ ئیمانداران).
016_00	(به‌ڵام خوا ده‌فه‌رموێت): منیش پلان و نه‌خشه‌ی خۆم ده‌خه‌مه‌کار.
017_00	که‌واته تۆیش تاوێك مۆڵه‌تی بێ باوه‌ڕان بده‌، که‌مێك لێیان بوه‌سته (بزانه چیان به‌سه‌ر ده‌هێنم).
