001_00	سوێند به چێشته‌نگاو (کاتێك خۆر به‌رز ده‌بێته‌وه‌و کاتی جوڵه‌و چالاکیه‌).
002_00	سوێند به شه‌و کاتێك به‌تاریکیه‌که‌ی زه‌وی داده‌پۆشێت.
003_00	په‌روه‌ردگارت ده‌ستبه‌رداری تۆ نه‌بووه‌و وازی له تۆ نه‌هێناوه‌و خه‌شمی لێ نه‌گرتوویت (ماوه‌یه‌ك وه‌حی نه‌هات بۆ پێغه‌مبه‌ر صلی الله علیه وسلم کافرانی قوڕه‌یش وتیان، په‌روه‌ردگاری محمد وازی لێ هێناوه‌، ئیتر خوای گه‌وره به‌درۆی خسته‌وه‌).
004_00	بێگومان قیامه‌ت و دواڕۆژ چاکتره بۆ تۆ له دنیا.
005_00	له ئاینده‌دا په‌روه‌ردگارت ئه‌وه‌نده نازو نیعمه‌تت پێده‌به‌خشێت که زۆر پێی ڕازی و خۆشنوود ده‌بیت.
006_00	ئایا په‌روه‌ردگارت نه‌یبینیت به هه‌تیوی و خێرا ده‌رووی لێکردیته‌وه و لانه‌ی بۆ سازاندیت و حه‌واندیتیه‌وه‌؟!
007_00	ئه‌ی سه‌رگه‌ردان نه‌بوویت و نه‌ت ده‌زانی چی بکه‌یت، هیدایه‌تی دایت و ڕێنموویی کردیت؟!
008_00	ئه‌ی نه‌یبینیت که هه‌ژارو نه‌داریت، جا ماڵ و سامانی پێبه‌خشیت و ده‌وڵه‌مه‌ندی کردیت و بێ نیازی کردیت؟!
009_00	که‌واته تۆش (ئه‌ی پێغه‌مبه‌ر صلی الله علیه وسلم، ئه‌ی ئیماندار) هه‌تیو مه‌چه‌وسێنه‌ره‌وه‌و دڵی مه‌ڕه‌نجێنه‌.
010_00	هه‌ڵمه‌شاخێ به هه‌ژارو داماوو سواڵکه‌راندا.
011_00	(به‌ڵکو) ده‌رباره‌ی نازو نیعمه‌ته‌کانی په‌روه‌ردگارت هه‌میشه بدوێ و باسیان بکه له جێی خۆیاندا به‌کاریان بهێنه‌.
