001_00	Алиф. Лам. Мим. Сад.
002_00	Тебе ниспослано Писание, которое не должно сжимать твою грудь, дабы ты увещевал им и напоминал верующим.
003_00	Следуйте за тем, что ниспослано вам от вашего Господа, и не следуйте за иными помощниками, помимо Него. Как же мало вы поминаете назидание!
004_00	Сколько же селений Мы погубили! Наше наказание поражало их ночью или во время полуденного отдыха.
005_00	А когда Наше наказание поражало их, они лишь говорили: «Воистину, мы были несправедливы!».
006_00	Мы непременно спросим тех, к кому были отправлены посланники, и непременно спросим самих посланников.
007_00	Мы непременно расскажем им об их деяниях на основании знания. Мы никогда не отсутствовали.
008_00	В тот день взвешивать будут правильно. Те, чья чаша Весов будет перевешивать, окажутся преуспевшими.
009_00	Те же, чья чаша Весов окажется легче, потеряют самих себя, поскольку они были несправедливы к Нашим знамениям.
010_00	Мы наделили вас властью на земле и определили для вас средства к существованию. Как же мала ваша благодарность!
011_00	Мы сотворили вас, потом придали вам облик. Потом Мы сказали ангелам: «Падите ниц перед Адамом!». Они пали ниц, и только Иблис не был в числе поклонившихся.
012_00	Аллах сказал: «Что помешало тебе пасть ниц, когда Я приказал тебе?». Иблис сказал: «Я лучше него. Ты сотворил меня из огня, а его - из глины».
013_00	Аллах сказал: «Низвергнись отсюда! Негоже тебе превозноситься здесь. Изыди, ибо ты - один из униженных».
014_00	Иблис сказал: «Предоставь мне отсрочку до того дня, когда они будут воскрешены».
015_00	Аллах сказал: «Воистину, ты - один из тех, кому предоставлена отсрочка».
016_00	Иблис сказал: «За то, что Ты совратил меня, я непременно засяду против них на Твоем прямом пути.
017_00	А затем я буду подходить к ним спереди и сзади, справа и слева, и Ты не найдешь большинство из них благодарными».
018_00	Аллах сказал: «Изыди презренным и отверженным! А если кто из них последует за тобой, то Я заполню Геенну всеми вами.
019_00	О Адам! Поселись в Раю вместе со своей супругой. Ешьте, где (или когда) пожелаете, но не приближайтесь к этому дереву, а не то окажетесь беззаконниками».
020_00	Дьявол стал наущать их, чтобы обнажить их срамные места, которые были сокрыты от них.
020_01	Он сказал им: «Ваш Господь запретил вам это дерево только для того, чтобы вы не стали ангелами или бессмертными».
021_00	Он поклялся им: «Воистину, я для вас - искренний доброжелатель».
022_00	Он низвел их (вывел из Рая или воодушевил на грех) обманом, и когда они вкусили от этого дерева, то обнажились их срамные места, и они стали прилеплять на себя райские листья.
022_01	Тогда Господь их воззвал к ним: «Разве Я не запретил вам это дерево и не сказал вам, что дьявол для вас - явный враг?».
023_00	Они сказали: «Господь наш! Мы поступили несправедливо по отношению к себе, и если Ты не простишь нас и не смилостивишься над нами, то мы непременно окажемся одними из потерпевших урон».
024_00	Аллах сказал: «Низвергнитесь и будьте врагами друг другу! Земля будет для вас обителью и предметом пользования на некоторое время».
025_00	Аллах сказал: «На ней вы будете жить, на ней будете умирать и из нее будете выведены».
026_00	О сыны Адама! Мы ниспослали вам одеяние для прикрытия ваших срамных мест и украшения.
026_01	Однако одеяние из богобоязненности - лучше. Таково одно из знамений Аллаха. Быть может, они помянут назидание.
027_00	О сыны Адама! Не позволяйте дьяволу совратить вас, подобно тому, как он вывел из Рая ваших родителей.
027_01	Он сорвал с них одежды, чтобы показать им их срамные места. Воистину, он и его сородичи видят вас оттуда, где вы их не видите. Воистину, Мы сделали дьяволов покровителями и помощниками тех, которые не веруют.
028_00	Когда они совершают мерзость, они говорят: «Мы видели, что наши отцы поступали таким образом. Аллах повелел нам это».
028_01	Скажи: «Аллах не велит совершать мерзость. Неужели вы станете наговаривать на Аллаха то, чего не знаете?».
029_00	Скажи: «Мой Господь велел поступать справедливо». Обращайте к Нему лица в любом месте поклонения и взывайте к Нему, очищая перед Ним веру. Он сотворил вас изначально, и так же вы будете возвращены».
030_00	Он одних наставил на прямой путь, а другим заслуженно предписал заблуждение. Они сочли дьяволов своими покровителями и помощниками вместо Аллаха и полагают, что следуют прямым путем.
031_00	О сыны Адама! Облекайтесь в свои украшения при каждой мечети. Ешьте и пейте, но не излишествуйте, ибо Он не любит тех, кто излишествует.
032_00	Скажи: «Кто запретил украшения Аллаха, которые Он даровал Своим рабам, и прекрасный удел?».
032_01	Скажи: «В мирской жизни они предназначены для тех, кто уверовал, а в День воскресения они будут предназначены исключительно для них». Так Мы разъясняем знамения людям знающим.
033_00	Скажи: «Мой Господь запретил совершать мерзкие поступки, как явные, так и скрытые, совершать грехи, бесчинствовать без всякого права, приобщать
033_01	к Аллаху сотоварищей, в пользу чего Он не ниспослал никакого доказательства, и наговаривать на Аллаха то, чего вы не знаете».
034_00	Для каждой общины есть свой срок. Когда же наступает их срок, они не могут отдалить или приблизить его даже на час.
035_00	О сыны Адама! Если к вам придут посланники из вашей среды, читая вам Мои аяты, то всякий, кто станет богобоязненным и исправит свои деяния, не познает страха и не будет опечален.
036_00	А те, которые сочтут ложью Мои знамения и превознесутся над ними, станут обитателями Огня и пребудут там вечно.
037_00	Кто же несправедливее того, кто возводит на Аллаха навет или считает ложью Его знамения?
037_01	Они получат удел, отведенный им в Писании.
037_02	Когда же к ним явятся Наши посланцы, чтобы умертвить их, они скажут: «Где те, к кому вы взывали вместо Аллаха?». Они скажут: «Они бросили нас!». Они принесут свидетельства против самих себя о том, что они были неверующими.
038_00	Аллах скажет: «Войдите в Ад вместе с народами из числа людей и джиннов, которые прожили до вас». Каждый раз, когда один народ будет входить туда, он будет проклинать родственный ему народ.
038_01	Когда же они будут собраны там вместе, то последние из них скажут о первых: «Господь наш! Это они ввели нас в заблуждение.
038_02	Удвой же их мучения в Огне». Он скажет: «Всем воздастся вдвойне, но вы не знаете этого».
039_00	Тогда первые из них скажут последним: «Вы не были лучше нас. Посему вкусите наказание за то, что вы приобретали».
040_00	Воистину, не откроются врата небесные для тех, кто считал ложью Наши знамения и превозносился над ними.
040_01	Они не войдут в Рай, пока верблюд не пройдет сквозь игольное ушко. Так Мы воздаем грешникам.
041_00	Их ложа будут из Геенны, а над ними будут покрывала. Так Мы воздаем беззаконникам.
042_00	Те, которые уверовали и совершали праведные деяния, будут обитателями Рая и пребудут там вечно. Мы не возлагаем на человека сверх его возможностей.
043_00	Мы исторгнем из их сердец злобу, и под ними будут протекать реки.
043_01	Они скажут: «Хвала Аллаху, Который привел нас к этому!
043_02	Мы не последовали бы прямым путем, если бы Аллах не наставил нас. И посланники Господа нашего принесли истину». Им будет возвещено: «Вот Рай, который вы унаследовали за то, что совершали».
044_00	Обитатели Рая воззовут к обитателям Огня: «Мы уже убедились в том, что обещанное нам нашим Господом - истина. Убедились ли вы в том, что обещанное вашим Господом - истина?».
044_01	Они скажут: «Да». Тогда глашатай возвестит среди них: «Да пребудет проклятие Аллаха над беззаконниками,
045_00	которые сбивали других с пути Аллаха, пытались исказить его и не верили в Последнюю жизнь».
046_00	Между ними будет изгородь, а на оградах будут люди, которые распознают каждого из них по их признакам.
046_01	Они воззовут к обитателям Рая: «Мир вам!». Они пока не войдут в Рай, хотя будут желать этого.
047_00	Когда же их взоры обратятся к обитателям Огня, они скажут: «Господь наш! Не помещай нас с людьми несправедливыми!».
048_00	Люди на оградах обратятся к мужчинам, которых они узнают по их признакам, и скажут: «Не помогло вам то, что вы собирали, и ваше высокомерие.
049_00	Разве это не те, о которых вы клялись, что Аллах никогда не проявит к ним милости?». Им будет сказано: «Войдите в Рай! Вы не познаете страха и не будете опечалены».
050_00	Обитатели Огня воззовут к обитателям Рая: «Пролейте на нас воду или то, чем вас наделил Аллах».
050_01	Они скажут: «Аллах запретил это для неверующих,
051_00	которые обратили свою религию в потеху и игру и обольстились мирской жизнью».
051_01	Сегодня Мы предадим их забвению, подобно тому, как они предали забвению встречу в этот день и отвергли Наши знамения.
052_00	Мы преподнесли им Писание, которое разъяснили на основании знания, как верное руководство и милость для верующих людей.
053_00	Неужели они дожидаются чего-либо, кроме исполнения пророчества?
053_01	В тот день, когда оно исполнится, те, которые предали его забвению прежде, скажут: «Посланники нашего Господа принесли истину.
053_02	Найдутся ли для нас заступники, которые заступились бы за нас? И не вернут ли нас обратно, чтобы мы совершили не то, что совершили прежде?». Они потеряют самих себя, и покинет их (или исчезнет) то, что они измышляли.
054_00	Воистину, ваш Господь - Аллах, Который сотворил небеса и землю за шесть дней, а затем вознесся на Трон (или утвердился на Троне).
054_01	Он покрывает ночью день, который поспешно за ней следует.
054_02	Солнце, луна и звезды - все они покорны Его воле. Несомненно, Он творит и повелевает. Благословен Аллах, Господь миров!
055_00	Взывайте к Господу своему со смирением и в тайне. Воистину, Он не любит преступников.
056_00	Не распространяйте нечестия на земле после того, как она приведена в порядок. Взывайте к Нему со страхом и надеждой. Воистину, милость Аллаха близка к творящим добро.
057_00	Он - Тот, Кто направляет ветры добрыми вестниками Своей милости.
057_01	Когда же они приносят тяжелые облака, Мы пригоняем их к мертвой земле, проливаем воду и посредством этого взращиваем всевозможные плоды.
057_02	Таким же образом Мы воскрешаем мертвых. Быть может, вы помяните назидание.
058_00	На хорошей земле растения растут по воле ее Господа, а на плохой земле они растут с трудом. Так Мы разъясняем знамения для благодарных людей.
059_00	Мы послали Нуха (Ноя) к его народу, и он сказал: «О мой народ! Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него. Я боюсь, что вас постигнут мучения в Великий день».
060_00	Знатные люди из его народа сказали: «Мы видим, что ты находишься в очевидном заблуждении».
061_00	Он сказал: «О мой народ! Я не заблуждаюсь. Напротив, я - посланник Господа миров.
062_00	Я сообщаю вам послания моего Господа и даю вам искренние советы. Я узнаю от Аллаха то, чего вы не знаете.
063_00	Неужели вы удивляетесь тому, что напоминание от вашего Господа явилось к вам через мужчину из вашей среды, чтобы он мог предостеречь вас и чтобы вы стали богобоязненны? Быть может, тогда вы будете помилованы».
064_00	Они сочли его лжецом, а Мы спасли его и тех, кто был с ним, в ковчеге, и потопили тех, кто счел ложью Наши знамения. Воистину, они были слепыми людьми.
065_00	Мы отправили к адитам их брата Худа. Он сказал: «О мой народ! Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него. Неужели вы не устрашитесь?».
066_00	Знатные люди из его народа, которые не уверовали, сказали: «Мы видим, что ты глупец, и считаем тебя одним из лжецов».
067_00	Он сказал: «О мой народ! Я не являюсь глупцом, а являюсь посланником Господа миров.
068_00	Я доношу до вас послания от вашего Господа, и я для вас - надежный и добрый советчик.
069_00	Неужели вы удивляетесь тому, что напоминание от вашего Господа дошло до вас через мужчину, который является одним из вас, чтобы он мог предостеречь вас?
069_01	Помните о том, как Он сделал вас преемниками народа Нуха (Ноя) и сделал вас еще более рослыми. Помните о милостях Аллаха, - быть может, вы преуспеете».
070_00	Они сказали: «Неужели ты пришел к нам для того, чтобы мы поклонялись одному Аллаху и отреклись от того, чему поклонялись наши отцы? Ниспошли нам то, чем ты угрожаешь (или что ты обещаешь), если ты говоришь правду».
071_00	Он сказал: «Наказание и гнев вашего Господа уже поразили вас. Неужели вы станете пререкаться со мной относительно имен, которые придумали вы и ваши отцы?
071_01	Аллах не ниспосылал о них никакого доказательства. Ждите, и я подожду вместе с вами».
072_00	Мы спасли его и тех, кто был с ним, по Своей милости и искоренили тех, которые сочли ложью Наши знамения и не стали верующими.
073_00	Мы отправили к самудянам их брата Салиха. Он сказал: «О мой народ! Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него.
073_01	К вам явилось ясное знамение от вашего Господа. Эта верблюдица Аллаха является знамением для вас. Позвольте ей пастись на земле Аллаха и не причиняйте ей зла, а не то вас постигнут мучительные страдания.
074_00	Помните о том, как Он сделал вас преемниками адитов и расселил вас на земле, на равнинах которой вы воздвигаете дворцы, а в горах высекаете жилища.
074_01	Помните о милостях Аллаха и не творите на земле зла, распространяя нечестие».
075_00	Знатные люди из его народа, которые превозносились, сказали уверовавшим из числа тех, кто был слаб: «Знаете ли вы, что Салих послан своим Господом?».
075_01	Они сказали: «Мы веруем в то, с чем он послан».
076_00	Те, которые превозносились, сказали: «А мы отказываемся уверовать в то, во что уверовали вы».
077_00	Они подрезали верблюдице поджилки, ослушались своего Господа и сказали: «О Салих! Ниспошли нам то, чем ты угрожаешь, если ты действительно являешься одним из посланников».
078_00	Их поразило землетрясение, и они оказались повергнуты ниц в своих домах.
079_00	Он отвернулся от них и сказал: «О мой народ! Я донес до вас послание моего Господа и искренне желал вам добра, но вы не любите тех, кто желает вам добра».
080_00	Мы отправили Лута (Лота), и он сказал своему народу: «Неужели вы станете совершать мерзость, которую до вас не совершал никто из миров?
081_00	В похотливом вожделении вы приходите к мужчинам вместо женщин. Воистину, вы - народ излишествующий».
082_00	В ответ его народ лишь сказал: «Прогоните их из вашего селения. Воистину, эти люди хотят очиститься».
083_00	Мы спасли его и его семью, кроме жены, которая оказалась в числе оставшихся позади.
084_00	Мы пролили на них дождь. Посмотри же, каким был конец грешников!
085_00	Мы отправили к мадьянитам их брата Шуейба. Он сказал: «О мой народ!
085_01	Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него. К вам явилось ясное знамение от вашего Господа.
085_02	Наполняйте же меру и весы сполна, не придерживайте имущества людей и не распространяйте нечестия на земле после того, как на ней наведен порядок. Так лучше для вас, если только вы являетесь верующими.
086_00	Не садитесь на дорогах, угрожая и сбивая с пути Аллаха тех, кто уверовал в Него, и пытаясь исказить его.
086_01	Помните, что вас было мало, а Он приумножил ваше число. Посмотри же, каким был конец злодеев!
087_00	Если одна часть из вас уверовала в то, с чем я послан, а другая не
087_01	уверовала, то потерпите, пока Аллах не рассудит между нами, ибо Он - Наилучший из судей».
088_00	Знатные люди из его народа, которые превозносились, сказали: «О Шуейб!
088_01	Мы непременно изгоним тебя и тех, кто уверовал вместе с тобой, из нашего города или же ты вернешься в нашу религию». Шуейб сказал: «Даже если это ненавистно нам?
089_00	Мы возведем навет на Аллаха, если вернемся в вашу религию после того, как Аллах спас нас от нее. Не бывать тому, чтобы мы вернулись в вашу религию, если только этого не пожелает Аллах, наш Господь.
089_01	Наш Господь объемлет знанием всякую вещь. Мы уповаем только на Аллаха.
089_02	Господь наш! Рассуди между нами и нашим народом по справедливости, ведь Ты - Наилучший из судей».
090_00	Знатные люди из его народа, которые не уверовали, сказали: «Если вы последуете за Шуейбом, то непременно окажетесь в числе потерпевших урон».
091_00	Их постигло землетрясение, и они оказались повергнуты ниц в своих домах.
092_00	Те, которые сочли Шуейба лжецом, словно никогда не жили там. Те, которые сочли Шуейба лжецом, оказались потерпевшими убыток.
093_00	Он отвернулся от них и сказал: «О мой народ! Я донес до вас послания моего Господа и искренне желал вам добра. Как я могу печалиться о неверующих людях?».
094_00	В какое бы селение Мы не отправляли пророка, Мы непременно подвергали его жителей невзгодам и напастям, дабы они проявили смирение.
095_00	Затем Мы заменяли зло добром, и тогда они начинали благоденствовать и говорили: «Наших отцов также касались невзгоды и радости». Мы хватали их внезапно, когда они даже не помышляли об этом.
096_00	Если бы жители селений уверовали и стали богобоязненны, Мы раскрыли бы перед ними благодать с неба и земли. Но они сочли это ложью, и Мы схватили их за то, что они приобретали.
097_00	Неужели жители селений не опасались того, что Наше наказание постигнет их ночью, когда они спят?
098_00	Неужели жители селений не опасались того, что Наше наказание постигнет их утром, когда они забавляются?
099_00	Неужели они не опасались хитрости Аллаха? Хитрости Аллаха не опасаются только люди, терпящие убыток!
100_00	Разве не ясно тем, которые унаследовали землю от ее прежних жителей, что если бы Мы пожелали, то покарали бы их за грехи? Мы запечатываем их сердца, и они не способны слышать.
101_00	Мы рассказываем тебе повествования об этих селениях. Их посланники приходили к ним с ясными знамениями.
101_01	Однако они не хотели уверовать в то, что они сочли ложью прежде. Так Аллах запечатывает сердца неверующих.
102_00	Большинство из них Мы не нашли верными завету. Воистину, Мы нашли большинство из них нечестивцами.
