001_00	Алиф. Лам. Мим.
002_00	Это Писание, в котором нет сомнения, является верным руководством для богобоязненных,
003_00	которые веруют в сокровенное, совершают намаз и расходуют из того, чем Мы их наделили,
004_00	которые веруют в ниспосланное тебе и ниспосланное до тебя и убеждены в Последней жизни.
005_00	Они следуют верному руководству от их Господа, и они являются преуспевшими.
006_00	Воистину, неверующим безразлично, предостерег ты их или не предостерег. Они все равно не уверуют.
007_00	Аллах запечатал их сердца и слух, а на глазах у них - покрывало. Им уготованы великие мучения.
008_00	Среди людей есть такие, которые говорят: «Мы уверовали в Аллаха и в Последний день». Однако они суть неверующие.
009_00	Они пытаются обмануть Аллаха и верующих, но обманывают только самих себя и не осознают этого.
010_00	Их сердца поражены недугом. Да усилит Аллах их недуг! Им уготованы мучительные страдания за то, что они лгали.
011_00	Когда им говорят: «Не распространяйте нечестия на земле!». - они отвечают: «Только мы и устанавливаем порядок».
012_00	Воистину, именно они распространяют нечестие, но они не осознают этого.
013_00	Когда им говорят: «Уверуйте так, как уверовали люди», - они отвечают: «Неужели мы уверуем так, как уверовали глупцы?». Воистину, именно они являются глупцами, но они не знают этого.
014_00	Когда они встречают верующих, то говорят: «Мы уверовали». Когда же они остаются наедине со своими дьяволами, они говорят: «Воистину, мы - с вами. Мы лишь издеваемся».
015_00	Аллах поиздевается над ними и увеличит их беззаконие, в котором они скитаются вслепую.
016_00	Они - те, которые купили заблуждение за верное руководство. Но сделка не принесла им прибыли, и они не последовали прямым путем.
017_00	Они подобны тому, кто разжег огонь. Когда же огонь озарил все вокруг него, Аллах лишил их света и оставил их в темноте, где они ничего не видят.
018_00	Глухие, немые, слепые! Они не вернутся на прямой путь.
019_00	Или же они подобны тем, кто оказался под ливнем с неба. Он несет мрак, гром и молнию.
019_01	Они же в смертельном страхе затыкают уши пальцами от грохота молний. Воистину, Аллах объемлет неверующих.
020_00	Молния готова отнять у них зрение. Когда она вспыхивает, они отправляются в путь, когда же опускается мрак, они останавливаются.
020_01	Если бы Аллах пожелал, Он лишил бы их слуха и зрения. Воистину, Аллах способен на всякую вещь.
021_00	О люди! Поклоняйтесь вашему Господу, Который сотворил вас и тех, кто был до вас, - быть может, вы устрашитесь.
