001_00	Та. Син. Мим.
002_00	Это - аяты ясного Писания.
003_00	Ты можешь погубить себя от скорби оттого, что они не становятся верующими.
004_00	Если Мы пожелаем, то ниспошлем им с неба знамение, перед которым покорно склонятся их шеи.
005_00	Какое бы новое напоминание ни приходило к ним от Милостивого, они отворачивались от него.
006_00	Они сочли это ложью, и к ним придут вести о том, над чем они издевались.
007_00	Неужели они не видят, сколько Мы взрастили на земле благородных видов растений?
008_00	Воистину, в этом - знамение, но большинство их не стали верующими.
009_00	Воистину, твой Господь - Могущественный, Милосердный.
010_00	Вот твой Господь воззвал к Мусе (Моисею): «Ступай к несправедливому народу -
011_00	к народу Фараона. Неужели они не устрашатся?».
012_00	Он сказал: «Господи! Я боюсь, что они сочтут меня лжецом,
013_00	что стеснится моя грудь и не развяжется мой язык. Пошли же за Харуном (Аароном).
014_00	Я несу перед ними ответственность за грех и боюсь, что они убьют меня».
015_00	Аллах сказал: «Нет! Ступайте вдвоем с Моими знамениями. Мы будем вместе с вами и будем слушать.
016_00	Придите вдвоем к Фараону и скажите: "Мы посланы Господом миров.
017_00	Посему отпусти с нами сынов Исраила (Израиля)"».
018_00	Фараон сказал: «Разве мы не воспитывали тебя среди нас с младенческих лет? Разве ты не оставался среди нас многие годы своей жизни.
019_00	Разве ты не совершил тот поступок, который ты совершил? Воистину, ты являешься одним из неблагодарных».
020_00	Он сказал: «Я совершил это, когда был в числе заблудших,
021_00	Я сбежал от вас, когда испугался вас, но мой Господь даровал мне власть (пророчество или знание) и сделал меня одним из посланников.
022_00	А та милость, в которой ты меня попрекаешь, состоит в том, что ты поработил сынов Исраила (Израиля)».
023_00	Фараон сказал: «А что такое Господь миров?».
024_00	Муса сказал: «Господь небес, земли и того, что между ними, если только вы обладаете убежденностью».
025_00	Фараон сказал тем, кто был около него: «Разве вы не слышите?».
026_00	Муса сказал: «Ваш Господь и Господь ваших праотцев».
027_00	Фараон сказал: «Воистину, отправленный к вам посланник - одержимый».
028_00	Муса сказал: «Господь востока и запада и того, что между ними, если только вы разумеете».
029_00	Фараон сказал: «Если ты будешь поклоняться иному богу, кроме меня, то я помещу тебя вместе с заключенными».
030_00	Муса сказал: «А если я покажу тебе нечто явное?».
031_00	Фараон сказал: «Так покажи нам это, если ты - один из тех, кто говорит правду».
032_00	Муса бросил свой посох, и тот превратился в явную змею.
033_00	Он вынул свою руку, и она стала белой (цвета молока, светящейся) для тех, кто смотрел на нее.
034_00	Фараон сказал стоявшим вокруг него приближенным: «Воистину, он - знающий колдун.
035_00	Он хочет своим колдовством вывести вас из вашей страны. Что же вы прикажете делать?».
036_00	Они сказали: «Повремени с ним и его братом и разошли по городам сборщиков,
037_00	чтобы они привели к тебе всех знающих колдунов».
038_00	Колдунов собрали в назначенное время в назначенный день.
039_00	Людям сказали: «Собрались ли вы?
040_00	Возможно, нам придется последовать за колдунами, если они одержат верх».
041_00	Явившись, колдуны сказали Фараону: «Будет ли нам награда, если мы одержим верх?».
042_00	Он сказал: «Да. В этом случае вы непременно окажетесь в числе приближенных».
043_00	Муса (Моисей) сказал им: «Бросайте то, что вы собираетесь бросить».
044_00	Они бросили свои веревки и посохи и сказали: «Во имя могущества Фараона! Мы непременно одержим верх!».
045_00	Затем Муса (Моисей) бросил свой посох, и тот проглотил все, что они лживо измыслили.
046_00	Тогда колдуны пали ниц
047_00	и сказали: «Мы уверовали в Господа миров,
048_00	Господа Мусы (Моисея) и Харуна (Аарона)».
049_00	Он сказал: «Неужели вы поверили ему до того, как я позволил вам? Воистину, он - старший из вас, который научил вас колдовству!
