001_00	Воистину, преуспели верующие,
002_00	которые смиренны во время своих намазов,
003_00	которые отворачиваются от всего праздного,
004_00	которые выплачивают закят,
005_00	которые оберегают свои половые органы от всех,
006_00	кроме своих жен или невольниц, которыми овладели их десницы, за что они не заслуживают порицания,
007_00	тогда как желающие сверх этого являются преступниками;
008_00	которые оберегают вверенное им на хранение и соблюдают договоры,
009_00	которые регулярно совершают намаз.
010_00	Именно они являются наследниками,
011_00	которые унаследуют Фирдаус, в котором они пребудут вечно.
012_00	Воистину, Мы сотворили человека из эссенции глины.
013_00	Потом Мы поместили его каплей в надежном месте.
014_00	Потом Мы создали из капли сгусток крови, потом создали из сгустка крови разжеванный кусочек, потом создали из этого кусочка кости, и потом облекли кости мясом.
014_01	Потом Мы вырастили его в другом творении. Благословен же Аллах, Наилучший из творцов!
015_00	После этого вы непременно умрете.
016_00	А потом, в День воскресения, вы непременно будете воскрешены.
017_00	Воистину, Мы создали над вами семь небес одно над другим. Мы никогда не находились в неведении о творениях.
018_00	Мы низвели с неба воду в меру и разместили ее на земле. Воистину, Мы способны увести ее.
019_00	Посредством нее Мы вырастили для вас пальмовые сады и виноградники, где растет для вас много плодов, которые вы едите.
020_00	Мы вырастили дерево, которое растет на горе Синай и дает масло и приправу для вкушающих.
021_00	Воистину, домашняя скотина служит назиданием для вас. Мы поим вас тем, что находится у них в животах. Они приносят вам многочисленную пользу, и вы питаетесь ими.
022_00	На них и на кораблях вы передвигаетесь.
023_00	Воистину, Мы направили Нуха (Ноя) к его народу, и он сказал: «О мой народ! Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него. Неужели вы не устрашитесь?».
024_00	Но знатные люди из его народа, которые не уверовали, сказали: «Он - такой же человек, как и вы. Он лишь хочет возвыситься над вами.
024_01	Если бы Аллах пожелал, то Он ниспослал бы ангелов. Мы не слышали о подобном от наших праотцев.
025_00	Он - не кто иной, как бесноватый муж, так что обождите с ним до поры до времени».
026_00	Он сказал: «Господи! Помоги мне, ведь они сочли меня лжецом».
027_00	Мы внушили ему откровение: «Сооруди ковчег у Нас на Глазах согласно Нашему откровению. А когда явится Наше веление, и вода забьет фонтаном из печи, то погрузи на него по паре всего живого, а также свою семью, кроме тех, о чьей гибели уже было ниспослано Мое веление.
027_01	И не проси Меня за тех, которые поступали несправедливо. Они будут потоплены.
028_00	А когда ты и те, кто с тобой, сядете в ковчег, скажи: «Хвала Аллаху, Который спас нас от несправедливых людей!»
029_00	Скажи также: «Господи! Приведи меня к благословенному месту, ведь Ты - Наилучший из расселяющих»».
030_00	Воистину, в этом есть знамения. Воистину, Мы подвергаем испытанию.
031_00	Вслед за ними Мы сотворили другое поколение.
032_00	Мы направили к ним посланника из них самих: «Поклоняйтесь Аллаху, ибо нет у вас другого божества, кроме Него. Неужели вы не устрашитесь?».
033_00	Знатные люди из его народа, которые не уверовали и отрицали встречу в Последней жизни, которых Мы одарили щедрыми благами в мирской жизни, сказали: «Это - всего лишь человек, подобный вам.
033_01	Он ест то, что вы едите, и пьет то, что вы пьете.
034_00	Если вы станете повиноваться человеку, который подобен вам, то непременно окажетесь в убытке.
035_00	Неужели он обещает вам, что вы будете воскрешены после того, как умрете и превратитесь в прах и кости?
036_00	Невероятно, невероятно то, что обещано вам!
037_00	Нет ничего, кроме нашей жизни в этом мире. Мы умираем и живем, и мы не будем воскрешены.
038_00	Он - всего лишь человек, который возвел навет на Аллаха, и мы не веруем в него».
039_00	Он сказал: «Господи! Помоги мне, ведь они сочли меня лжецом!».
040_00	Аллах сказал: «Очень скоро они будут раскаиваться».
041_00	Вопль поразил их по справедливости, и Мы обратили их в подобие сора, растворенного в потоке. Да сгинут люди несправедливые!
042_00	Вслед за ними Мы сотворили другие поколения.
043_00	Ни одна община не может опередить свой срок или отложить его.
044_00	Потом Мы отправляли одного за другим Наших посланников. Каждый раз, когда к какому-либо народу приходил посланник, они нарекали его лжецом.
044_01	Мы отправляли их одних за другими на погибель и сделали их предметом сказаний. Да сгинут люди неверующие!
045_00	Потом Мы отправили Мусу (Моисея) и его брата Харуна (Аарона) с Нашими знамениями и ясным доказательством
046_00	к Фараону и его знати, но они возгордились, ведь они были людьми надменными.
047_00	Они сказали: «Неужели мы уверуем в двух людей, которые подобны нам, тогда как их народ служит нам?».
048_00	Они сочли их обоих лжецами и обрекли себя на погибель.
049_00	Воистину, Мы даровали Мусе (Моисею) Писание, чтобы они могли последовать прямым путем.
050_00	Мы сделали сына Марьям (Марии) и его мать знамением и поселили их в укромном месте на холме, где протекал ручей.
051_00	О посланники! Вкушайте блага и поступайте праведно. Воистину, Мне известно о том, что вы совершаете.
052_00	Воистину, ваша религия - религия единая, а Я - ваш Господь. Бойтесь же Меня!
053_00	Но они разорвали свою религию на части, и каждая секта радуется тому, что имеет.
054_00	Оставь же их в их невежестве (или слепоте и растерянности) до определенного времени.
055_00	Неужели они думают, что Мы поддерживаем их богатством и сыновьями,
056_00	потому что спешим одарить их благами? О нет! Однако они не ощущают этого!
057_00	Воистину, те, которые трепещут от страха перед своим Господом,
058_00	которые веруют в знамения своего Господа,
059_00	которые не приобщают к своему Господу сотоварищей,
060_00	которые раздают милостыню, тогда как их сердца страшатся того, что им суждено вернуться к своему Господу, -
061_00	все они спешат вершить добрые дела и опережают в этом других.
062_00	Мы не возлагаем на человека сверх его возможностей. У Нас есть Писание, которое глаголет истину, и с ними не поступят несправедливо.
063_00	Однако их сердца слепы к этому (Корану). А наряду с этим они совершают менее тяжкие злодеяния.
064_00	А когда Мы подвергнем наказанию изнеженных роскошью среди них, они завопят громким голосом.
065_00	Не вопите сегодня! Воистину, Мы не окажем вам помощи.
066_00	Вам читали Мои аяты, но вы пятились от них,
067_00	возгордившись ею (Каабой) и произнося скверные речи по ночам.
068_00	Неужели они не задумываются над Словом? Или же к ним явилось то, что не приходило к их праотцам?
069_00	Или же они не узнали своего Посланника и принялись отвергать его?
070_00	Или же они говорят, что он - бесноватый? Напротив, он принес им истину, но большинство из них не любят ее.
071_00	А если бы истина зависела от их желаний, то сгинули бы небеса, земля и те, кто на них. Мы даровали им их Напоминание (Коран), однако они отвернулись от своего Напоминания.
072_00	Разве ты просишь у них вознаграждения? Воздаяние твоего Господа лучше, и Он - Наилучший из дарующих удел.
073_00	Воистину, ты призываешь их на прямой путь.
074_00	А те, которые не веруют в Последнюю жизнь, непременно сбиваются с пути.
075_00	Если бы Мы смилостивились над ними и избавили их от беды, они все равно продолжали бы слепо скитаться, настаивая на своем беззаконии.
076_00	Мы подвергли их мучениям, но они не смирились перед своим Господом и не взмолились перед Ним.
077_00	Когда же Мы распахнем перед ними врата тяжких мучений, они придут там в отчаяние.
078_00	Он - Тот, Кто сотворил для вас слух, зрение и сердца. Но как мала ваша благодарность!
079_00	Он - Тот, Кто расселил вас по земле, и к Нему вы будете собраны.
080_00	Он - Тот, Кто дарует жизнь и умерщвляет. Он чередует ночь и день. Неужели вы не разумеете?
081_00	О нет! Они говорят то же, что говорили первые поколения.
082_00	Они говорят: «Неужели мы будем воскрешены после того, как умрем и превратимся в прах и кости?
083_00	Это обещают нам, а еще раньше это обещали нашим отцам. Это - всего лишь легенды древних народов».
084_00	Скажи: «Кому принадлежит земля и те, кто на ней, если только вы знаете?».
085_00	Они скажут: «Аллаху». Скажи: «Неужели вы не помяните назидание?».
086_00	Скажи: «Кто Господь семи небес и Господь великого Трона?».
087_00	Они скажут: «Аллах». Скажи: «Неужели вы не устрашитесь?».
088_00	Скажи: «В чьей Руке власть над всякой вещью? Кто защищает, и от Кого нет защиты, если только вы знаете?».
089_00	Они скажут: «Аллах». Скажи: «До чего же вы обмануты!».
090_00	Мы принесли им истину, однако они - лжецы.
091_00	Аллах не взял Себе сына, и нет наряду с Ним другого бога.
091_01	В противном случае каждый бог унес бы с собой то, что сотворил, и одни из них возвысились бы над другими. Аллах превыше того, что они приписывают Ему!
092_00	Ведающий сокровенное и явное! Он превыше тех, кого они приобщают в сотоварищи!
