001_00	Алиф. Лам. Мим.
002_00	Это Писание, в котором нет сомнения, ниспослано Господом миров.
003_00	Или же они скажут: «Он измыслил его»? Нет, оно является истиной от твоего Господа, чтобы ты предостерег людей, к которым до тебя не приходил предостерегающий увещеватель, - быть может, они последуют прямым путем.
004_00	Аллах - Тот, Кто создал небеса и землю и то, что между ними, за шесть дней, а затем вознесся на Трон (или утвердился на Троне).
004_01	Нет для вас, помимо Него, ни покровителя, ни заступника. Неужели вы не помяните назидание?
005_00	Он управляет делами с неба до земли, а затем они опять восходят к Нему в течение дня, который продолжается тысячу лет по тому, как вы считаете.
006_00	Таков Ведающий сокровенное и явное, Могущественный, Милосердный,
007_00	Который превосходно создал все, что сотворил, и начал создавать человека из глины,
008_00	затем создал его потомство из капли презренной жидкости,
009_00	затем придал ему соразмерный облик, вдохнул в него от Своего духа и даровал вам слух, зрение и сердца. Но как мала ваша благодарность!
010_00	Они говорят: «Неужели после того, как мы затеряемся в земле, мы возродимся в новом творении?». Но они не веруют во встречу со своим Господом.
011_00	Скажи: «Ангел смерти, которому вы поручены, умертвит вас, а затем вы будете возвращены к своему Господу».
012_00	Если бы ты видел, как грешники опустят головы перед своим Господом: «Господь наш! Мы увидели и услышали. Пошли нас обратно, и мы будем поступать праведно. Воистину, мы обрели убежденность».
013_00	Если бы Мы пожелали, то наставили бы на прямой путь каждого человека, однако исполнится Слово Мое: «Я непременно заполню Геенну джиннами и людьми - всеми вместе!».
014_00	Вкусите за то, что вы предали забвению встречу с этим днем вашим. Воистину, Мы предали забвению вас самих. Вкусите же вечные мучения за то, что вы совершали.
015_00	Воистину, веруют в Наши знамения только те, которые, когда им напоминают о них, падают ниц, прославляют хвалой своего Господа и не проявляют высокомерия.
016_00	Они отрывают свои бока от постелей, взывая к своему Господу со страхом и надеждой, и расходуют из того, чем Мы их наделили.
017_00	Ни один человек не знает, какие услады для глаз сокрыты для них в воздаяние за то, что они совершали.
018_00	Неужели верующий подобен нечестивцу? Не равны они!
019_00	Для тех, которые уверовали и совершали праведные деяния, Сады пристанища станут угощением за то, что они совершили.
020_00	А пристанищем нечестивцев будет Огонь.
020_01	Всякий раз, когда они захотят выйти оттуда, их вернут туда, и им будет сказано: «Вкусите мучения в Огне, которые вы считали ложью!».
021_00	Но помимо величайших мучений Мы непременно дадим им вкусить меньшие мучения, чтобы они могли вернуться на прямой путь.
022_00	Кто может быть несправедливее того, кому напомнили об аятах его Господа, после чего он отвернулся от них? Воистину, Мы отомстим грешникам.
023_00	Мы даровали Мусе (Моисею) Писание, и не сомневайся во встрече с ним (во встрече с Мусой или встрече Мусы с Аллахом). Мы сделали его (Писание) верным руководством для сынов Исраила (Израиля).
024_00	Мы создали среди них предводителей, которые вели остальных по Нашему повелению прямым путем, поскольку они были терпеливы и убежденно верили в Наши знамения.
025_00	В День воскресения твой Господь рассудит между ними в том, в чем они расходились во мнениях.
026_00	Неужели их не привело на прямой путь то, что Мы погубили до них столько поколений, по жилищам которых они ходят? Воистину, в этом есть знамения. Неужели они не прислушаются?
027_00	Неужели они не видят, что Мы пригоняем воду к сухой земле и выводим посредством нее посевы, которыми питаются их скот и они сами? Неужели они не видят этого?
028_00	Они говорят: «Когда же свершится этот суд, если вы говорите правду?».
029_00	Скажи: «В День суда неверующим не принесет пользы их вера, и они не получат отсрочки».
030_00	Отвернись от них и подожди, ведь они тоже ждут.
