001_00	Клянусь скачущими, запыхаясь!
002_00	Клянусь высекающими искры копытами!
003_00	Клянусь нападающими на заре!
004_00	Тем самым они поднимают столб пыли
005_00	и врываются с ним (со столбом пыли или с всадником) в гущу.
006_00	Воистину, человек неблагодарен своему Господу,
007_00	и он сам является тому свидетелем.
008_00	Воистину, он страстно любит блага.
009_00	Неужели он не знает, что, когда будет опрокинуто то, что в могилах,
010_00	и когда обнаружится то, что в груди,
011_00	в тот день Господь их будет осведомлен о них?
